Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
,,01/11/2015,Consultancy/Professional Advice,"DG: Social Care, Local Growth & Care Partnerships",DELOITTE,1111232647," 55,620 ",Commercial & financial support to Dementia fund project team,MK9 1FD,LARGE,,,
,,01/11/2015,Consultancy/Professional Advice,"DG: Social Care, Local Growth & Care Partnerships",DELOITTE,1111232647," 16,470 ",Commercial & financial support to Dementia fund project team,MK9 1FD,LARGE,,,
,,02/11/2015,DH Support to Mergers,DG: Holding CT Core,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,52749704," 2,132,000 ",West Middlesex University Hospital Transformation,SW10 9NH,PUBLIC,,,
,,02/11/2015,DH Support to Mergers,DG: Holding CT Core,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,52750660," 7,801,000 ",West Middlesex University Hospital Transformation,SW10 9NH,PUBLIC,,,
,,02/11/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-18912," 15,000,000 ",,,PUBLIC,,,
,,02/11/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-18913," 17,000,000 ",,WF3 1WE,PUBLIC,,,
,,02/11/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-18914," 290,000,000 ",,LS1 4PL,PUBLIC,,,
,,02/11/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH RESEARCH AUTHORITY,HAFS-18915," 1,350,000 ",,SE1 6LH,PUBLIC,,,
,,02/11/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-18916," 4,000,000 ",,,PUBLIC,,,
,,02/11/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-18917," 5,000,000 ",,SE1 7NT,PUBLIC,,,
