Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,01/07/2013,Outsourcing Contract,NHS Medical,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12594619,40000,Development of the Diagnostic Imaging Dataset,,PUBLIC,Programme,,
Department of Health,Department of Health,01/07/2013,Outsourcing Contract,NHS Medical,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12594619,72500,Operational costs for Diagnostic Imaging Dataset 2012-2013,,PUBLIC,Programme,,
Department of Health,Department of Health,01/07/2013,Policy Payments,NHS Medical,DERBY HOSPITALS NHS FOUNDATION TRUST,305342,513559,"Financial Support for the agreed project, in accordance with the contract dated 04/02/13",DE22 3NE,PUBLIC,Programme,,
Department of Health,Department of Health,01/07/2013,ENDPBs Admin Revenue Grant in Aid,External Relations,COUNCIL FOR HEALTHCARE REGULATORY EXCELLENCE (CHRE),DH049,250000,PSA Grant-In-Aid Revenue Cash Drawdown 2013/14 (Additional),WC2N 5HR,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BATH & NORTH EAST SOMERSET PCT,FUNDINGJULY/AUG13,50000,,BA2 5RP,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,FUNDINGJULY/AUG13,200000,,BB3 0FG,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BRADFORD AND AIREDALE PCT,FUNDINGJULY/AUG13,700000,,WF3 1WE,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,COVENTRY TEACHING PCT,FUNDINGJULY/AUG13,510000,,CV1 2GQ,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,DERBYSHIRE COUNTY PCT,FUNDINGJULY/AUG13,2000000,,S41 7PF,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,HARINGEY TEACHING PCT,FUNDINGJULY/AUG13,2150000,,NW1 2PL,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,HEYWOOD MIDDLETON & ROCHDALE PCT,FUNDINGJULY/AUG13,1700000,,M24 1AY,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,ISLE OF WIGHT NHS PCT,FUNDINGJULY/AUG13,1750000,,PO30 5TG,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,ISLINGTON PCT,FUNDINGJULY/AUG13,1200000,,EC1V 7LQ,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,KNOWSLEY PCT,FUNDINGJULY/AUG13,395000,,L33 7XW,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,LUTON TEACHING PCT,FUNDINGJULY/AUG13,8456000,,MK40 2AW,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,NHS BURY,FUNDINGJULY/AUG13,500000,,WF3 1WE,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,SANDWELL PCT,FUNDINGJULY/AUG13,348000,,B70 9LD,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,SEFTON PCT,FUNDINGJULY/AUG13,300000,,L13 1HN,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,SOMERSET PCT,FUNDINGJULY/AUG13,2000000,,WF3 1WE,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,SOUTH GLOUCESTERSHIRE PCT,FUNDINGJULY/AUG13,1000000,,BS1 2NP,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,TAMESIDE AND GLOSSOP PCT,FUNDINGJULY/AUG13,1400000,,M34 2GP,PUBLIC,Admin,,
Department of Health,Department of Health,01/07/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CARE QUALITY COMMISSION (CQC),HAFS-15911,7000000,,,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEALTH AND SOCIAL CARE INFORMATION CENTRE,HAFS-15912,15000000,,WF3 1WE,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEALTH EDUCATION ENGLAND,HAFS-15913,416000000,,LS1 4PL,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEALTH RESEARCH AUTHORITY,HAFS-15914,500000,,SE1 6LH,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS,HAFS-15915,5050000,,,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-15916,4000000,,SE1 7NT,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-15917,14200000,,NE1 6SN,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS ENGLAND,HAFS-15918,4249206000,,LS2 7UE,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-15919,2000000,,SW1E 6QT,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,PUBLIC HEALTH ENGLAND,HAFS-15920,715897000,,SP4 0JG,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS ENGLAND,HAFS-15921,2885670000,,LS2 7UE,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,Additions-PDC permanent,CENTRAL TECHNICAL,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-15922,3950000,,PE3 6DA,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,Additions PDC Revenue Support NHS T Permenant,CENTRAL TECHNICAL,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,HAFS-15923,1553000,,TF6 6TF,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,Additions PDC Revenue Support NHS T Temporary,CENTRAL TECHNICAL,SOUTH LONDON HEALTHCARE NHS TRUST,HAFS-15924,5700000,,DA14 6LT,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,Additions PDC Capital Support NHS FT Permenant,CENTRAL TECHNICAL,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,HAFS-15925,3400000,,EX2 7HY,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,Additions PDC Revenue Support NHS T Temporary,CENTRAL TECHNICAL,WESTON AREA HEALTH NHS TRUST,HAFS-15926,1100000,,BS23 4TQ,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,Additions FT Financing Facility Loans,CENTRAL TECHNICAL,WESTERN SUSSEX NHS FOUNDATION TRUST,HAFS-15927,10000000,,PO19 6SE,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,Additions FT Financing Facility Loans,CENTRAL TECHNICAL,WRIGHTINGTON WIGAN AND LEIGH NHS FOUNDATION TRUST,HAFS-15928,1246000,,WN1 1XX,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,Additions FT Financing Facility Loans,CENTRAL TECHNICAL,WRIGHTINGTON WIGAN AND LEIGH NHS FOUNDATION TRUST,HAFS-15929,1134000,,WN1 1XX,PUBLIC,Other,,
Department of Health,Department of Health,01/07/2013,Outsourcing Contract,External Relations,PROFERO LONDON LTD,1101001075,37615,Quarter 3 workflow 2 updates to   www.talktofrank.com,NW1 0DU,SME,Programme,,
Department of Health,Department of Health,01/07/2013,Research & development,Research & Development,RAND EUROPE CIC,13337/13041-3,0,Service Delivery & Org,CB4 1YG,SME,Programme,,
Department of Health,Department of Health,01/07/2013,Outsourcing Contract,Strategy Finance & NHS,PRICEWATERHOUSECOOPERS LLP,1353936481,69335.04,Consultancy support for Sir Bruce Keogh review of persistent outliers on mortality indicators,E14 9SQ,LARGE,Programme,,
Department of Health,Department of Health,01/07/2013,Outsourcing Contract,Strategy Finance & NHS,PRICEWATERHOUSECOOPERS LLP,1353937780,47314.56,Consultancy support for Sir Bruce Keogh review of persistent outliers on mortality indicators,E14 9SQ,LARGE,Programme,,
Department of Health,Department of Health,01/07/2013,Outsourcing Contract,Strategy Finance & NHS,PRICEWATERHOUSECOOPERS LLP,1353941182,89524.8,Consultancy support for Sir Bruce Keogh review of persistent outliers on mortality indicators,E14 9SQ,LARGE,Programme,,
Department of Health,Department of Health,01/07/2013,Outsourcing Contract,Strategy Finance & NHS,PRICEWATERHOUSECOOPERS LLP,1354004590,116192.4,Consultancy support for Sir Bruce Keogh review of persistent outliers on mortality indicators,E14 9SQ,LARGE,Programme,,
Department of Health,Department of Health,01/07/2013,Outsourcing Contract,Strategy Finance & NHS,PRICEWATERHOUSECOOPERS LLP,1354033832,75487.2,Consultancy support for Sir Bruce Keogh review of persistent outliers on mortality indicators,E14 9SQ,LARGE,Programme,,
Department of Health,Department of Health,01/07/2013,Outsourcing Contract,Strategy Finance & NHS,PRICEWATERHOUSECOOPERS LLP,1354033833,121071.6,Consultancy support for Sir Bruce Keogh review of persistent outliers on mortality indicators,E14 9SQ,LARGE,Programme,,
Department of Health,Department of Health,01/07/2013,Outsourcing Contract,Strategy Finance & NHS,PRICEWATERHOUSECOOPERS LLP,1354041827,104454.72,Consultancy support for Sir Bruce Keogh review of persistent outliers on mortality indicators,E14 9SQ,LARGE,Programme,,
Department of Health,Department of Health,01/07/2013,Outsourcing Contract,Strategy Finance & NHS,PRICEWATERHOUSECOOPERS LLP,1354041828,87439.68,Consultancy support for Sir Bruce Keogh review of persistent outliers on mortality indicators,E14 9SQ,LARGE,Programme,,
Department of Health,Department of Health,01/07/2013,Outsourcing Contract,Strategy Finance & NHS,PRICEWATERHOUSECOOPERS LLP,1354041829,25745.28,Consultancy support for Sir Bruce Keogh review of persistent outliers on mortality indicators,E14 9SQ,LARGE,Programme,,
Department of Health,Department of Health,01/07/2013,Outsourcing Contract,Strategy Finance & NHS,PRICEWATERHOUSECOOPERS LLP,1354044410,191784,Consultancy support for Sir Bruce Keogh review of persistent outliers on mortality indicators,E14 9SQ,LARGE,Programme,,
