Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/03/2013,Secondees in invoiced costs,NHS Medical,SALFORD ROYAL NHS FOUNDATION TRUST,PUBLIC,M6 8HD,1000125028,"24,000.00","Secondment of Secondee, for the period 28th Jan 2012 to 31st Mar 2012",Admin,
Department of Health,Department of Health,01/03/2013,Secondees in invoiced costs,NHS Medical,SALFORD ROYAL NHS FOUNDATION TRUST,PUBLIC,M6 8HD,1000125028,"1,080.00",Secondment of Secondee to Dept of Health,Admin,
Department of Health,Department of Health,01/03/2013,Secondees in invoiced costs,NHS Medical,SALFORD ROYAL NHS FOUNDATION TRUST,PUBLIC,M6 8HD,1000125028,"32,362.00",Secondment of Secondee Dept of Health Jan 13-Mar 13,Admin,
Department of Health,Department of Health,01/03/2013,Secondees in invoiced costs,NHS Finance Operations & Performance,NORTH EAST SHA,PUBLIC,NE15 8NY,504829,"21,543.00",Grade 7 /North East SHA 2012 - 13 secondee re-charge Q4,Admin,
Department of Health,Department of Health,01/03/2013,Travel & subsistence non staff,NHS Finance Operations & Performance,NORTH EAST SHA,PUBLIC,NE15 8NY,504829,"4,765.00",Gradde 7 /North East SHA 2012 - 13 secondee re-charge Q4,Admin,
Department of Health,Department of Health,01/03/2013,Policy Payments,Public Health,HEALTH PROTECTION AGENCY (HPA),PUBLIC,SP4 0JG,5435657,"1,708,960.00",ACCEA PAYMENTS,Admin,
Department of Health,Department of Health,01/03/2013,Secondees in invoiced costs,Strategy Finance & NHS,SOMERSET PCT,PUBLIC,WF3 1WE,5736452,-919.00,Commissioning and Service Development Lead - 02/04/2012 - 31/03/13,Admin,
Department of Health,Department of Health,01/03/2013,Travel & subsistence non staff,Strategy Finance & NHS,SOMERSET PCT,PUBLIC,WF3 1WE,5736452,919.00,Commissioning and Service Development Lead - 02/04/2012 - 31/03/13 (Expenses),Admin,
Department of Health,Department of Health,01/03/2013,Consultancy/Professional Advice,Strategy Finance & NHS,NORTH WEST SHA,PUBLIC,M1 3BN,615034,"31,200.00",Recharge of work ISTC programme for the period April 2004 to March 2005,Programme,
Department of Health,Department of Health,01/03/2013,Policy Payments,Public Health,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,948464,"284,029.00",ACCEA AWARDS INVOICE NO 948464 AMOUNT £284028.85 MINUS CREDIT NOTE NO 948637 AMOUNT £72421.19,Admin,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,"ASHTON, LEIGH & WIGAN PCT",PUBLIC,WN1 1AH,HAFS-15332,"30,580,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARKING AND DAGENHAM PCT,PUBLIC,IG11 8EY,HAFS-15333,"25,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARNET PCT,PUBLIC,NW9 6QQ,HAFS-15334,"46,500,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARNSLEY PCT,PUBLIC,S70 3RD,HAFS-15335,"40,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BASSETLAW PCT,PUBLIC,NG21 0ER,HAFS-15336,"26,298,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BATH & NORTH EAST SOMERSET PCT,PUBLIC,BA2 5RP,HAFS-15337,"30,009,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BEDFORDSHIRE PCT,PUBLIC,MK40 2AW,HAFS-15338,"49,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BERKSHIRE EAST PCT,PUBLIC,RG30 2BA,HAFS-15339,"73,728,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BERKSHIRE WEST PCT,PUBLIC,RG30 2BA,HAFS-15340,"82,306,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BEXLEY CARE TRUST,PUBLIC,DA5 2BW,HAFS-15341,"26,800,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BIRMINGHAM EAST AND NORTH PCT,PUBLIC,B7 4WE,HAFS-15342,"82,500,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,PUBLIC,BB1 2EE,HAFS-15343,"26,922,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BLACKPOOL PCT,PUBLIC,PR4 3AL,HAFS-15344,"25,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BOLTON PCT,PUBLIC,B11 1PP,HAFS-15345,"42,550,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BOURNEMOUTH & POOLE PCT,PUBLIC,BH12 5AG,HAFS-15346,"39,500,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRADFORD AND AIREDALE PCT,PUBLIC,WF3 1WE,HAFS-15347,"90,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRENT TEACHING PCT,PUBLIC,HA0 4UZ,HAFS-15348,"53,438,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRIGHTON & HOVE CITY TEACHING PCT,PUBLIC,WF3 1WE,HAFS-15349,"43,389,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRISTOL PCT,PUBLIC,BS2 8EE,HAFS-15350,"50,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BROMLEY PCT,PUBLIC,WF3 1WE,HAFS-15351,"51,500,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BUCKINGHAMSHIRE PCT,PUBLIC,HP19 8ET,HAFS-15352,"65,800,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BURY PCT,PUBLIC,BL9 0EN,HAFS-15353,"24,500,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CALDERDALE PCT,PUBLIC,WF3 1WE,HAFS-15354,"30,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CAMBRIDGESHIRE PCT,PUBLIC,PE27 5BB,HAFS-15355,"71,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CAMDEN PCT,PUBLIC,NW1 0PE,HAFS-15356,"77,750,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CENTRAL & EASTERN CHESHIRE PCT,PUBLIC,CW5 5QU,HAFS-15357,"63,000,000.00",,Other,
Department of Health,Department of Health,01/03/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CENTRAL LANCASHIRE PCT,PUBLIC,PR26 6TR,HAFS-15358,"79,000,000.00",,Other,
