Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,PO Line Description,Contract Number,Project Code
,,01/02/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,SME,TS17 6YG,4106001-10-FEB-14," 55,725 ",,,
,,03/02/2014,Service charge,DG: GOAD,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,OL6 9RW,3110002028," 162,727 ",Revenue: FY 2013/14 STAF & LC costs for Lorenzo Deployment,,
,,03/02/2014,Service charge,DG: GOAD,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,OL6 9RW,3110002372," 269,672 ",Revenue: FY 2013/14 STAF & LC costs for Lorenzo Deployment,,
,,03/02/2014,Service charge,DG: GOAD,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,OL6 9RW,3110002373," 111,978 ",Revenue: FY 2013/14 STAF & LC costs for Lorenzo Deployment,,
,,03/02/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,CARE QUALITY COMMISSION (CQC) CQC033,PUBLIC,,HAFS-16381," 10,000,000 ",,,
,,03/02/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,HAFS-16382," 5,000,000 ",,,
,,03/02/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH EDUCATION ENGLAND T1510,PUBLIC,LS1 4PL,HAFS-16383," 490,000,000 ",,,
,,03/02/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH RESEARCH AUTHORITY,PUBLIC,SE1 6LH,HAFS-16384," 860,000 ",,,
,,03/02/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HUMAN TISSUE AUTHORITY (HTA033),PUBLIC,,HAFS-16385," 194,000 ",,,
,,03/02/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,PUBLIC,,HAFS-16386," 5,000,000 ",,,
