Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number
Department of Health,Department of Health,01/06/2014,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6284661,"£199,167.00",2014-15 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,Programme,PUBLIC,
Department of Health,Department of Health,01/06/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325598RI,£0.00,"Care Quality Commission (CQC) --Building Maintenance from 01/04/14 - 31/03/15 - @£33,717.46",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325599RI,"£57,066.43","Building Maintenance Costs from 01/04/14 - 31/03/15 @£57,066.43",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325599RI,"-£57,066.43","FM Costs from 01/04/14 - 31/03/15 @£11,055.48",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325600RI,"£46,676.47"," Building Maintenance Costs from 01/04/14 -31/03/201515 @ £46,676.46 mthly",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325600RI,"£22,528.31","Cleaning Costs from 01/04/14 -31/03/201515 @ £22,528.31 mthly",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325600RI,"-£98,545.02","FM Costs from 01/04/14 -31/03/201515 @ £13,007.45 mthly",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325600RI,"£29,340.24","Security Costs from 01/04/14 -31/03/201515 @ £29,340.24 mthly",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325601RI,"£49,138.93","Building Maintenance Costs from 01/04/14 - 31/03/15 @£49,138.93",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325601RI,"£29,049.98","Cleaning Costs from 01/04/14 - 31/03/15 @£29,049.98",SO53 3YE,,Admin,LARGE,
