Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Latest Contract Number
,,01/10/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",KENT PHARMACEUTICALS LTD,EMBS-008,351163.76,,,,,SME,
,,01/10/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",KENT PHARMACEUTICALS LTD,EMBS-008,4.96,,,,,SME,
,,03/10/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-21876,10000000,,,,,PUBLIC,
,,03/10/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-21877,18000000,,WF3 1WE,,,PUBLIC,
,,03/10/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-21878,500000000,,LS1 4PL,,,PUBLIC,
,,03/10/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH RESEARCH AUTHORITY,HAFS-21879,1100000,,SE1 6LH,,,PUBLIC,
,,03/10/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-21880,6000000,,,,,PUBLIC,
,,03/10/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-21881,4500000,,SE1 7NT,,,PUBLIC,
,,03/10/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-21882,8900000,,NE1 6SN,,,PUBLIC,
,,03/10/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-21883,1936283000,,LS2 7UE,,,PUBLIC,
,,03/10/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-21884,5735679000,,LS2 7UE,,,PUBLIC,
,,03/10/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,NHS LITIGATION AUTHORITY,HAFS-21885,25000000,,LS1 4AD,,,PUBLIC,
,,03/10/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-21886,10000000,,SW1E 6QT,,,PUBLIC,
,,03/10/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,PUBLIC HEALTH ENGLAND PHE033,HAFS-21887,958365000,,SP4 0JG,,,PUBLIC,
,,03/10/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-21888,1800000,,M13 0JR,,,PUBLIC,
,,03/10/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-21889,2500000,,M13 0JR,,,PUBLIC,
,,03/10/2016,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,LEWISHAM AND GREENWICH NHS TRUST,HAFS-21890,431000,,SE13 6LH,,,PUBLIC,
,,03/10/2016,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,HAFS-21891,250000,,N,,,PUBLIC,
,,03/10/2016,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,HAFS-21892,143000,,N,,,PUBLIC,
,,03/10/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,SOUTH TYNESIDE NHS FOUNDATION TRUST,HAFS-21893,3500000,,NE34 0PL,,,PUBLIC,
,,03/10/2016,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,HAFS-21894,1815000,,ST4 7LN,,,PUBLIC,
,,03/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",SOFTCAT LTD,INV01428827,56569.79,Revenue 2016/17 Softcat spine 2 -Splunk Enterprise Upgrade- Enterprise Support,SL7 1TB,,,LARGE,
,,04/10/2016,Building repairs & maintenance,DG: GROUP OPERATIONS,Willmott Dixon Interiors Limited,083120,168415.85,39 Victoria Street (VS) - Pre Construction Costs,EC4A 4HJ,,,SME,
,,04/10/2016,Lump sum payments staff,DG: GROUP OPERATIONS,CABINET OFFICE,DH CONTRIBUTION,2376568.32,,SW1A 2WH,,,PUBLIC,
,,04/10/2016,Other Admin expenditure,DG: Holding CT Core,BELLERBY PROPERTIES LTD,FASTER PAYT,25000,,M3 7BG,,,PUBLIC,
,,04/10/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",ACTAVIS UK LTD,16032433,582434.33,,,,,LARGE,
,,04/10/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",ACTAVIS UK LTD,16032433,0.96,,,,,LARGE,
,,04/10/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",MYLAN,1800000191,183766.69,,,,,LARGE,
,,04/10/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",MYLAN,1800000191,0.47,,,,,LARGE,
,,04/10/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",ACCORD HEALTHCARE LTD,DAAADF901594,233005.8,,,,,LARGE,
,,04/10/2016,Essential Meds SPG - Additions,"DG: INNOVATION, GROWTH & TECHNOLOGY",ACCORD HEALTHCARE LTD,DAAADF901594,58.2,,,,,LARGE,
,,04/10/2016,Outsourcing Contract,DG: RESEARCH & DEVELOPMENT,SOUTHAMPTON UNIVERSITY OF,44191115,304595.1,NA,SO17 1BJ,,,PUBLIC,
,,04/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ST ANDREWS UNIVERSITY OF,FI054092,30118.8,RDD Programme Support - Miscellaneous,KY16 9RJ,,,PUBLIC,
,,04/10/2016,Outsourcing Contract,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",SOCIAL CARE INSTITUTE FOR EXCELLENCE SCIE,IVC02766,36280,"Care Pathways, Quality Standards Models of Care for LAC funding for April 2016 to March 2018",SWIY 6BP,,,VCS,
,,04/10/2016,Training (Learning and Development),"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",HEALTH EDUCATION ENGLAND T1510,49298072,45000,Development of an online elearning course for DoLS medical assessors.,LS1 4PL,,,PUBLIC,
,,04/10/2016,Outsourcing Contract,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40216749,1255000,IDEA (LGA): Q2-4 of the Care and Health Integration Programme 2016/17,EC1M 5LG,,,VCS,
