Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,01/06/2013,Outsourcing Contract,Goverance Operations & Assurance,NHS SHARED BUSINESS SERVICES (SBS),PUBLIC,0,NHS SBS  charges for BMS Support and Development Service from 1 April 2012 to 31 March 2013,100017020,WF3 1WE,,,Admin
Department of Health,Department of Health,01/06/2013,Outsourcing Contract,Goverance Operations & Assurance,NHS SHARED BUSINESS SERVICES (SBS),PUBLIC,95481.25,NHS SBS charges for BMS Support and Development Service from 1 April 2013 to 31 March 2014,100017020,WF3 1WE,,,Admin
Department of Health,Department of Health,28/06/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,ENFIELD PCT,PUBLIC,5100000,,FUNDINGJULY/AUG13,EN1 1NJ,,,Admin
Department of Health,Department of Health,28/06/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BARNET PCT,PUBLIC,750000,,FUNDINGJULY/AUG13,NW9 6QQ,,,Admin
Department of Health,Department of Health,28/06/2013,Research & development,Research & Development,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,20024,PRIMARY CARE NETWORKS,ERS-497125-75761,CB2 2QQ,,,Programme
Department of Health,Department of Health,28/06/2013,Research & development,Research & Development,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,75258,PRIMARY CARE NETWORKS,ERS-497125-75761,CB2 2QQ,,,Programme
Department of Health,Department of Health,01/06/2013,Outsourcing Contract,External Relations,NHS CONFEDERATION,PUBLIC,60000,NHS Condederation: Review of Bureaucratic Burden on NHS Providers project,11920,LS10 1JR,,,Programme
Department of Health,Department of Health,01/06/2013,Contractor/Staff Substitution,Improvement & Efficency,NOTTINGHAM CITY PCT,PUBLIC,1244.43,Secondee- NHS 111 Clinical Governance Manager - add to PO to release invoice,12722492,WF3 1WE,,,Admin
Department of Health,Department of Health,01/06/2013,Contractor/Staff Substitution,Improvement & Efficency,NOTTINGHAM CITY PCT,PUBLIC,30181.83,Secondee- NHS 111 Clinical Governance Manager,12722492,WF3 1WE,,,Admin
Department of Health,Department of Health,01/06/2013,Policy Payments,NHS Medical,BARTS HEALTH NHS TRUST,PUBLIC,-189432.52,"Financial Support for the agreed project, in accordance with the MOU dated 06/02/13",161240,,,,Admin
Department of Health,Department of Health,01/06/2013,Policy Payments,NHS Medical,BARTS HEALTH NHS TRUST,PUBLIC,189432.52,"Financial Support for the agreed project, in accordance with the MOU dated 06/02/13",161240,,,,Programme
Department of Health,Department of Health,01/06/2013,Policy Payments,NHS Medical,THE IPSWICH HOSPITAL NHS TRUST,PUBLIC,118969.89,"Financial Support for the agreed project, in accordance with the MOU dated 23/01/13",308863,IP4 5PD,,,Programme
Department of Health,Department of Health,01/06/2013,Policy Payments,NHS Medical,THE IPSWICH HOSPITAL NHS TRUST,PUBLIC,1030.11,"To cover the PO amount shortfall for Financial Support for the agreed project, in accordance with the MOU dated 23/01/13",308863,IP4 5PD,,,Programme
Department of Health,Department of Health,01/06/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BATH & NORTH EAST SOMERSET PCT,PUBLIC,800000,,FUNDINGJUNE13,BA2 5RP,,,Admin
Department of Health,Department of Health,01/06/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BEDFORDSHIRE PCT,PUBLIC,5400000,,FUNDINGJUNE13,MK40 2AW,,,Admin
Department of Health,Department of Health,01/06/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BERKSHIRE EAST PCT,PUBLIC,2000000,,FUNDINGJUNE13,RG7 4BQ,,,Admin
Department of Health,Department of Health,01/06/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BIRMINGHAM EAST AND NORTH PCT,PUBLIC,7000000,,FUNDINGJUNE13,B7 4WE,,,Admin
Department of Health,Department of Health,01/06/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,PUBLIC,500000,,FUNDINGJUNE13,BB3 0FG,,,Admin
Department of Health,Department of Health,01/06/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BOURNEMOUTH & POOLE PCT,PUBLIC,1500000,,FUNDINGJUNE13,BH12 5AG,,,Admin
