Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/12/2012,Building repairs & maintenance,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259125RI,-3497.75,"CQC Buildings - Fixed Costs from Apr 2012 - Mar 2013 - Building Maintenance @£31,875.08 mthly",Admin,
Department of Health,Department of Health,01/12/2012,Facilities management: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259125RI,3497.75,"CQC Buildings - Fixed Costs from Apr 2012 - Mar 2013 - Facilities Management @£3,497.75 mthly",Admin,
Department of Health,Department of Health,01/12/2012,Building repairs & maintenance,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259127RI,-32645.17,"Maple Street - Fixed Building Maintenance Costs from 01/04/12 - 31/03/2013 @13,107.33 mthly",Admin,
Department of Health,Department of Health,01/12/2012,Cleaning: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259127RI,4947.75,"Maple Street - Fixed Cleaning Costs from 01/04/12 - 31/03/2013 @4,947.75 mthly",Admin,
Department of Health,Department of Health,01/12/2012,Facilities management: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259127RI,11209.92,"Maple Street - Fixed FM Costs from 01/04/12 - 31/03/2013 @11,209.92 mthly",Admin,
Department of Health,Department of Health,01/12/2012,Security: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259127RI,16487.5,"Maple Street - Fixed Security Costs from 01/04/12 - 31/03/2013 @16,487.50 mthly",Admin,
Department of Health,Department of Health,01/12/2012,Building repairs & maintenance,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259128RI,-58190.61,"Skipton House - Fixed Costs from Apr 2012 - Mar 2013 - Building Maintenance @£36,259.76mthly",Admin,
Department of Health,Department of Health,01/12/2012,Cleaning: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259128RI,19251.42,"Skipton House - Fixed Costs from Apr 2012 - Mar 2013 - Cleaning @£19,251.42mthly",Admin,
Department of Health,Department of Health,01/12/2012,Facilities management: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259128RI,12533.53,"Skipton House - Fixed Costs from Apr 2012 - Mar 2013 - Facilities Management @£12,533.53mthly",Admin,
Department of Health,Department of Health,01/12/2012,Security: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259128RI,26405.67,"Skipton House - Fixed Costs from Apr 2012 - Mar 2013 - Security @£26,405.67mthly",Admin,
Department of Health,Department of Health,01/12/2012,Building repairs & maintenance,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259129RI,-90236,"Richmond House - Fixed Costs from Apr 2012 - Mar 2013 - Building Maintenance@£35,756.01 mthly",Admin,
Department of Health,Department of Health,01/12/2012,Cleaning: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259129RI,27299.1,"Richmond House - Fixed Costs from Apr 2012 - Mar 2013 - Cleaning@£27,299.10 mthly",Admin,
Department of Health,Department of Health,01/12/2012,Facilities management: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259129RI,19049.25,"Richmond House - Fixed Costs from Apr 2012 - Mar 2013 - Facilities Management@£19,049.25 mthly",Admin,
Department of Health,Department of Health,01/12/2012,Security: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259129RI,43887.65,"Richmond House - Fixed Costs from Apr 2012 - Mar 2013 - Security@£43,887.65 mthly",Admin,
Department of Health,Department of Health,01/12/2012,Building repairs & maintenance,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259130RI,-48703.98,"Wellington House - Fixed Costs from Apr 2012 - Mar 2013 - Building Maintenance@£26,814.04 mthly.",Admin,
Department of Health,Department of Health,01/12/2012,Cleaning: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259130RI,13028.68,"Wellington House - Fixed Costs from Apr 2012 - Mar 2013 - Cleaning@£13,028.68 mthly.",Admin
Department of Health,Department of Health,01/12/2012,Facilities management: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259130RI,9772.88,"Wellington House - Fixed Costs from Apr 2012 - Mar 2013 - Facilities Management@£9,772.88 mthly.",Admin
Department of Health,Department of Health,01/12/2012,Security: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259130RI,25902.42,"Wellington House - Fixed Costs from Apr 2012 - Mar 2013 - Security@£25,902.42 mthly.",Admin
Department of Health,Department of Health,01/12/2012,Building repairs & maintenance,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259132RI,21540.7,"Accommodation Central - Fixed Costs from Apr 2012 - Mar 2013 - Building Maintenance @£50,048.95 mthly",Admin
Department of Health,Department of Health,01/12/2012,Facilities management: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00259132RI,-21540.7,"Accommodation Central - FM Fixed Costs from Apr 2012 - Mar 2013 @£5,385.19 mthly",Admin
Department of Health,Department of Health,01/12/2012,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,3008001-10-DEC-12,64374.06,,Other
Department of Health,Department of Health,01/12/2012,Outsourcing Contract,Goverance Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201303346,45489.8,LAN - Wellington House - In Addition to PO429936,Admin
Department of Health,Department of Health,01/12/2012,Outsourcing Contract,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,841547,198016.86,Advertising for Stoptober campaign - Digital,Programme
Department of Health,Department of Health,01/12/2012,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,841547,-198016.86,Advertising for Stoptober campaign - national press,Programme
Department of Health,Department of Health,01/12/2012,Stationery,Goverance Operations & Assurance,OFFICE DEPOT UK LTD,LARGE,SP10 4JZ,87030311,5667,Steinbeis White A4 Evolution 80gsm,Admin
Department of Health,Department of Health,01/12/2012,Stationery,Goverance Operations & Assurance,OFFICE DEPOT UK LTD,LARGE,SP10 4JZ,87030311,1570.81,Steinbeis White A4 Evolution 80gsm,Admin
Department of Health,Department of Health,01/12/2012,Stationery,Goverance Operations & Assurance,OFFICE DEPOT UK LTD,LARGE,SP10 4JZ,87030311,4839.17,Steinbeis White A4 Evolution 80gsm,Admin
Department of Health,Department of Health,01/12/2012,Stationery,Goverance Operations & Assurance,OFFICE DEPOT UK LTD,LARGE,SP10 4JZ,87030311,2234.4,Steinbeis Evolution White cat no: 5576305  @ £2.45 per ream 200 reams per week for 13 weeks (4 April - 27 June 2012),Admin
Department of Health,Department of Health,01/12/2012,Stationery,Goverance Operations & Assurance,OFFICE DEPOT UK LTD,LARGE,SP10 4JZ,87030311,2058,Steinbeis Evolution White cat no: 5576305  @ £2.45 per ream 100 reams per week for 13 weeks (4 April - 27 June 2012),Admin
Department of Health,Department of Health,01/12/2012,Stationery,Goverance Operations & Assurance,OFFICE DEPOT UK LTD,LARGE,SP10 4JZ,87030311,3372,Steinbeis Evolution White cat no: 5576305 @ £2.81 per ream,Admin
Department of Health,Department of Health,01/12/2012,Stationery,Goverance Operations & Assurance,OFFICE DEPOT UK LTD,LARGE,SP10 4JZ,87030311,2940,Steinbeis Evolution White cat no: 5576305 250 reams per week for 4 weeks - ref PO 490557,Admin
Department of Health,Department of Health,01/12/2012,Stationery,Goverance Operations & Assurance,OFFICE DEPOT UK LTD,LARGE,SP10 4JZ,87030311,1081.2,Steinbeis Evolution White cat no: 5576305 150 reams per week for 4 weeks - re PO 490556,Admin
Department of Health,Department of Health,01/12/2012,Stationery,Goverance Operations & Assurance,OFFICE DEPOT UK LTD,LARGE,SP10 4JZ,87030311,4552.2,Steinbeis Evolution White  cat no: 5576305 @ £2.81 per ream,Admin
