Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,  Amount �s ,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEALTH RESEARCH AUTHORITY,PUBLIC,SE1 6LH,HAFS-14147,800000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),PUBLIC,WF3 1WE,HAFS-14176,875000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,PUBLIC,CV4 7AL,HAFS-14181,2500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,HAFS-14146,4000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),PUBLIC,SE1 7NT,HAFS-14175,5000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HARTLEPOOL PCT,PUBLIC,TS7 0NJ,HAFS-14143,11420000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BASSETLAW PCT,PUBLIC,NG21 0ER,HAFS-14090,14000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH EAST COAST SHA,PUBLIC,RH6 7DE,HAFS-14215,14000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,DARLINGTON PCT,PUBLIC,DL14 6WA,HAFS-14119,14658000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BLACKPOOL PCT,PUBLIC,PR4 3AL,HAFS-14098,17141000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,REDCAR AND CLEVELAND PCT,PUBLIC,TS14 7AA,HAFS-14203,17800000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,ISLE OF WIGHT NHS PCT,PUBLIC,PO30 5TG,HAFS-14155,18500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,KINGSTON PCT,PUBLIC,KT5 9AL,HAFS-14158,18500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH LINCOLNSHIRE PCT,PUBLIC,DN20 8GS,HAFS-14187,18500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,PETERBOROUGH PCT,PUBLIC,PE1 1FA,HAFS-14199,18500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TELFORD & WREKIN PCT,PUBLIC,SY3 8XL,HAFS-14233,19028000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BATH & NORTH EAST SOMERSET PCT,PUBLIC,BA2 5RP,HAFS-14091,20000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SWINDON PCT,PUBLIC,SN10 5EQ,HAFS-14231,20000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TORBAY PCT,PUBLIC,TQ9 6JE,HAFS-14234,20000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,PUBLIC,BB1 2EE,HAFS-14097,20510000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MIDDLESBOROUGH PCT,PUBLIC,TS2 1RH,HAFS-14173,20550000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOCKTON-ON-TEES TEACHING PCT,PUBLIC,TS17 6SF,HAFS-14225,20730000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,RICHMOND AND TWICKENHAM PCT,PUBLIC,KT5 9AL,HAFS-14204,22000000.00 ,,,Other,
