DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,EXPENSE_AREA,SUPPLIER,TRANSACTION_NUM, AMOUNT ,DESCRIPTION,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM
DEFRA,Animal Health,07/10/2011,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.72E+21,"£46,257.53",Payment for the AHVLA Barclaycard Bill for September 2011,TS17 6YG,,,0,Asset,
DEFRA,Animal Health,27/10/2011,Protective clothing,Food and Farming Group,Genus Breeding Ltd.,21082486,"£44,123.40",Contingency contract for livestock vaccinations in the event of an outbreak,CW6 9HY,SME,,EMERVACC,Expense,
DEFRA,Animal Health,13/10/2011,Work package/WPO Implementation,Food and Farming Group,IBM United Kingdom Ltd,5809112226,"£28,837.00",Replacement of AHVLA windows servers for running Business Objects,GU1 2LD,SME,,0,Expense,
DEFRA,Animal Health,03/10/2011,Fuel & Utilities Recharge,Food and Farming Group,Mouchel Ltd,90080184,"£54,115.81",Water Quality Monitoring-Foot and Mouth Reinstatement,OL1 9LH,SME,,0,Asset,
DEFRA,Animal Health,17/10/2011,Work package/WPO Implementation,Food and Farming Group,IBM United Kingdom Ltd,5810110240,"£490,646.01",Payment for Customer Database release 6 design and support,GU1 2LD,SME,,0,Expense,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,13/10/2011,Project Misc Expend,Surveillance Programmes,DX Network Services Ltd,365439,"£25,804.28",Movement of samples for the Fallen Stock Project,SL0 9JQ,Large,133525,TS5902,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,13/10/2011,Project Misc Expend,Surveillance Programmes,DX Network Services Ltd,365440,"£25,804.28",Movement of samples for the Fallen Stock Project,SL0 9JQ,Large,133525,TS5902,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,13/10/2011,Project Misc Expend,Surveillance Programmes,DX Network Services Ltd,365441,"£25,804.28",Movement of samples for the Fallen Stock Project,SL0 9JQ,Large,133525,TS5902,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,20/10/2011,Sub Contracts,Research Programmes,ADAS Consulting Ltd,365979,"£30,815.00",Analysis of environmental swabs looking to detect scrapie in environmental samples,WV6 8TQ,Large,700544,SE1863,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,13/10/2011,Project Misc Expend,Surveillance Programmes,DX Network Services Ltd,365996,"£25,804.28",Movement of samples for the Fallen Stock Project,SL0 9JQ,Large,133525,TS5902,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,07/10/2011,Sub Contracts,Surveillance Programmes,Institute For Animal Health,366001,"£970,000.00",Provision of national reference laboratory requirements to AHVLA,RG20 7NN,Large,701245,SV3900,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,20/10/2011,Sub Contracts,Commercial,ADAS Consulting Ltd,366631,"£40,493.00",Research into broiler coccidiosis,WV6 8TQ,Large,701247,KN0002,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,20/10/2011,Sub Contracts,Surveillance Programmes,Royal Veterinary College,366987,"£43,403.00","Provision of veterinary surveillance, diagnostic necropsy and laboratory testing",NW1 0TU,Large,700580,ED1008,Programme,
