Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount 
DFID,DFID,01/04/2010,Aid to civil society organisations / NGOs,West and Southern Africa,FinMark  TRUST,400090262,"280,981.00"
DFID,DFID,01/04/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",Centre for the Study of Violence and Reconciliation,400089434,"131,367.96"
DFID,DFID,01/04/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",SHELTER CENTRE,400090648,"94,083.72"
DFID,DFID,01/04/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,WHITE RIBBON ALLIANCE,400090656,"341,249.00"
DFID,DFID,01/04/2010,Technical & Advisory services,West and Southern Africa,CHEMONICS,400087510,"277,391.85"
DFID,DFID,01/04/2010,Technical & Advisory services,Asia Division,INFRASTRUCTURE PROFESSIONALS ENTERPRISE,400090586,"48,391.86"
DFID,DFID,01/04/2010,Technical & Advisory services,East and Central Africa,KPMG EAST AFRICA LTD,400090627,"200,000.00"
DFID,DFID,01/04/2010,Technical & Advisory services,East and Central Africa,KPMG EAST AFRICA LTD,400090631,"44,519.00"
DFID,DFID,01/04/2010,Purchase of Vehicles,West and Southern Africa,IPA-International Procurement Agency (BV),400090777,"57,287.15"
DFID,DFID,01/04/2010,Purchase of Vehicles,West and Southern Africa,IPA-International Procurement Agency (BV),400090777,"-3,242.67"
DFID,DFID,01/04/2010,Technical & Advisory services,Asia Division,DELOITTE TOUCHE TOHAMATSU INDIA PRIVATE LTD (DTTIPL),400090951,"152,116.50"
DFID,DFID,01/04/2010,Technical & Advisory services,Asia Division,DELOITTE TOUCHE TOHAMATSU INDIA PRIVATE LTD (DTTIPL),400090959,"28,481.10"
DFID,DFID,01/04/2010,Aid to civil society organisations / NGOs,East and Central Africa,SA INSTITUTE OF INTERNATIONAL AFFAIRS,400089893,"50,559.90"
DFID,DFID,01/04/2010,Aid to civil society organisations / NGOs,West and Southern Africa,NELSON MANDELA FOUNDATION,400087548,"43,368.58"
DFID,DFID,01/04/2010,Aid to international organisations,Asia Division,UNDP,400088861,"400,000.00"
DFID,DFID,01/04/2010,Aid to civil society organisations / NGOs,West and Southern Africa,Institute of Governance and Social Research,400090080,"57,201.79"
DFID,DFID,06/04/2010,Technical & Advisory services,East and Central Africa,KPMG EAST AFRICA LTD,400090634,"69,819.00"
DFID,DFID,06/04/2010,Technical & Advisory services,East and Central Africa,KPMG EAST AFRICA LTD,400090634,"234,891.00"
DFID,DFID,06/04/2010,Technical & Advisory services,East and Central Africa,KPMG EAST AFRICA LTD,400087984,"1,035,394.44"
DFID,DFID,07/04/2010,Aid to civil society organisations / NGOs,East and Central Africa,REFUGEE EDUCATION TRUST,400089755,"600,582.70"
DFID,DFID,07/04/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",New York University (GBP),400091195,"100,000.00"
DFID,DFID,08/04/2010,Aid to civil society organisations / NGOs,East and Central Africa,INTERPEACE,400090552,"506,056.79"
DFID,DFID,08/04/2010,Aid to international organisations,International Finance Division,WHO (GENEVA),400091135,"45,000,000.00"
DFID,DFID,08/04/2010,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",UNOPS (ACCESS SUPPORT TEAM PROJECT),400091363,"105,000.00"
DFID,DFID,08/04/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,PATH (USD ACCOUNT),400088567,"300,000.00"
DFID,DFID,09/04/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",AVOCATS SANS FRONTIERES,400090302,"287,765.42"
DFID,DFID,09/04/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",REGIONAL CENTRE ON SMALL ARMS AND LIGHT WEAPONS (RECSA),400091100,"41,386.00"
DFID,DFID,12/04/2010,Aid to other bilateral donors,Policy and Research Directorate,The World  Bank IBRD,400091648,"196,335.08"
DFID,DFID,12/04/2010,Aid to international organisations,Policy and Research Directorate,United Nations Environment Programme (UNEP),400091566,"91,623.04"
DFID,DFID,12/04/2010,Aid to civil society organisations / NGOs,West and Southern Africa,Southern Africa Trust,400091816,"942,019.08"
DFID,DFID,12/04/2010,Aid to civil society organisations / NGOs,International Relations Division, Cultural Center DamaD,400091942,"25,194.76"
DFID,DFID,12/04/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,The Communication Initiative,400091104,"48,965.00"
DFID,DFID,13/04/2010,Working with Others including the Private Sector,Asia Division,Kofi Annan International Peacekeeping Training Centre,400089956,"98,926.73"
DFID,DFID,13/04/2010,Aid to international organisations,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division", UNHCR,400090858,"200,000.00"
DFID,DFID,13/04/2010,Technical & Advisory services,Policy and Research Directorate,AFRICAN CENTRE FOR TECHNOLOGY STUDIES,400091881,"225,864.00"
DFID,DFID,13/04/2010,Purchase of Vehicles,East and Central Africa,Saiba Trading Limited,400091324,"26,392.40"
DFID,DFID,14/04/2010,Aid to international organisations,Policy and Research Directorate,UNCTAD,400092339,"30,000.00"
DFID,DFID,14/04/2010,Aid to civil society organisations / NGOs,East and Central Africa,African Economic Research Consortium,400091012,"112,237.00"
DFID,DFID,14/04/2010,Technical & Advisory services,East and Central Africa,KPMG EAST AFRICA LTD,400091249,"58,319.00"
DFID,DFID,14/04/2010,Aid to international organisations,Policy and Research Directorate,IFPRI,400090640,"30,000.00"
DFID,DFID,14/04/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,TRANSPARENCY INTERNAT,400092452,"272,500.00"
DFID,DFID,14/04/2010,Technical & Advisory services,West and Southern Africa,COMESA (GBP),400092350,"2,600,000.00"
DFID,DFID,14/04/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",Geneva Call,400092489,"40,219.30"
DFID,DFID,15/04/2010,Aid to other bilateral donors,Western Asia and Stabilisation Division,Swiss Agency for Development and Cooperation (SDC-Pakistan),400092688,"771,397.00"
DFID,DFID,15/04/2010,Technical & Advisory services,Asia Division,INFRASTRUCTURE PROFESSIONALS ENTERPRISE,400092512,"36,893.14"
DFID,DFID,15/04/2010,Aid to civil society organisations / NGOs,East and Central Africa,CATHOLIC RELIEF SERVICES,400090861,"41,663.00"
DFID,DFID,16/04/2010,Technical & Advisory services,Asia Division,Internews Europe,400081888,"35,508.00"
DFID,DFID,16/04/2010,Aid to civil society organisations / NGOs,West and Southern Africa,FANRPAN,400092970,"57,762.03"
DFID,DFID,16/04/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,Diamond Development Initiative,400093068,"30,000.00"
DFID,DFID,16/04/2010,Aid to civil society organisations / NGOs,Asia Division,Manusher Jonno Foundation,400092730,"1,696,118.00"
DFID,DFID,18/04/2010,Technical & Advisory services,East and Central Africa,THE CROWN AGENTS,400093316,"28,191.31"
DFID,DFID,19/04/2010,Aid to other bilateral donors,Asia Division,ROYAL DANISH EMBASSY PHNOM PENH (NRM&L ACC),400093021,"1,194,000.00"
