Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend,
Home Office,IPCC - Independent Police Complaints Commission,11/04/2012,Vehicle Fleet Running Costs,Investigations,WILLIS LIMITED,RCT0039440,"33,920.00",
Home Office,IPCC - Independent Police Complaints Commission,18/04/2012,Capital,Corporate Services,MICROSOFT IRELAND OPERATIONS LTD,RCT0039518,"129,783.19",
Home Office,IPCC - Independent Police Complaints Commission,18/04/2012,Capital,Corporate Services,MICROSOFT IRELAND OPERATIONS LTD,RCT0039517,"58,507.35",
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,Conference costs,Chief Executice Office,Bramshill Sports & Social Club,5100063834,477.50,
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,Conference costs,Chief Executice Office,Bramshill Sports & Social Club,5100063834,9.55,
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,Publications,Chief Executice Office,Emerald,5100063934,"33,200.91",
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,Publications,Chief Executice Office,Emerald,5100063934,21.09,
Home Office,NPIA - National Policing Improvement Agency,04/04/2012,IT Hardware,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100063625,"52,526.00",
Home Office,NPIA - National Policing Improvement Agency,04/04/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100063626,"59,962.05",
Home Office,NPIA - National Policing Improvement Agency,26/04/2012,Legal costs,Information & Communications Technology & Science Directorate,Field Fisher Waterhouse LLP,5100063791,"41,430.36",
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100063801,"57,877.32",
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100063801,"1,156.45",
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100063801,"9,939.99",
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100063801,198.62,
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100063801,"13,000.00",
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100063801,259.77,
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100063801,"8,766.95",
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100063801,175.18,
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,IT software,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100063887,"39,900.00",
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,IT software,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100063887,798.00,
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,IT software,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100063887,"29,925.00",
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,IT software,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100063887,598.50,
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,IT software,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100063887,"29,925.00",
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,IT software,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100063887,598.50,
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,IT software,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100063897,"39,900.00",
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,IT software,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100063897,798.00,
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,IT software,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100063897,"29,925.00",
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,IT software,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100063897,598.50,
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,IT software,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100063897,"29,925.00",
Home Office,NPIA - National Policing Improvement Agency,11/04/2012,IT software,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100063897,598.50,
