Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Home Office,Home Office,04/08/2011,"Building, Construction Service.Planned Minor Works-ADMN",Performance & Finance Directorate,AMEY COMMUNITY,1001142060,"253,439.05"
Home Office,Home Office,04/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,AMEY COMMUNITY,1001142060,"45,806.94"
Home Office,Home Office,05/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,AMEY COMMUNITY,1001142435,"98,250.28"
Home Office,Home Office,05/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,AMEY COMMUNITY,1001142435,"34,360.92"
Home Office,Home Office,04/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,AMEY COMMUNITY,1001142060,"340,794.91"
Home Office,Home Office,17/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,AMEY COMMUNITY,1001146484,"107,010.57"
Home Office,Home Office,05/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,AMEY COMMUNITY,1001142435,"92,242.92"
Home Office,Home Office,04/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,AMEY COMMUNITY,1001142060,"328,113.70"
Home Office,Home Office,04/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,AMEY COMMUNITY,1001142060,"825,943.35"
Home Office,Home Office,04/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,AMEY COMMUNITY,1001142060,"568,752.60"
Home Office,Home Office,25/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,AMEY COMMUNITY,1001149479,"825,943.35"
Home Office,Home Office,25/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,AMEY COMMUNITY,1001149479,"340,794.91"
Home Office,Home Office,25/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,AMEY COMMUNITY,1001149479,"568,752.60"
Home Office,Home Office,25/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,AMEY COMMUNITY,1001149479,"328,113.70"
Home Office,Home Office,17/08/2011,"Building, Construction Service.Building, Construction Service - PROG",Performance & Finance Directorate,AMEY COMMUNITY,1001146485,"180,798.58"
Home Office,Home Office,23/08/2011,Building & Construction,Performance & Finance Directorate,ANNES GATE PROPERTY PLC,1001148489,"3,256,471.33"
Home Office,Home Office,16/08/2011,Professional & Admin Services.Facilities Man Serv - PROG,Performance & Finance Directorate,ATKINS LTD,1001145836,"44,258.00"
Home Office,Home Office,16/08/2011,Professional & Admin Services.Consultant - Imp & Del - PROG,Performance & Finance Directorate,ATKINS LTD,1001145836,"28,153.20"
Home Office,Home Office,25/08/2011,Professional & Admin Services.Consultant - Imp & Del - PROG,Performance & Finance Directorate,ATKINS LTD,1001149486,"26,912.46"
Home Office,Home Office,17/08/2011,Professional & Admin Services.Facilities Man Serv - ADMN,Performance & Finance Directorate,ATKINS LTD,1001146491,"163,824.55"
Home Office,Home Office,22/08/2011,"IT,TelecommsMan ServiceHosting.Support - ADMN",Performance & Finance Directorate,ATOS ORIGIN IT SERVICES UK LIMITED,1001147943,"191,667.00"
Home Office,Home Office,19/08/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - PROG",Performance & Finance Directorate,ATOS ORIGIN IT SERVICES UK LIMITED,1001147447,"23,019.37"
Home Office,Home Office,26/08/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - PROG",Performance & Finance Directorate,ATOS ORIGIN IT SERVICES UK LIMITED,1001149968,"21,520.64"
Home Office,Home Office,26/08/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - PROG",Performance & Finance Directorate,ATOS ORIGIN IT SERVICES UK LIMITED,1001149968,"21,520.64"
Home Office,Home Office,26/08/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - PROG",Performance & Finance Directorate,ATOS ORIGIN IT SERVICES UK LIMITED,1001149968,"21,520.64"
Home Office,Home Office,26/08/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - PROG",Performance & Finance Directorate,ATOS ORIGIN IT SERVICES UK LIMITED,1001149968,"21,520.64"
Home Office,Home Office,31/08/2011,Utilities.Pay Phone Provider Serv - PROG,Performance & Finance Directorate,BRITISH TELECOMMUNICATIONS LTD,1001150858,"102,685.34"
Home Office,Home Office,31/08/2011,Telecoms,Performance & Finance Directorate,BRITISH TELECOMMUNICATIONS LTD,1001150858,-1.20
Home Office,Home Office,26/08/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - ADMN",Performance & Finance Directorate,CABLE & WIRELESS,1001149974,"35,987.25"
Home Office,Home Office,16/08/2011,"Transport, Storage & Mail Serv.Mailing Mail Del Serv - ADMN",Performance & Finance Directorate,CENTRAL DESPATCH,1001145849,"38,971.25"
