Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/Jun/2013,Information & Records Management Services,Finance & Commercial Group - Commercial Directorate,TNT UK LTD,1082550,187.68,RUNNING COSTS DEVOLVED - Information & Records Management Services,BL8 9AR,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/Jun/2013,ICT Business Specific Application Services,Finance & Commercial Group - Commercial Directorate,CGI IT UK LTD,1083500,3788.45,RUNNING COSTS DEVOLVED - ICT Business Specific Application Services,CF31 9AP,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/Jun/2013,ICT Business Specific Application Services,Finance & Commercial Group - Commercial Directorate,CGI IT UK LTD,1083500,1718.31,RUNNING COSTS DEVOLVED - ICT Business Specific Application Services,CF31 9AP,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/Jun/2013,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1083568,8.66,RUNNING COSTS NON DEVOLVED - Standard Desktop Plus Service (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/Jun/2013,Hire of Agency Staff (Professional/Management),Finance & Commercial Group - Commercial Directorate,PARITY RESOURCES LTD,1083610,14400.00,RUNNING COSTS DEVOLVED - Hire of Agency Staff (Professional/Management),SW19 3RU,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/Jun/2013,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,PARITY RESOURCES LTD,1083610,57599.94,RUNNING COSTS NON DEVOLVED - Standard Desktop Plus Service (PFI),SW19 3RU,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/Jun/2013,Capital Grants - Other,Knowledge & Innovation Group - Research Base,SCOTTISH HIGHER EDUCATION FUNDING COUNCIL,1083677,2584750.00,HERC - SCOTLAND - Capital Grants - Other,EH12 5HD,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/Jun/2013,Car Hire,Markets and Local Growth - Regional Growth Fund & Legacy,ENTERPRISE RENT-A-CAR (UK) LTD,1083680,409.23,RUNNING COSTS DEVOLVED - Car Hire,TW20 8RX,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/Jun/2013,ICT Business Specific Application Services,Finance & Commercial Group - Commercial Directorate,CGI IT UK LTD,1083801,4442.17,RUNNING COSTS NON DEVOLVED - ICT Business Specific Application Services,CF31 9AP,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/Jun/2013,ICT Business Specific Application Services,Finance & Commercial Group - Commercial Directorate,CGI IT UK LTD,1083803,5877.93,RUNNING COSTS NON DEVOLVED - ICT Business Specific Application Services,CF31 9AP,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/Jun/2013,Health & Safety Training,Finance & Commercial Group - Corporate Shared Services,CAPITA BUSINESS SERVICES LTD (CIVIL SERVICE LEARNING),1084106,120.00,RUNNING COSTS DEVOLVED - Health & Safety Training,DL1 9HN,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/Jun/2013,Media and Design Services,Business & Skills Group - Enterprise Directorate,M4C (A DIVISION OF GROUPM UK LTD),1084204,-10534.19,ED CENTRAL - Media and Design Services,WC1X 8RX,EXT,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/Jun/2013,Media and Design Services,Business & Skills Group - Enterprise Directorate,M4C (A DIVISION OF GROUPM UK LTD),1084204,-10.47,ED CENTRAL - Media and Design Services,WC1X 8RX,EXT,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/Jun/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1084220,388.86,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/Jun/2013,ICT Business Specific Application Services,Finance & Commercial Group - Commercial Directorate,PARITY RESOURCES LTD,1084302,54225.10,RUNNING COSTS DEVOLVED - ICT Business Specific Application Services,SW19 3RU,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/Jun/2013,ICT Business Specific Application Services,Finance & Commercial Group - Commercial Directorate,PARITY RESOURCES LTD,1084306,233.29,RUNNING COSTS DEVOLVED - ICT Business Specific Application Services,SW19 3RU,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/Jun/2013,Other Overseas Travel & Subsistence,"People, Communications and Effectiveness Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1084375,25.37,RUNNING COSTS NON DEVOLVED - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/Jun/2013,Other Overseas Travel & Subsistence,"People, Communications and Effectiveness Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1084376,-685.88,RUNNING COSTS NON DEVOLVED - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/Jun/2013,Other Overseas Travel & Subsistence,"People, Communications and Effectiveness Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1084377,-151.33,RUNNING COSTS NON DEVOLVED - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/Jun/2013,Other Overseas Travel & Subsistence,"People, Communications and Effectiveness Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1084378,377.68,RUNNING COSTS NON DEVOLVED - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/Jun/2013,Other Overseas Travel & Subsistence,"People, Communications and Effectiveness Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1084379,470.96,RUNNING COSTS NON DEVOLVED - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
