Department family(T),Entity,Date,Expense type,Expense area,Supplier,Transaction No, Amount 
DEFRA,Cefas,02/03/2011,Professional Services Technical Subcontracts (scientific work),Environment & Ecosystems,SMRU LTD,20014592,"£25,166.57"
DEFRA,Cefas,03/03/2011,Lab Consumables,Corporate,Barclaycard,20015204,"£110,177.70"
DEFRA,Cefas,04/03/2011,Professional Services Technical Subcontracts (scientific work),Monitoring and Programme Management,D DOYLE,20015193,"£43,570.80"
DEFRA,Cefas,10/03/2011,Systems Delivery,Corporate,DEFRA RECEIPTS,20015415,"£65,000.00"
DEFRA,Cefas,10/03/2011,Systems Delivery,Corporate,DEFRA RECEIPTS,20015277,"£211,000.00"
DEFRA,Cefas,10/03/2011,Professional Services Technical Subcontracts (original research),Environment & Ecosystems,THE UNIVERSITY OF HULL,20015259,"£29,333.00"
DEFRA,Cefas,11/03/2011,Professional Services Technical Subcontracts (original research),Monitoring and Programme Management,MARIN,20014916,"£45,600.00"
DEFRA,Cefas,17/03/2011,Professional Services Technical Subcontracts (original research),Monitoring and Programme Management,UNIVERSITY OF SOUTHAMPTON,20015472,"£26,290.00"
DEFRA,Cefas,17/03/2011,Professional Services Technical Subcontracts (original research),Monitoring and Programme Management,NERC REF 9704,20014629,"£50,000.00"
DEFRA,Cefas,17/03/2011,Professional Services Technical Subcontracts (scientific work),Aquatic Health & Hygiene,Instituto Zooprofilattico Sperimentale,20015408,"£28,693.61"
DEFRA,Cefas,24/03/2011,Professional Services Technical Subcontracts (original research),Monitoring and Programme Management,EMU LTD,20015761,"£33,039.00"
DEFRA,Cefas,24/03/2011,Assets Under Construction,Aquatic Health & Hygiene,QIAGEN LTD,20015651,"£27,369.47"
DEFRA,Cefas,30/03/2011,Professional Services Technical Subcontracts (scientific work),Environment & Ecosystems,Economics for the Environment Consultancy Ltd,20016226,"£33,650.00"
DEFRA,Cefas,30/03/2011,Hardware (non capital),Corporate,DELL COMPUTER CORPORATION LTD,20016432,"£27,751.20"
DEFRA,Cefas,31/03/2011,Professional Services Technical Subcontracts (original research),Monitoring and Programme Management,UNIVERSITY OF SOUTHAMPTON,20016495,"£25,000.00"
DEFRA,Cefas,31/03/2011,Assets Under Construction,Environment & Ecosystems,Eppendorf UK Limited,20015734,"£29,666.36"
DEFRA,Cefas,31/03/2011,Hardware (non capital),Corporate,Kelway UK Ltd,20016427,"£28,398.80"
