Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount 
Home Office,Home Office,05/12/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - ADMN",SSD - Shared Service Directorate,ATOS IT SERVICES UK LTD,1001187727,"45,151.69"
Home Office,Home Office,02/12/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - ADMN",SSD - Shared Service Directorate,ATOS IT SERVICES UK LTD,1001186760,"93,000.00"
Home Office,Home Office,20/12/2011,"IT,TelecommsMan ServiceHosting.Support - ADMN",SSD - Shared Service Directorate,ATOS IT SERVICES UK LTD,1001194721,"191,667.00"
Home Office,Home Office,20/12/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - PROG",SSD - Shared Service Directorate,ATOS IT SERVICES UK LTD,1001194721,"21,634.21"
Home Office,Home Office,20/12/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - PROG",SSD - Shared Service Directorate,ATOS IT SERVICES UK LTD,1001194721,"97,674.00"
Home Office,Home Office,20/12/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - PROG",SSD - Shared Service Directorate,ATOS IT SERVICES UK LTD,1001194721,"6,514.40"
Home Office,Home Office,20/12/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - PROG",SSD - Shared Service Directorate,ATOS IT SERVICES UK LTD,1001194721,"56,920.02"
Home Office,Home Office,20/12/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - PROG",SSD - Shared Service Directorate,ATOS IT SERVICES UK LTD,1001194721,752.64
Home Office,Home Office,21/12/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - PROG",SSD - Shared Service Directorate,ATOS IT SERVICES UK LTD,1001195673,"630,333.03"
Home Office,Home Office,21/12/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - PROG",SSD - Shared Service Directorate,ATOS IT SERVICES UK LTD,1001195673,"454,175.00"
Home Office,Home Office,21/12/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - PROG",SSD - Shared Service Directorate,ATOS IT SERVICES UK LTD,1001195673,"87,334.45"
Home Office,Home Office,12/12/2011,"IT, TelecommsHardware Server.Support and Maintenance - ADMN",SSD - Shared Service Directorate,FUJITSU SERVICES (ALCEDO) LTD,1001190687,"10,213.20"
Home Office,Home Office,12/12/2011,"IT, TelecommsHardware Server.Support and Maintenance - ADMN",SSD - Shared Service Directorate,FUJITSU SERVICES (ALCEDO) LTD,1001190687,"36,660.00"
Home Office,Home Office,12/12/2011,"IT, TelecommsHardware Server.Support and Maintenance - ADMN",SSD - Shared Service Directorate,FUJITSU SERVICES (ALCEDO) LTD,1001190687,0.06
Home Office,Home Office,12/12/2011,"IT, TelecommsHardware Laptop.Support and Maintenance - ADMN",SSD - Shared Service Directorate,FUJITSU SERVICES (ALCEDO) LTD,1001190687,"15,985.55"
Home Office,Home Office,12/12/2011,"IT, TelecommsHardware Laptop.Support and Maintenance - ADMN",SSD - Shared Service Directorate,FUJITSU SERVICES (ALCEDO) LTD,1001190687,"7,469.25"
Home Office,Home Office,22/12/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - ADMN",SSD - Shared Service Directorate,FUJITSU SERVICES (ALCEDO) LTD,1001196341,"567,568.58"
Home Office,Home Office,22/12/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - ADMN",SSD - Shared Service Directorate,FUJITSU SERVICES (ALCEDO) LTD,1001196341,"436,119.40"
Home Office,Home Office,22/12/2011,"IT, TelecommsHardware Desktop.Support and Maintenance - ADMN",SSD - Shared Service Directorate,FUJITSU SERVICES (ALCEDO) LTD,1001196341,"103,013.18"
