Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Home Office,DBS - Disclosure & Barring Service,10/12/2012,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CLEVELAND,1001346386,"36,604.96"
Home Office,DBS - Disclosure & Barring Service,10/12/2012,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HAMPSHIRE,1001346389,"39,969.21"
Home Office,DBS - Disclosure & Barring Service,10/12/2012,Police Authorities,DBS - Disclosure & Barring Service,AVON & SOMERSET POLICE & CRIME COMMISSIONER,1001346234,"49,577.21"
Home Office,DBS - Disclosure & Barring Service,10/12/2012,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR ESSEX,1001346387,"59,828.18"
Home Office,DBS - Disclosure & Barring Service,11/12/2012,Police Authorities,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE,1001347171,"25,933.44"
Home Office,DBS - Disclosure & Barring Service,11/12/2012,Police Authorities,DBS - Disclosure & Barring Service,THE NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER,1001347199,"29,321.99"
Home Office,DBS - Disclosure & Barring Service,11/12/2012,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SURREY,1001347181,"30,831.21"
Home Office,DBS - Disclosure & Barring Service,11/12/2012,Police Authorities,DBS - Disclosure & Barring Service,WEST MIDLANDS OFFICE FOR POLICING & CRIME,1001347206,"100,720.31"
Home Office,DBS - Disclosure & Barring Service,11/12/2012,Police Authorities,DBS - Disclosure & Barring Service,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER,1001347168,"109,370.21"
Home Office,DBS - Disclosure & Barring Service,14/12/2012,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001349247,"2,807,382.00"
Home Office,DBS - Disclosure & Barring Service,18/12/2012,Police Authorities,DBS - Disclosure & Barring Service,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER,1001351119,"28,477.26"
Home Office,DBS - Disclosure & Barring Service,18/12/2012,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SURREY,1001351136,"29,313.58"
Home Office,DBS - Disclosure & Barring Service,18/12/2012,Police Authorities,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR NORTH YORKSHIRE,1001351154,"30,324.79"
Home Office,DBS - Disclosure & Barring Service,18/12/2012,Police Authorities,DBS - Disclosure & Barring Service,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER,1001351063,"33,847.78"
Home Office,DBS - Disclosure & Barring Service,18/12/2012,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CHESHIRE,1001351132,"35,853.49"
Home Office,DBS - Disclosure & Barring Service,18/12/2012,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HAMPSHIRE,1001351134,"40,667.91"
Home Office,DBS - Disclosure & Barring Service,18/12/2012,Police Authorities,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE,1001351126,"44,319.85"
Home Office,DBS - Disclosure & Barring Service,18/12/2012,Police Authorities,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE),1001351125,"56,129.53"
Home Office,DBS - Disclosure & Barring Service,20/12/2012,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR GWENT,1001352146,"26,078.81"
Home Office,DBS - Disclosure & Barring Service,20/12/2012,Police Authorities,DBS - Disclosure & Barring Service,WEST MERCIA PCC,1001352200,"34,069.33"
Home Office,DBS - Disclosure & Barring Service,20/12/2012,Police Authorities,DBS - Disclosure & Barring Service,MINISTRY OF JUSTICE,3000045823,"350,819.51"
Home Office,DBS - Disclosure & Barring Service,20/12/2012,Police Authorities,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001352118,"470,959.35"
Home Office,DBS - Disclosure & Barring Service,21/12/2012,Police Authorities,DBS - Disclosure & Barring Service,BRITISH TRANSPORT POLICE,1001352857,"40,662.57"
Home Office,Home Office,07/12/2012,Editorial  & Design Services,Communications,MOTHER LONDON LTD,1001345655,"-90,000.00"
Home Office,Home Office,07/12/2012,Editorial  & Design Services,Communications,MOTHER LONDON LTD,1001345655,"62,750.00"
Home Office,Home Office,07/12/2012,Editorial  & Design Services,Communications,MOTHER LONDON LTD,1001345655,"90,000.00"
Home Office,Home Office,10/12/2012,Advertising Media.Publicity,Communications,M4C,1001346351,"104,209.09"
Home Office,Home Office,13/12/2012,Editorial  & Design Services,Communications,MARKET & OPINION RESEARCH INTERNATIONAL LTD,1001348611,"29,000.00"
Home Office,Home Office,14/12/2012,Editorial  & Design Services,Communications,M4C,1001349287,"22,833.55"
Home Office,Home Office,14/12/2012,Editorial  & Design Services,Communications,M4C,1001349287,"174,987.18"
Home Office,Home Office,18/12/2012,Editorial  & Design Services,Communications,RAINEY KELLY CAMPBELL ROALFE/Y&R,1001351142,"51,667.04"
Home Office,Home Office,20/12/2012,Editorial  & Design Services,Communications,M4C,1001352117,"30,846.92"
Home Office,Home Office,03/12/2012,Professional & Admin Services,CPG - Crime & Policing Group,TREASURY SOLICITORS OFFICE,3000045756,"41,110.80"
Home Office,Home Office,03/12/2012,"IT,TelecommsHardware&Software",CPG - Crime & Policing Group,STERIA UK,1001342750,"50,479.20"
Home Office,Home Office,03/12/2012,Programme or Project Support,CPG - Crime & Policing Group,ERNST AND YOUNG LLP,1001342692,"106,914.00"
Home Office,Home Office,03/12/2012,"IT,TelecommsHardware&Software",CPG - Crime & Policing Group,STERIA UK,1001342750,"122,219.53"
Home Office,Home Office,03/12/2012,Grants,CPG - Crime & Policing Group,POLICE & CRIME COMMISSIONER FOR DYFED POWYS (G),1001343525,"525,759.66"
Home Office,Home Office,03/12/2012,Grants,CPG - Crime & Policing Group,POLICE & CRIME COMMISSIONER FOR NORTH WALES (G),1001343533,"540,961.75"
Home Office,Home Office,03/12/2012,Grants,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001343501,"2,517,302.83"
Home Office,Home Office,03/12/2012,Grants,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001343503,"2,545,396.75"
Home Office,Home Office,03/12/2012,Grants,CPG - Crime & Policing Group,POLICE & CRIME COMMISSIONER FOR DYFED POWYS (G),1001343525,"2,673,285.80"
Home Office,Home Office,03/12/2012,Grants,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR WARWICKSHIRE (G),1001343518,"2,723,170.08"
Home Office,Home Office,03/12/2012,Grants,CPG - Crime & Policing Group,POLICE & CRIME COMMISSIONER FOR GLOUCESTERSHIRE (G),1001343527,"3,017,868.42"
Home Office,Home Office,03/12/2012,Grants,CPG - Crime & Policing Group,POLICE & CRIME COMMISSIONER FOR WILTSHIRE (THE) (G),1001343537,"3,223,269.50"
Home Office,Home Office,03/12/2012,Grants,CPG - Crime & Policing Group,POLICE & CRIME COMMISSIONER FOR LINCOLNSHIRE (THE) (G),1001343532,"3,318,234.00"
Home Office,Home Office,03/12/2012,Grants,CPG - Crime & Policing Group,POLICE AND CRIME COMMISSIONER FOR BEDFORDSHIRE (THE) (G),1001343538,"3,403,012.42"
Home Office,Home Office,03/12/2012,Grants,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001343504,"3,534,020.25"
Home Office,Home Office,03/12/2012,Grants,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR SUFFOLK (G),1001343517,"3,563,378.33"
Home Office,Home Office,03/12/2012,Grants,CPG - Crime & Policing Group,THE POLICE & CRIME COMMISSIONER FOR NORTH YORKSHIRE (G),1001343508,"3,655,512.33"
Home Office,Home Office,03/12/2012,Grants,CPG - Crime & Policing Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1001343505,"3,688,842.00"
