Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
DEFRA,Core Dept,23-Apr-10,Other Current Payments (R&D) (E),Environment and Rural Group,A B P Marine Environmental Res,3598,"Ł185,632.38"
DEFRA,Core Dept,07-Apr-10,Other Current Payments E,Environment and Rural Group,A C R E,4796,"Ł946,500.00"
DEFRA,Core Dept,20-Apr-10,Other Current Payments (R&D) (E),Food and Farming Group,A D A S UK Ltd,1.30E+12,"Ł25,003.40"
DEFRA,Core Dept,23-Apr-10,Other Current Payments (R&D) (E),Environment and Rural Group,A D A S UK Ltd,2.00E+12,"Ł28,254.84"
DEFRA,Core Dept,06-Apr-10,Other Current Payments (R&D) (E),Environment and Rural Group,A D A S UK Ltd,RIRP043770,"Ł31,601.63"
DEFRA,Core Dept,20-Apr-10,Other Current Payments (R&D) (E),Food and Farming Group,A D A S UK Ltd,1.30E+12,"Ł31,919.90"
DEFRA,Core Dept,06-Apr-10,Other Current Payments E,Food and Farming Group,A D A S UK Ltd,RIRP043686,"Ł35,496.75"
DEFRA,Core Dept,20-Apr-10,Other Current Payments (R&D) (E),Food and Farming Group,A D A S UK Ltd,1.30E+12,"Ł38,188.97"
DEFRA,Core Dept,06-Apr-10,Other Current Payments (R&D) (E),Environment and Rural Group,A D A S UK Ltd,RIRP043981,"Ł48,035.18"
DEFRA,Core Dept,20-Apr-10,Other Current Payments (R&D) (E),Food and Farming Group,A D A S UK Ltd,1.30E+12,"Ł63,370.10"
DEFRA,Core Dept,20-Apr-10,Other Current Payments (R&D) (E),Food and Farming Group,A D A S UK Ltd,1.30E+12,"Ł79,010.53"
DEFRA,Core Dept,23-Apr-10,Other Current Payments (R&D) (E),Environment and Rural Group,A D A S UK Ltd,200410,"Ł115,547.78"
DEFRA,Core Dept,23-Apr-10,Other Current Payments (R&D) (E),Strategy and Evidence Group,A E A Technology - SPM Lead Co,6138852,"Ł27,387.19"
DEFRA,Core Dept,06-Apr-10,Other Current Payments (R&D) (E),Strategy and Evidence Group,A E A Technology - SPM Lead Co,6138481,"Ł28,755.78"
DEFRA,Core Dept,09-Apr-10,Other Current Payments (R&D) (E),Strategy and Evidence Group,A E A Technology - SPM Lead Co,6138621,"Ł32,081.50"
DEFRA,Core Dept,06-Apr-10,Other Current Payments (R&D) (E),Strategy and Evidence Group,A E A Technology - SPM Lead Co,6138659,"Ł32,841.33"
DEFRA,Core Dept,06-Apr-10,Other Current Payments (R&D) (E),Strategy and Evidence Group,A E A Technology - SPM Lead Co,6138662,"Ł33,446.38"
DEFRA,Core Dept,06-Apr-10,Other Current Payments (R&D) (E),Strategy and Evidence Group,A E A Technology - SPM Lead Co,6138623,"Ł49,122.05"
DEFRA,Core Dept,06-Apr-10,Other Current Payments (R&D) (E),Strategy and Evidence Group,A E A Technology - SPM Lead Co,6138638,"Ł56,689.34"
DEFRA,Core Dept,06-Apr-10,Other Current Payments (R&D) (E),Strategy and Evidence Group,A E A Technology - SPM Lead Co,6138489,"Ł70,500.00"
DEFRA,Core Dept,09-Apr-10,Other Current Payments E,Strategy and Evidence Group,A E A Technology - SPM Lead Co,6138728,"Ł211,587.48"
DEFRA,Core Dept,06-Apr-10,Other Current Payments (R&D) (E),Environment and Rural Group,A E A Technology plc,6138710,"Ł27,343.43"
DEFRA,Core Dept,09-Apr-10,Other Current Payments E,Strategy and Evidence Group,A E A Technology plc,6138855,"Ł37,738.06"
DEFRA,Core Dept,16-Apr-10,Other Current Payments UK,Environment and Rural Group,A E A Technology plc,6138537,"Ł44,257.81"
DEFRA,Core Dept,13-Apr-10,Other Current Payments (GB),Environment and Rural Group,Aberdeenshire Council,4243413,"Ł32,900.00"
DEFRA,Core Dept,09-Apr-10,Contractor - Management Cover,Strategy and Evidence Group,Acadent Ltd,ACADEFRAFCD0110,"Ł32,665.00"
DEFRA,Core Dept,09-Apr-10,Consultancy Non-Scheme,Strategy and Evidence Group,Acadent Ltd,ACADEFRAFCD0210,"Ł42,065.00"
DEFRA,Core Dept,09-Apr-10,Consultancy Non-Scheme,Strategy and Evidence Group,Acadent Ltd,ACADEFRAFCD1209,"Ł46,230.00"
DEFRA,Core Dept,06-Apr-10,Consultancy Non-Scheme,Strategy and Evidence Group,ActionPoint Marketing Solution,1480310,"Ł29,845.00"
DEFRA,Core Dept,06-Apr-10,Consultancy Non-Scheme,Law and Corporate Services,Alpine Resourcing Ltd,5491,"Ł32,157.87"
DEFRA,Core Dept,16-Apr-10,Consultancy Non-Scheme,Law and Corporate Services,Alpine Resourcing Ltd,5581,"Ł36,981.55"
DEFRA,Core Dept,20-Apr-10,Other Current Payments E,Strategy and Evidence Group,Amigos da Terra-Amazonia Brasi,290110,"Ł29,000.00"
DEFRA,Core Dept,06-Apr-10,Other Current Payments (R&D) (E),Environment and Rural Group,Atkins Ltd,9039973,"Ł27,600.00"
DEFRA,Core Dept,23-Apr-10,Prepayments,Law and Corporate Services,Atos Origin IT Services UK Ltd,210410,"Ł1,280,014.72"
DEFRA,Core Dept,06-Apr-10,Other Current Payments (R&D) (E),Food and Farming Group,B B S R C,6591,"Ł38,663.00"
DEFRA,Core Dept,16-Apr-10,Other Current Payments E,Strategy and Evidence Group,Bangor University,30012552,"Ł26,000.00"
