Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Amount 
Defra,Core Dept,20-Jun-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,140611,"78,094.20"
Defra,Core Dept,20-Jun-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,1.41E+12,"30,593.20"
Defra,Core Dept,20-Jun-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,1.41E+12,"34,923.19"
Defra,Core Dept,20-Jun-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,1.41E+12,"33,846.00"
Defra,Core Dept,06-Jun-11,Other Current Payments UK,Food and Farming Group,A D A S UK Ltd,RIRP052298,"25,141.55"
Defra,Core Dept,06-Jun-11,Other Current Payments (Evidence R&D),Green Economy and Corporate Services Group,A E A Technology - SPM Lead Co,6143677,"83,533.80"
Defra,Core Dept,08-Jun-11,Other Current Payments E,Green Economy and Corporate Services Group,A E A Technology - SPM Lead Co,6143819,"82,067.88"
Defra,Core Dept,30-Jun-11,Evidence Non R&D,Green Economy and Corporate Services Group,A E A Technology - SPM Lead Co,6144046,"190,782.06"
Defra,Core Dept,16-Jun-11,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,130611,"26,663.64"
Defra,Core Dept,14-Jun-11,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6143609,"32,204.40"
Defra,Core Dept,14-Jun-11,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6143791,"32,204.40"
Defra,Core Dept,14-Jun-11,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6143854,"53,006.40"
Defra,Core Dept,10-Jun-11,Evidence Non R&D,Environment and Rural Group,A E A Technology plc,6143858,"190,356.00"
Defra,Core Dept,06-Jun-11,Agency temps - clerical,Green Economy and Corporate Services Group,Adecco UK Ltd,23052011,"248,499.82"
Defra,Core Dept,14-Jun-11,Contractor - Management Cover,Food and Farming Group,Alpine Resourcing Ltd,6960,"28,989.42"
Defra,Core Dept,14-Jun-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Animal Health and Veterinary L,ERS-480474-34449,"32,781.33"
Defra,Core Dept,14-Jun-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Animal Health and Veterinary L,ERS-480487-34453,"32,893.14"
Defra,Core Dept,03-Jun-11,Other Current Payments E,Environment and Rural Group,Association of Lowland Search ,270511,"27,420.00"
Defra,Core Dept,28-Jun-11,Other Current Payments (Evidence R&D),Food and Farming Group,B B S R C,ERS-480382-34232,"37,600.00"
Defra,Core Dept,01-Jun-11,Current Grants E,Environment and Rural Group,Bangor University,40511,"30,112.70"
Defra,Core Dept,10-Jun-11,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.72E+21,"258,073.62"
Defra,Core Dept,03-Jun-11,Other Current Payments E,Environment and Rural Group,Beds & Luton Fire and Rescue S,270511,"35,500.00"
Defra,Core Dept,28-Jun-11,Current Grants E,Food and Farming Group,Breeding Vision Ltd,MKTF2432,"40,370.27"
Defra,Core Dept,22-Jun-11,Overhead Incidental Expenses,Green Economy and Corporate Services Group,British Telecommunications plc,Q0380135,"36,672.33"
Defra,Core Dept,03-Jun-11,Capital Grants to PCs,Environment and Rural Group,British Waterways,250511,"1,597,000.00"
Defra,Core Dept,22-Jun-11,Other Current Payments (Evidence R&D),Environment and Rural Group,BTO Services Limited,ACCS0406,"81,597.00"
Defra,Core Dept,01-Jun-11,Other Current Payments UK,Environment and Rural Group,Bureau Veritas UK Ltd,11009425,"168,616.80"
Defra,Core Dept,14-Jun-11,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8000843,"35,000.00"
Defra,Core Dept,14-Jun-11,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8001067,"34,433.33"
Defra,Core Dept,14-Jun-11,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8001106,"34,433.33"
Defra,Core Dept,14-Jun-11,Evidence Non R&D,Environment and Rural Group,C E F A S,8001134,"2,390,166.63"
Defra,Core Dept,24-Jun-11,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8001173,"26,403.50"
Defra,Core Dept,03-Jun-11,Other Current Payments E,Environment and Rural Group,Cheshire Fire Authority,270511,"69,184.00"
Defra,Core Dept,15-Jun-11,Other Current Payments E,Green Economy and Corporate Services Group,China Chamber of Commerce,210311,"47,900.00"
Defra,Core Dept,14-Jun-11,Grant-in Aid Payments,Environment and Rural Group,Commission For Rural Communiti,20611,"43,810.00"
Defra,Core Dept,28-Jun-11,Grant-in Aid Payments,Environment and Rural Group,Consumer Council for Water (CC,150611,"1,137,637.00"
Defra,Core Dept,14-Jun-11,Other Current Payments (GB),Food and Farming Group,Conwy County Borough Council,PP242777406,"71,085.39"
Defra,Core Dept,01-Jun-11,Gas,Green Economy and Corporate Services Group,Corona Energy,V5744641,"76,547.51"
Defra,Core Dept,20-Jun-11,Gas,Green Economy and Corporate Services Group,Corona Energy,V5813209,"106,867.15"
Defra,Core Dept,01-Jun-11,Other Current Payments (Evidence R&D),Food and Farming Group,Cranfield University,1313765,"63,901.00"
Defra,Core Dept,08-Jun-11,Other Current Payments (GB),Food and Farming Group,Cumbria County Council,182065,"149,652.98"
Defra,Core Dept,14-Jun-11,Other Current Payments (GB),Food and Farming Group,Cyngor Gwynedd Council,110877K0006894E,"66,505.73"
Defra,Core Dept,27-Jun-11,Payments to Agencies GB,Food and Farming Group,D L O Holding/Prionics AG,28849,"195,027.47"
Defra,Core Dept,24-Jun-11,Other Current Payments (Evidence R&D),Environment and Rural Group,D S T L,MST003895,"25,200.00"
Defra,Core Dept,01-Jun-11,Estates Professional Fees & Services,Green Economy and Corporate Services Group,D T Z,167295,"45,320.00"
Defra,Core Dept,02-Jun-11,Insurance,Green Economy and Corporate Services Group,D T Z,DEFRA084,"472,266.21"
Defra,Core Dept,09-Jun-11,Rents to Landlords,Green Economy and Corporate Services Group,D T Z,DEFRA085,"77,778.59"
Defra,Core Dept,16-Jun-11,Property Lease Costs,Green Economy and Corporate Services Group,D T Z,DEFRA086,"6,192,738.48"
Defra,Core Dept,23-Jun-11,Rents to Landlords,Green Economy and Corporate Services Group,D T Z,DEFRA087,"3,020,243.56"
Defra,Core Dept,28-Jun-11,Insurance,Green Economy and Corporate Services Group,D T Z,DEFRA088,"93,124.24"
