Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount ,Description
Defra,Core Dept,12/07/2011,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.72E+21,"271,382.74",This is the monthly aggregate GPC card invoice to be recharged out to the business
Defra,Core Dept,08/07/2011,Other Current Payments E,Environment and Rural Group,Local Partnerships LLP,41100750,"252,403.61",Consultancy Services for WIDP Programme
Defra,Core Dept,08/07/2011,Other Current Payments UK,Environment and Rural Group,Bureau Veritas UK Ltd,11011172,"168,172.80",Non Research &Development Contract for ALE Programme
Defra,Core Dept,18/07/2011,Overhead Incidental Expenses,Environment and Rural Group,National Physical Laboratory,108639,"145,011.18",Non Research &Development Contract for ALE Programme
Defra,Core Dept,06/07/2011,Clearing Scientific & Research,Environment and Rural Group,Air Monitors Ltd,3588,"133,957.92",Capital purchase for ALE Programme
Defra,Core Dept,08/07/2011,Clearing Scientific & Research,Environment and Rural Group,Air Monitors Ltd,3498,"133,860.42",Capital purchase for ALE Programme
Defra,Core Dept,14/07/2011,Evidence Non R&D,Environment and Rural Group,National Physical Laboratory,108320,"57,544.80",Non Research &Development Contract for ALE Programme
Defra,Core Dept,06/07/2011,Current Grants E,Environment and Rural Group,Zoological Society Of London,3.11E+12,"44,728.54",Darwin Initiative Grant Award - grant claim
Defra,Core Dept,26/07/2011,Other Current Payments E,Environment and Rural Group,N A A O N B.,GRNT11121,"37,000.00",National Association for AONBs grant payment
Defra,Core Dept,18/07/2011,Other Current Payments E,Environment and Rural Group,Pricewaterhouse Coopers,1353578529,"36,550.61",Provision of Advisory Services for Seafish
Defra,Core Dept,06/07/2011,Current Grants E,Environment and Rural Group,Zoological Society Of London,130611,"30,469.33",Darwin Initiative Grant Award - grant claim
Defra,Core Dept,12/07/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,National Physical Laboratory,108365,"29,828.40",Research &Development Contract for ALE Programme
Defra,Core Dept,04/07/2011,Evidence Non R&D,Environment and Rural Group,National Physical Laboratory,108364,"28,772.40",Non Research &Development Contract for ALE Programme
Defra,Core Dept,14/07/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,Ensis Ltd,110711,"28,177.52",Research &Development Contract for ALE Programme
Defra,Core Dept,06/07/2011,Current Grants E,Environment and Rural Group,Fauna & Flora International,3.01E+12,"25,723.75",Darwin Initiative Grant Award - grant claim
Defra,Core Dept,28/07/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,AMEC Environment & Infrastruct,481259,"25,137.60",Efficiency of Effectiveness &cost Efficiency of Air Quality Project
Defra,Core Dept,20/07/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,RIRP054444,"318,342.65",Research project - Minimising nitrous oxide intensities of arable crop products
Defra,Core Dept,20/07/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,RIRP054442,"210,987.80",Research project - Minimising nitrous oxide intensities of arable crop products
Defra,Core Dept,28/07/2011,Other Current Payments (GB),Food and Farming Group,Deloitte & Touche,1110696278,"137,206.80",Finance Development Programme work for RPA Review Implementation
Defra,Core Dept,15/07/2011,Other Current Payments (GB),Food and Farming Group,Office International Des Epizo,23062011,"131,246.40",Annual UK CVO Membership Subscription 
Defra,Core Dept,14/07/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,80711,"78,094.20",Research project AC0116 - Understanding the behaviour of livestock manure multiple pollutants through contrasting cracking clay soils 
Defra,Core Dept,22/07/2011,Evidence Non R&D,Food and Farming Group,Identigen Ltd,40695,"68,829.60",Tests for BSE on samples of slaughtered cattle
Defra,Core Dept,06/07/2011,Other Current Payments IT Projects,Food and Farming Group,IBM United Kingdom Ltd,5806111166,"54,154.80",Provision of facilities to submit the June 2011 agricultural survey electronically
Defra,Core Dept,22/07/2011,Other Current Payments (Evidence R&D),Food and Farming Group,R U Robots Ltd,234,"53,766.47",Research project - The grail robot project
Defra,Core Dept,08/07/2011,Other Current Payments (Evidence R&D),Food and Farming Group,SAC,10681841,"51,107.53",Research project - Environmental consequences using home-grown legumes as protein source in pig diets
Defra,Core Dept,14/07/2011,Other Current Payments (Evidence R&D),Food and Farming Group,The National Non-Food Crops Ce,80711,"47,028.00",Research project- Climate Change And Air Quality
Defra,Core Dept,12/07/2011,Contractor - Management Cover,Food and Farming Group,Alpine Resourcing Ltd,7007,"36,505.19",IT contract specialist for work on RPA Forward Option
Defra,Core Dept,14/07/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,8.07E+11,"34,923.19",Research Project AC0111 - Air quality measurements on cracking clay soils
Defra,Core Dept,28/07/2011,Other Current Payments E,Food and Farming Group,A D A S UK Ltd,RIRP053829,"34,740.00","Research project - Measuring the Economic, Environmental and Ecosystems Services Value of Woodland, Heathland and Heritage Gardens in the Context of Determining Potential Impacts from Phytophthora Ramorum and Phytophthora Kernoviae (PG0102)"
Defra,Core Dept,14/07/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,8.07E+11,"33,846.00",Research Project AC0213 - Potential for nitrification inhibitors and fertiliser nitrogen application timing strategies to reduce direct and indirect nitrous oxide emissions from UK agriculture
Defra,Core Dept,14/07/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,8.07E+11,"30,593.20",Research project - GHG Platform - Nitrous Oxide Emissions Factors
Defra,Core Dept,28/07/2011,Other Current Payments (GB),Food and Farming Group,A D A S UK Ltd,RIRP054555,"28,309.20",Delivery work relating to the EU Protected Food Name Scheme
Defra,Core Dept,28/07/2011,IBM Base Services Control,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5807111306,"7,512,386.35",IT services May 2011
Defra,Core Dept,08/07/2011,FM Projects Non Capital Works,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),SI00000474,"3,263,571.06",Facilities Management
Defra,Core Dept,21/07/2011,Property Lease Costs,Green Economy and Corporate Services Group,D T Z,DEFRA091,"1,773,052.46","DTZ Funding: property related costs - Rates, Rents & Service Charges etc"
Defra,Core Dept,28/07/2011,Property Lease Costs,Green Economy and Corporate Services Group,D T Z,DEFRA092,"993,867.65",DTZ Funding: property related costs - Rent & Service Charges 
Defra,Core Dept,14/07/2011,FM Projects Non Capital Works,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),FI00011228,"240,760.32",Facilities Management
Defra,Core Dept,14/07/2011,FM Projects Non Capital Works,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),FI00011230,"238,680.88",Facilities Management
Defra,Core Dept,08/07/2011,Overhead Incidental Expenses,Green Economy and Corporate Services Group,Oracle Corporation UK Ltd,1324928,"227,834.95",Licences and Software support
Defra,Core Dept,04/07/2011,Estate Maintenance Admin,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),FI00010951,"206,940.00",Facilities Management
Defra,Core Dept,22/07/2011,Other Current Payments (Evidence R&D),Green Economy and Corporate Services Group,A D A S UK Ltd,RIRP054399,"180,000.00",Second payment for Integrated Advice Pilot Study Project
Defra,Core Dept,26/07/2011,Evidence Non R&D,Green Economy and Corporate Services Group,A E A Technology - SPM Lead Co,6144281,"176,038.22",Sustainable Consumption and Production Lead Contract - Energy-Using Products
Defra,Core Dept,14/07/2011,Clearing Construction in Progress (Building Works),Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),FI00011327,"136,409.95",Facilities Management
Defra,Core Dept,20/07/2011,Electricity,Green Economy and Corporate Services Group,E D F Energy,117010711,"116,541.71",Electricity Costs
