Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number, Amount ,Invoice Description,"Description ( Please populate using the Invoice Description: Please rememebr no acroynms, abbreviations or PO numbers)",Supplier Postcode ,Supplier Type,Contract Number,Project code,Expenditure Type,VAT Registration Number
DEFRA,DEFRA,11/08/2011,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.72E+21,"224,535.03",4715320649042975 DEFRA AUG 2011 BILL,Defra Barclay Aug bill,TS17 6YG,,,,CURRENT ASSETS,
DEFRA,DEFRA,30/08/2011,Mobile Phones,Central Finance Group,Vodafone Ltd,60282725,"57,506.20",aCCOUNT 602147228/00001 DEFRA 17.8.11,Defra vodafone Bill,RG14 5FF,,,,CURRENT ASSETS,569953277
DEFRA,DEFRA,11/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,80811,"79,990.67","PO 344735- FY 11/12 NATIONAL ATMOSPHERIC EMISSION INVENTORY AND GREENHOUSE GAS INVENTORY-NEW CONTRACT F,G & H",Wildlife Species Conservation - Wildlife Inspectorate & Current Transfers Abroad,OX11 0QR,SME,,AQRDXXXX,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,03/08/2011,Evidence Non R&D,Environment and Rural Group,A E A Technology plc,6144380,"95,178.00",PO 303687 RMP 4961  JULY 2011,NCC GROSS MONTHLY ACP COSTS JULY 2011,OX11 0QJ,SME,10897,AQNONRDX,PROGRAMME EXPENDITURE EVIDENCE NON R&D,
DEFRA,DEFRA,19/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6144404,"53,006.40",PO 339399 AQ0634 JUL 2011,London Support Grant Service,OX11 0QR,SME,,AQRDXXXX,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,09/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6144443,"42,766.80",PO 303631 MODELLING OF TROPOSHERIC OZONE 1.4.11-30.6.11,Local Government Support Grant,OX11 0QR,SME,,AQRDXXXX,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,05/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6144458,"32,205.60",PO 343252 JULY 2011 CHARGES FOR OZONE MEASUREMENT,United Nations CONTRIBUTION,OX11 0QR,SME,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,25/08/2011,Contractor - Management Cover,Environment and Rural Group,A E A Technology plc,6144562,"31,047.30",PO 348457 - PRODUCT APPLICTIONS - PROJECT CODE ED47639,FOREIGN EMEP TRUST FUND,OX11 0QJ,SME,13998,,ADMIN - MANPOWER SUBSTITUTION,
DEFRA,DEFRA,25/08/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6144612,"32,205.60",PO 343252 BASELINE MEASUREMENT OF OZONE AQ0638 TO AUG 2011,GRANT-IN-AID TO MMO -AUGUST 2011,OX11 0QR,SME,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,11/08/2011,Current Grants E,Environment and Rural Group,Birdlife International,200711,"29,416.75",PO 336961- DARWIN GRANT REF: 18-011-PERIOD: JULY 2011 TO SEPT 2011,DARWIN GRANT - REF 18-009 - 01-JUL-11 - 31-SEPT-11,CB3 ONA,SME,,DARWINXX,CURRENT GRANTS,
