Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier post cose,Supplier Type,Contract Number, Project code,Expenditure type,VAT Registration Number
DEFRA,DEFRA,12-Sep-11,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.72E+21,"168,213.00",Monthly GPC card payment,TS17 6YG,,,0,CURRENT ASSETS,
DEFRA,DEFRA,12-Sep-11,Overhead Incidental Expenses,Environment and Rural Group,Acre.,5281,"1,600,000.00",RURAL COMMUNITY COUNCILS/ACRE INVESTMENT PROGRAMME 2011/12,GL7 1TW,,exempt,0,ADMIN OTHER NON-PAY,
DEFRA,DEFRA,30-Sep-11,Other Current Payments UK,Environment and Rural Group,Bureau Veritas UK Ltd,11016604,"173,942.40",TECH SUPPORT ,SE1 2TX,,10892,AQNONRDX,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,22-Sep-11,Other Current Payments (GB),Environment and Rural Group,International Whaling Commission,10933,"68,774.00",Annual Subscription - International Whaling Commission ,CB4 9NP,SME,exempt,0,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,22-Sep-11,Other Current Payments (Evidence R&D),Environment and Rural Group,Land Use Consultants,190911,"29,814.00",DEFRA-R&D \- Environmental Stewa-Environmental Stewardship-Other Current Payments (E-DEFAULT-DEFAULT,NW1 1JD,SME,Exempt,0,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,08-Sep-11,Other Current Payments E,Environment and Rural Group,Local Partnerships LLP,41100780,"234,890.95",Waste Infrastucture Devlivery programme TRANSACTOR SUPPORT AUG 11,EC1M 5LG,SME,exempt,WLASUCON,PROGRAMME EXPENDITURE,945707987
DEFRA,DEFRA,16-Sep-11,Other Current Payments (Evidence R&D),Environment and Rural Group,O S P A R Commission,120911,"50,000.00",CONTRIBUTION TO THE OSPAR COMMISSION Strategic Support for the OSPAR Regional Economic and Social Analysis (,WC2A 2JQ,SME,Exempt,0,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,08-Sep-11,Evidence Non R&D,Environment and Rural Group,Sea Mammal Research Unit,RG037287,"47,888.33",QUARTERLEY PAYMENT & START UP MEETINGS 6/4/11-16/6/11 FIELD ACTIVITY,KY16 8LB,SME,14518,0,PROGRAMME EXPENDITURE EVIDENCE NON R&D,
DEFRA,DEFRA,30-Sep-11,Overhead Incidental Expenses,Environment and Rural Group,Vehicle Certification Agency,SIAR159039,"64,750.00",Enforcement of batteries regulation,BS5 6XX,SME,exempt,0,ADMIN OTHER NON-PAY,888810569
DEFRA,DEFRA,20-Sep-11,Other Current Payments (Evidence R&D),Environment and Rural Group,WRc-NSF Ltd,150911,"76,795.20",Isle of Scilly Water Interests Survey,NP11 3EH,SME,Exempt,0,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,08-Sep-11,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,50911,"78,094.20",Understanding the behaviour of livestock manure multiple pollutants through contrasting cracking clay soils,WV6 8TQ,,,0,PROGRAMME EXPENDITURE EVIDENCE R&D,685426895
