DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,EXPENSE_AREA,SUPPLIER,TRANSACTION_NUM, AMOUNT ,DESCRIPTION,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM,,
DEFRA,DEFRA ORGANISATION,12/10/2011,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.71532E+23," Ł295,869.32 ",Government Procurement Card payments across Defra for period 5.10.2011,TS17 6YG,,,0,Asset,,,
DEFRA,DEFRA ORGANISATION,14/10/2011,Other Current Payments (Evidence R&D),Green Economy and Corporate Services Group,A D A S UK Ltd,RIRP056371," Ł150,000.00 ",Research and Development - Integrated Advice Pilot Study ,WV6 8TQ,,Exempt,RDEVFUND,Expense,,,
DEFRA,DEFRA ORGANISATION,29/10/2011,Other Current Payments E,Green Economy and Corporate Services Group,Vertex Data Science Ltd,FI0408029," Ł26,876.20 ",Defra General Telephone Helpline - call and setup charges- SEPTEMBER 2011,L34 1PJ,SME,Exempt,0,Expense,,,
DEFRA,DEFRA ORGANISATION,24/10/2011,Evidence Non R&D,Green Economy and Corporate Services Group,A E A Technology - SPM Lead Contract,6145263," Ł113,819.64 ",Sustainable Consumption and Production - Lead Contract - Energy Using Products,OX11 0QJ,,10548,0,Expense,,,
DEFRA,DEFRA ORGANISATION,18/10/2011,Other Current Payments (Evidence R&D),Green Economy and Corporate Services Group,A E A Technology - SPM Lead Contract,6145161," Ł34,912.00 ",An assessment of the biodegradable content of mixed municipal and commercial and industrial waste,OX11 0QJ,,Exempt,0,Expense,,,
DEFRA,DEFRA ORGANISATION,10/10/2011,Transition & Transformation,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5809111232," Ł74,385.45 ",IBM Services for period 01-30/09/2011,GU1 2LD,SME,FRW10040-00,CTTPS006,Expense,,,
DEFRA,DEFRA ORGANISATION,10/10/2011,Transition & Transformation,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5809111233," Ł39,423.00 ",IT costs: Software Upgrade,GU1 2LD,SME,FRW10040-00,CTTPS017,Expense,,,
DEFRA,DEFRA ORGANISATION,24/10/2011,Applications Support,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5810110682," Ł122,429.38 ",IBM Services: charges for period 1/4/11-30/9/11 for Farming Online Release 9 Application Support extension,GU1 2LD,SME,Exempt,CASBESP0,Expense,,,
DEFRA,DEFRA ORGANISATION,24/10/2011,Application Hosting 2 - Business Applications,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5810110679," Ł72,840.71 ",IBM Services: charges for period 1.9.11-30.9.11,GU1 2LD,SME,Exempt,CASBESP0,Expense,,,
DEFRA,DEFRA ORGANISATION,10/10/2011,Transition & Transformation,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5809111231," Ł180,191.00 ",IBM Services: Applications Monitoring for period 01-30/09/2011,GU1 2LD,SME,FRW10040-00,CTTPS002,Expense,,,
DEFRA,DEFRA ORGANISATION,29/10/2011,IBM Base Services Control,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5810111199," Ł6,267,479.43 ",IT Base Line Services  OCT 2011,GU1 2LD,SME,FRW10040-00,0,Expense,,,
DEFRA,DEFRA ORGANISATION,24/10/2011,Contractor - Management Cover,Green Economy and Corporate Services Group,Detica Ltd,1041814," Ł44,370.00 ",Special Information Security skills. ,GU2 7YP,SME,10990/1,0,Expense,,,
DEFRA,DEFRA ORGANISATION,24/10/2011,Publications - Storage & Distribution (C),Green Economy and Corporate Services Group,Iron Mountain (UK) Ltd,X546180X546189," Ł39,612.54 ",Defra Records Storage contract,EH54 7DF,SME,10120,0,Expense,,,
DEFRA,DEFRA ORGANISATION,24/10/2011,Publications - Storage & Distribution (C),Green Economy and Corporate Services Group,Iron Mountain (UK) Ltd,X738705X738717," Ł45,108.35 ",Defra Records Storage contract,EH54 7DF,SME,10120,0,Expense,,,
DEFRA,DEFRA ORGANISATION,24/10/2011,Publications - Storage & Distribution (C),Green Economy and Corporate Services Group,Iron Mountain (UK) Ltd,X838981X838991," Ł53,748.32 ",Defra Records Storage contract,EH54 7DF,SME,10120,0,Expense,,,
DEFRA,DEFRA ORGANISATION,14/10/2011,Estate Maintenance Admin,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt) Ltd,FI00012570," Ł365,635.97 ",Facilities Management charges,BS34 8YU,,11885,0,Asset,,,
DEFRA,DEFRA ORGANISATION,20/10/2011,FM Projects Non Capital Works,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt) Ltd,FI00012215," Ł25,396.04 ",Facilities services: costs for work  to relocate Rural Payment Agency from Lawnswood to Olimpia House,BS34 8YU,,14703,B182DISP,Expense,,,
DEFRA,DEFRA ORGANISATION,06/10/2011,Laundry,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt) Ltd,FI00012762," Ł102,542.95 ",Facilities services: BILLING SEP 11,BS34 8YU,,14916,0,Expense,,,
DEFRA,DEFRA ORGANISATION,20/10/2011,FM Projects Non Capital Works,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt) Ltd,SI00000582," Ł3,263,571.06 ",Facilities services charges 1-30/9/11,BS34 8YU,,10321X,0,Expense,,,
DEFRA,DEFRA ORGANISATION,26/10/2011,FM Projects Non Capital Works,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt) Ltd,FI00012212," Ł31,875.62 ",Facilities services -building clearance- AUGUST 2011,BS34 8YU,,14600,B182DISP,Expense,,,
DEFRA,DEFRA ORGANISATION,14/10/2011,FM Projects Non Capital Works,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt) Ltd,FI00012567," Ł297,763.87 ",Facilities Management charges,BS34 8YU,,13650,0,Asset,,,
DEFRA,DEFRA ORGANISATION,04/10/2011,Agency Recharge,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt) Ltd,FI00012206," Ł35,972.09 ",Facilities services: Weymouth Areas of Plant to be replaced/overhauled - AUG 2011,BS34 8YU,,13862,B0820000,Asset,,,
DEFRA,DEFRA ORGANISATION,04/10/2011,Agency Recharge,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt) Ltd,FI00012707," Ł94,790.75 ",Facilities services:Modification to existing Animal Health Units - SEPTEMBER 2011,BS34 8YU,,14583,B281P004,Asset,,,
DEFRA,DEFRA ORGANISATION,26/10/2011,Gas,Green Economy and Corporate Services Group,Corona Energy,6407412," Ł51,717.92 ",Gas bill 30/06/11 - 01/08/11 ,WD17 1JW,,,B0870000,Expense,,,
DEFRA,DEFRA ORGANISATION,26/10/2011,Gas,Green Economy and Corporate Services Group,Corona Energy,6405216," Ł50,189.93 ",Gas bill 01/02/11 - 01/03/11 ,WD17 1JW,,,B2810000,Expense,,,
DEFRA,DEFRA ORGANISATION,24/10/2011,Electricity,Green Economy and Corporate Services Group,E D F Energy,107011011," Ł31,837.78 ",Electricity Bill 01/09/11 - 30/09/11 ,PL3 5XQ,,,B0870000,Expense,,,
DEFRA,DEFRA ORGANISATION,26/10/2011,Gas,Green Economy and Corporate Services Group,Corona Energy,6404944," Ł54,441.59 ",Gas bill 31/10/10 - 1/12/10 ,WD17 1JW,,,B2810000,Expense,,,
DEFRA,DEFRA ORGANISATION,26/10/2011,Gas,Green Economy and Corporate Services Group,Corona Energy,6405025," Ł50,745.47 ",Gas bill 01/12/10 - 01/01/11 ,WD17 1JW,,,B2810000,Expense,,,
DEFRA,DEFRA ORGANISATION,26/10/2011,Gas,Green Economy and Corporate Services Group,Corona Energy,6409006," Ł59,197.38 ",Gas bill 01/08/11 - 01/09/11 ,WD17 1JW,,,B0870000,Expense,,,
DEFRA,DEFRA ORGANISATION,26/10/2011,Gas,Green Economy and Corporate Services Group,Corona Energy,6405598," Ł73,289.28 ",Gas bill 31/03/11 - 01/05/11 ,WD17 1JW,,,B2810000,Expense,,,
DEFRA,DEFRA ORGANISATION,26/10/2011,Gas,Green Economy and Corporate Services Group,Corona Energy,6411807," Ł66,235.27 ",Gas bill 01/08/11 - 01/09/11 ,WD17 1JW,,,B2810000,Expense,,,
DEFRA,DEFRA ORGANISATION,20/10/2011,Electricity,Green Economy and Corporate Services Group,E D F Energy,122031011," Ł60,513.02 ",Electricity Bill 01/09/11 - 30/09/11 ,PL3 5XQ,,,B0870000,Expense,,,
DEFRA,DEFRA ORGANISATION,20/10/2011,Electricity,Green Economy and Corporate Services Group,E D F Energy,120031011," Ł117,797.76 ",Electricity Bill 01/09/11 - 30/09/11 ,PL3 5XQ,,,B2810000,Expense,,,
DEFRA,DEFRA ORGANISATION,06/10/2011,Property Lease Costs,Green Economy and Corporate Services Group,D T Z,DEFRA103," Ł51,719.66 ",Business rates,B3 2ED,,,0,Expense,,,
DEFRA,DEFRA ORGANISATION,13/10/2011,Business Rates,Green Economy and Corporate Services Group,D T Z,DEFRA104," Ł49,888.98 ",Business rates,B3 2ED,,,0,Expense,,,
DEFRA,DEFRA ORGANISATION,20/10/2011,Business Rates,Green Economy and Corporate Services Group,D T Z,DEFRA105," Ł1,692,748.85 ",Business rates,B3 2ED,,,0,Expense,,,
DEFRA,DEFRA ORGANISATION,20/10/2011,Rents to Landlords,Green Economy and Corporate Services Group,D T Z,DEFRA107," Ł378,881.86 ",Business rates,B3 2ED,,,0,Expense,,,
