DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,EXPENSE_AREA,SUPPLIER,TRANSACTION_NUM,AMOUNT,Description of Transaction,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM
DEFRA,DEFRA ORGANISATION,11/11/2011,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.71532E+21,"314,212.32",Payment of monthly Barclaycard GPC bill,TS17 6YG,,,0,Asset,
DEFRA,DEFRA ORGANISATION,07/11/2011,Evidence Non R&D,Environment and Rural Group,Transport & Travel Research Ltd,2011085,"26,120.86",Local Air Quality Manangemnet. - Provision of external evidence gathering and policy support services,BS2 8RR,SME,13574,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,07/11/2011,Other Current Payments UK,Environment and Rural Group,Bureau Veritas UK Ltd,11021184,"186,525.60", Central Management and Control Unit of the automatic urban & rural networks,SE1 2TX,,10892,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,09/11/2011,Evidence Non R&D,Environment and Rural Group,National Physical Laboratory,109620,"27,062.40",Heavy metal monitoring - Aug 2011,TW11 0LW,SME,14769,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,09/11/2011,Evidence Non R&D,Environment and Rural Group,National Physical Laboratory,109621,"27,062.40",Heavy metal monitoring - Sept2011,TW11 0LW,SME,14769,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,09/11/2011,Evidence Non R&D,Environment and Rural Group,Extrium Ltd,0173DEFRA,"64,241.42",Acoustic Modelling / GSI Advisory ,TN1 2TU,SME,10965/2&3,0,Expense,
DEFRA,DEFRA ORGANISATION,09/11/2011,Evidence Non R&D,Environment and Rural Group,Extrium Ltd,0175DEFRA,"58,487.86",Acoustic Modelling / GSI Advisory ,TN1 2TU,SME,10965/2&3,0,Expense,
DEFRA,DEFRA ORGANISATION,09/11/2011,Evidence Non R&D,Environment and Rural Group,Extrium Ltd,0177DEFRA,"37,961.26",Acoustic Modelling / GSI Advisory ,TN1 2TU,SME,10965/2&3,0,Expense,
DEFRA,DEFRA ORGANISATION,11/11/2011,Capital LA Grant E,Environment and Rural Group,City Of London,41111,"85,000.00",City of London Air quality grant,EC2P 2EJ,SME,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,15/11/2011,Other Current Payments E,Environment and Rural Group,Local Partnerships LLP,41100817,"248,915.76",Local paternship contract,EC1M 5LG,SME,14265,WLASUCON,Expense,
DEFRA,DEFRA ORGANISATION,17/11/2011,Other Current Payments (GB),Environment and Rural Group,O S P A R Commission,91111,"269,105.63",Subcriptions to the Oslo and Paris convention for the protection of Marine Environment of the North-East Atlantic.,WC2A 2JQ,SME,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,17/11/2011,Evidence Non R&D,Environment and Rural Group,Transport & Travel Research Ltd,2011088,"25,654.37",Air Quality Management Appraisal Report,BS2 8RR,SME,13574,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,21/11/2011,Overhead Incidental Expenses,Environment and Rural Group,Vehicle Certification Agency,SIAR160222,"64,750.00", Enforcement of battery regulations,BS5 6XX,SME,exempt,0,Expense,
