Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,Core Defra,31/12/2013,Estates Professional Fees & Services,Chief Operating Officer DG,D T Z,218911,"35,988.00",Procurement fees for the disposal of the Worcester site.,B3 2ED,,10344,B129DISP,Expense,
DEFRA,Core Defra,12/12/2013,Business Rates,Chief Operating Officer DG,D T Z,021213,"3,985,581.47","Payment of rent, rates and service charges for various properties within the Defra Network - April-December 2013",B3 2ED,,,00000000,Expense,
DEFRA,Core Defra,19/12/2013,Business Rates,Chief Operating Officer DG,D T Z,FR218,"2,023,463.07","Payment of rent, rates and service charges for various properties within the Defra Network - April 2011-March 2014",B3 2ED,,,00000000,Expense,
DEFRA,Core Defra,05/12/2013,Property Lease Costs,Chief Operating Officer DG,D T Z,FR216,"36,456.67","Payment of rent, rates and service charges for various properties within the Defra Network - April 2013-March 2014",B3 2ED,,,00000000,Expense,
DEFRA,Core Defra,02/12/2013,Estates Professional Fees & Services,Chief Operating Officer DG,D T Z,216921,"36,557.60",Estates Management Core Services 2012-13 - November 2013.,EH3 9QG,,10344,DTZ00000,Expense,
DEFRA,Core Defra,20/12/2013,Estates Professional Fees & Services,Chief Operating Officer DG,D T Z,218214,"37,067.60",2013-14 Defra Estates management fee - December 2013,EH3 9QG,,10344,DTZ00000,Expense,
DEFRA,Core Defra,27/12/2013,Business Rates,Chief Operating Officer DG,D T Z,FR219,"54,789.93","Payment of rent, rates and service charges for various properties within the Defra Network - April 2013-March 2014",B3 2ED,,,00000000,Expense,
DEFRA,Core Defra,12/12/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00030492,"85,556.80","Nobel House, Westminster - New tea points, meeting rooms, carpets, data points, power points and decoration - November 2013",BS32 4NH,,17799,B196P010,Asset,
DEFRA,Core Defra,10/12/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00029774,"71,468.27","Nobel House, Westminster - Storage and Furniture Recycling and Disposal - October 2013",BS32 4NH,,10195L,B196P010,Asset,
DEFRA,Core Defra,04/12/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00027039,"29,003.52","Fera Laboratory, York - Modify road layout to enforce one-way traffic flow and improve safety of vehicular movement ",BS32 4NH,,18453,TRAFFICM,Asset,
DEFRA,Core Defra,02/12/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00029763,"38,584.14","Nobel House, Westminster - Internal lift refurbishment to five cars - October 2013",BS32 4NH,,10195L,LNHLIFTS,Asset,
DEFRA,Core Defra,10/12/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,IBM United Kingdom Ltd,5810131115,"57,532.05",Closure of Ergon House - time and materials - 05-26 July 2013.,GU1 2LD,SME,10040,B196P010,Asset,
DEFRA,Core Defra,02/12/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00029771,"131,262.92","Nobel House, Westminster - Costs of removing a bridge link with neighbouring Ergon House - October 2013",BS32 4NH,,365094,B196P010,Asset,
DEFRA,Core Defra,10/12/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00028175,"34,571.50","Fera Laboratory, York - Installation of a dedicated extract duct and associated works - August 2013.",BS32 4NH,,10195L,FERAREDE,Asset,
DEFRA,Core Defra,02/12/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00029772,"275,158.15","Management of the move of 4,600 staff that took place across London – from Nobel House to Ergon House and 9 Millbank; from Ergon House to 9 Millbank and Nobel House; from Hercules House to Nobel House - July 2012-July 2013.",BS32 4NH,,10195L,B196P010,Asset,
