Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,APHA,06/02/2015,Market Research,,Agri-Food & Biosciences Institute,INV21739,53979.35,"Distinctness, uniformity and stability tests for grasses and herbage candidates in accordance with the UK Protocols - October-December 2014",BT9 5PX,,,00000000,Expense,
DEFRA,APHA,06/02/2015,GPC Card,Central Finance Group,Barclaycard Business Issuing,47153206490582860115,58813.41,Payments made on Government procurement card - January 2015,TS17 6YG,SME,,00000000,Asset,
DEFRA,APHA,20/02/2015,Legal Expenses incl subscriptions to legal societies,,Cambridge Information Ltd,1009357,78511.14,Comparative Immunology Journal subscription - 2015,IP14 2EN,SME,,00000000,Expense,
DEFRA,APHA,10/02/2015,Interim Staff,,Capita Business Services Ltd,LO10019913,26815.10,Interim Staff costs - week ending 13 December 2014,SL6 1DP,,,00000000,Expense,
DEFRA,APHA,10/02/2015,Interim Staff,,Capita Business Services Ltd,LO10022833,32497.44,Interim Staff costs - week ending 10 January 2015,SL6 1DP,,,00000000,Expense,
DEFRA,APHA,10/02/2015,Interim Staff,,Capita Business Services Ltd,LO10025472,41648.75,Interim Staff costs - week ending 24 January 2015,SL6 1DP,,,00000000,Expense,
DEFRA,APHA,18/02/2015,Lab & Technical Equipment,,Celtic Diagnostics Ltd,2638,28500.00,Purchase of Specialist Laboratory Kits,,SME,,00000000,Expense,
DEFRA,APHA,10/02/2015,Hard charges,Chief Operating Officer DG,DEFRA,1000035188,782383.57,Business Case Proposal for Estates Weybridge Project,YO1 7PX,,,HARDBCPS,Expense,
DEFRA,APHA,10/02/2015,Hard charges,Chief Operating Officer DG,DEFRA,1000038752,975373.02,Business Case Proposal for Humaneness Project,YO1 7PX,,,00000000,Expense,
DEFRA,APHA,10/02/2015,Hard charges,Chief Operating Officer DG,DEFRA,1000038753,1343261.52,"Revenue Business Case Proposal for Animal and Plant Health, Weybridge",YO1 7PX,,,HARDBCPS,Expense,
DEFRA,APHA,18/02/2015,Hard charges,Chief Operating Officer DG,Defra C/o Capita,1002546075,45820.24,Establishment costs - January 2015,EC2V 7NQ,,,HARDFVLA,Expense,
DEFRA,APHA,18/02/2015,Hard charges,Chief Operating Officer DG,Defra C/o Capita,1002545925,437801.04,"Facilities Management core charges, Weybridge - January 2015",EC2V 7NQ,,,HARDFVLA,Expense,
DEFRA,APHA,20/02/2015,Sub Contracted Services,Chief Operating Officer DG,FHP Engineering Services Solutions,18360,30744.00,Animal and Plant Health Agency Interserve Publication Analysis,WC1H 0JR,SME,,00000000,Expense,
DEFRA,APHA,10/02/2015,IT Hardware,Chief Operating Officer DG,Food & Environment Research Agency,F0041000,35860.00,Information Technology support and storage - July-September 2014,YO41 1LZ,,,00000000,Expense,
DEFRA,APHA,10/02/2015,Service Level Agreement Costs,Chief Operating Officer DG,Food Standards Agency,1702898,153484.82,Sampling of TB reactors - October-December 2014,YO1 2YX,,,AHFSADNA,Expense,
DEFRA,APHA,02/02/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5801151099,29500.34,Information Technology Project Works - January 2015,GU1 2LD,SME,,BRP00248,Expense,
DEFRA,APHA,16/02/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5802150192,67811.16,Information Technology Project Works - January 2015,GU1 2LD,SME,,BRP00248,Expense,
DEFRA,APHA,06/02/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5801151101,272338.47,Modernisation of IT for training and certificating Official Veterinarians (OVs) and for commissioning work undertaken by them - January 2015,GU1 2LD,SME,,P10066OT,Expense,
DEFRA,APHA,04/02/2015,Hard charges,Chief Operating Officer DG,K P M G LLP,5500949701,27000.13,Internal audit services - 2014-15,BS1 6AG,,,HARDINAU,Expense,
DEFRA,APHA,24/02/2015,Sub Contracted Services,,L G C Limited,50371610,51766.00,Detection of Mycobacterium Bovis - an Inter-Laboratory Comparison Study,TW11 0LY,SME,,TBSE3289,Expense,
DEFRA,APHA,24/02/2015,Sub Contracted Services,,L G C Limited,50375251,83136.80,Transmissible Spongiform Encephalopathy samples - January 2015,TW11 0LY,SME,,TSTS5902,Expense,
DEFRA,APHA,06/02/2015,Business & Technical/Consultancy Assignments,,Merrick UK Ltd,000076,99479.00,Specialist safety containment analysis in respect to containing high risk pathogens - December 2014,,,,00000000,Expense,
DEFRA,APHA,10/02/2015,Business & Technical/Consultancy Assignments,,Merrick UK Ltd,000078,110829.00,Specialist safety containment analysis in respect to containing high risk pathogens - January 2015,,,,00000000,Expense,
DEFRA,APHA,18/02/2015,Market Research,,N I A B,NI9011,34573.98,Official Seed Testing Station services,CB3 0LE,SME,,00000000,Expense,
DEFRA,APHA,16/02/2015,Redfern Suspense,Central Finance Group,Redfern Travel Ltd,099592,129383.40,Travel costs - January 2015,BD1 3AZ,SME,,00000000,Asset,
DEFRA,APHA,12/02/2015,Redfern Suspense,Central Finance Group,Redfern Travel Ltd,097728,139874.63,Travel costs - December 2014,BD1 3AZ,SME,,00000000,Asset,
