Entity,Date,Supplier , Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
Consumer Council for Water ,27/11/2013,G V A GRIMLEY," £83,930.40 ","Service Charge and Rent for car parking spaces for premises at Victoria Square House, Birmingham - 25 December 2013-24 March 2014",B1 2JJ,,,,,
Consumer Council for Water ,15/11/2013,RECKON LLP," £29,160.00 ",Consultancy support in relation to water company energy costs,EC1N 2JT,,,,,
Gangmasters Licensing Authority,14/11/2013,Hitachi," £31,449.29 ",Annual lease costs for fourteen cars - October 2013.,RG14 4NU,Ltd,,,Fleet,GB823824822
Defra,28/11/2013,E D F Energy," £73,637.60 ","Electricity bill for Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - October 2013",PL3 5XQ,,,B0870000,Expense,
Defra,22/11/2013,E D F Energy," £35,919.11 ","Electricity bill for Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - October 2013",PL3 5XQ,,,B0870000,Expense,
Defra,06/11/2013,Corona Energy," £25,412.58 ","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - 01 August-01 September 2013",WD17 1JW,,,B0870000,Expense,
Defra,06/11/2013,Corona Energy," £38,611.76 ","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - 01 June-01 July 2013",WD17 1JW,,,B0870000,Expense,
Defra,14/11/2013,D T Z," £190,227.36 ","Payment of rent, rates and service charges for various properties within the Defra Network - 01 May-31 December 2013",B3 2ED,,,00000000,Expense,
Defra,21/11/2013,D T Z," £1,623,904.24 ","Payment of rent, rates and service charges for various properties within the Defra Network - 01 September 2012-28 February 2014",B3 2ED,,,00000000,Expense,
Defra,08/11/2013,Corona Energy," £29,549.63 ","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - 01 September-01 October 2013",WD17 1JW,,,B0870000,Expense,
Defra,06/11/2013,Corona Energy," £47,852.35 ","Gas bill - Edenbridge House, Carlisle - 01 September 2013-01 October 2013",WD17 1JW,,,B2810000,Expense,
Defra,26/11/2013,E D F Energy," £25,317.19 ","Electricity bill for Fisheries Laboratory, Lowestoft - October 2013",PL3 5XQ,,,B0940000,Expense,
Defra,28/11/2013,D T Z," £518,173.50 ","Payment of rent, rates and service charges for various properties within the Defra Network - 01 April-31 October 2013",B3 2ED,,,00000000,Expense,
Defra,12/11/2013,Environment Agency," £90,282.64 ",Secondment costs for two employees - January-July 2013,BS1 5AH,,IGS,00000000,Expense,
Defra,28/11/2013,E D F Energy," £142,488.62 ","Electricity bill for Sand Hutton, York - October 2013",PL3 5XQ,,,B2810000,Expense,
Defra,12/11/2013,Amaryllis Ltd," £31,708.80 ",Re-manufacture (recycle) of 600 desks to make them smaller.,CM2 6TE,SME,151,00000000,Expense,
Defra,07/11/2013,D T Z," £273,328.41 ","Payment of rent, rates and service charges for various properties within the Defra Network - 01 April-31 December 2013",B3 2ED,,,00000000,Expense,
Defra,06/11/2013,Corona Energy," £60,608.20 ","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - 01 September-01 October 2013",WD17 1JW,,,B0870000,Expense,
Defra,06/11/2013,Corona Energy," £25,878.01 ","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - 01 July-01 August 2013",WD17 1JW,,,B0870000,Expense,
Defra,18/11/2013,Interserve (Facilities Mngmnt) Ltd," £36,463.00 ",Replacement drive systems for three security doors at Crewe - July 2013,BS32 4NH,,17987,FMR1PRTY,Asset,
Defra,20/11/2013,Interserve (Facilities Mngmnt) Ltd," £51,869.59 ",Central Science Laboratory - Actuator overhaul/replacement - August 2013,BS32 4NH,,18201,FMR1PRTY,Asset,
Defra,18/11/2013,Interserve (Facilities Mngmnt) Ltd," £29,092.30 ",Strip out and refurbishment of Stirling House office accommodation - October 2013,BS32 4NH,,,EXITCLYS,Asset,
