Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,DEFRA,16/01/2014,Evidence Non R&D,Policy Delivery DG,4E Implementing Agreement PTY Ltd,130114,"29,204.00 ",2014 UK subscription to the International Energy Agency implementing agreement on Energy-Efficient End-use Equipment,2257,SME,,00000000,Expense,
DEFRA,DEFRA,09/01/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP074045,"33,275.00 ",2013-14 Post Harvest Management project for soil degradation reduction in compliance with European Community regulation 73/209 to ensure Good Agriculture and Environmental Condition (GAEC),WV9 5AP,,SP1315,00000000,Expense,
DEFRA,DEFRA,27/01/2014,Other Current Payments E,Policy Delivery DG,A H D B,180017419,"55,000.00 ",2013-14 Provision of electronic reporting for pigs by BPEX (British Pig Executive) - October-December 2013,CV8 2TL,,FUNDING,00000000,Expense,
DEFRA,DEFRA,21/01/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Analytical Methods Trust,3311213,"35,800.00 ","A Reassessment of Pork Nitrogen Factors, contract variation to pay for further analysis ",W1V 0BA,SME,FA0127,SFFS0003,Expense,
DEFRA,DEFRA,27/01/2014,Payments to Agencies UK,Chief Operating Officer DG,Animal Health and Veterinary Laboratories Agency,5000036834,"2,764,713.00 ",2013-14 Laboratory Surveillance - April-October 2013,KT15 3NB,SME,DFP,00000000,Expense,
DEFRA,DEFRA,21/01/2014,Evidence Non R&D,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000037194,"46,414.20 ",Fallen Stock Sampling fee - November 2013,YO1 7PX,SME,IDS,00000000,Expense,
DEFRA,DEFRA,21/01/2014,Evidence Non R&D,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000036838,"1,317,610.00 ","2013-14 Laboratory Surveillance, Bovine Tuberculosis",KT15 3NB,SME,IDS,VLAL0001,Expense,
DEFRA,DEFRA,27/01/2014,Evidence Non R&D,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000037663,"38,092.95 ",Fallen Stock Sampling fee - December 2013,YO1 7PX,SME,IDS,00000000,Expense,
DEFRA,DEFRA,27/01/2014,Evidence Non R&D,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000036836,"148,230.00 ",2013-14 Laboratory Surveillance - April-October 2013,KT15 3NB,SME,IGS,00000000,Expense,
DEFRA,DEFRA,27/01/2014,Evidence Non R&D,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000036837,"168,217.00 ",2013-14 Laboratory Surveillance - April-October 2013,KT15 3NB,SME,Funding/DFP,00000000,Expense,
DEFRA,DEFRA,27/01/2014,Evidence Non R&D,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000037249,"744,079.00 ",2013-14 Laboratory Surveillance - April-October 2013,YO1 7PX,SME,FUNDING,00000000,Expense,
DEFRA,DEFRA,27/01/2014,Evidence Non R&D,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000037250,"1,038,281.00 ",2013-14 Laboratory Surveillance - April-October 2013,YO1 7PX,SME,DFP FUNDING,00000000,Expense,
DEFRA,DEFRA,27/01/2014,Evidence Non R&D,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000037247,"1,601,050.00 ",2013-14 Laboratory Surveillance - April-October 2013,YO1 7PX,SME,FUNDING,00000000,Expense,
DEFRA,DEFRA,24/01/2014,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-532086-47179,"45,564.08 ",2013-14 Studies of natural and experimental transmissible spongiform encephalopathies (TSEs) - January 2014,KT15 3NB,SME,exempt,00000000,Expense,
DEFRA,DEFRA,24/01/2014,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-531770-47177,"50,423.00 ",2013-14 Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - January 2014,KT15 3NB,SME,exempt,00000000,Expense,
DEFRA,DEFRA,24/01/2014,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-531693-47152,"51,156.41 ",Maintenance of a TSE (Transmissible Spongiform Encephalopathy)-free sheep flock after importation from New Zealand - January 2014,KT15 3NB,SME,exempt,00000000,Expense,
DEFRA,DEFRA,24/01/2014,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-531744-47171,"61,277.75 ","Antigen mining, DIVA (Differentiating Infection in Vaccinated Animals) assays and other diagnostic approaches - January 2014",KT15 3NB,SME,Exempt,00000000,Expense,
DEFRA,DEFRA,24/01/2014,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-531743-47170,"122,003.00 ",2013-14 Continued vaccine development: Improving BCG (Bacillus Calmette–Guérin) and developing non-sensitising vaccines for cattle,KT15 3NB,SME,IDS,00000000,Expense,
DEFRA,DEFRA,24/01/2014,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-531742-47169,"139,343.75 ",2013-14 Continued vaccine development: Improving BCG (Bacillus Calmette–Guérin) and developing non-sensitising vaccines for cattle ,KT15 3NB,SME,IDS,00000000,Expense,
DEFRA,DEFRA,21/01/2014,Other Current Payments E,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000036508,"147,255.24 ",2013-14 England Poultry Meat Marketing Requirement Plan - April-November 2013,YO1 7PX,SME,FUNDING,00000000,Expense,
DEFRA,DEFRA,21/01/2014,Other Current Payments E,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000036509,"859,488.95 ",2013-14 Egg Marketing Expenditure - April-November 2013,YO1 7PX,SME,FUNDING,00000000,Expense,
DEFRA,DEFRA,27/01/2014,Other Current Payments E,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000038020,"33,153,330.00 ",2013-14 Bovine Tuberculosis requirements plan - April-October 2013,KT15 3NB,SME,FUNDING - DFP,AHVLA001,Expense,
DEFRA,DEFRA,03/01/2014,Payments to Agencies GB,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000035156,"1,639,165.35 ",2012-13 and 2013-14 Voluntary Early Redundancy Business case,KT15 3NB,SME,,00000000,Expense,
DEFRA,DEFRA,21/01/2014,Payments to Agencies GB,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000036874,"15,702,490.00 ",2013-14 Core facility Services contract - April-October 2013,YO1 7PX,SME,DFP,00000000,Expense,
DEFRA,DEFRA,13/01/2014,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",Assimila Limited,20120703,"39,138.00 ",2013-14 Review of Earth Observation priorities within the UK funding - Milestone 2,RG6 6AU,SME,SD0603,EOBSTEAM,Expense,
DEFRA,DEFRA,21/01/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,B B S R C,BBSR11218,"63,397.49 ",2014-15 Insect Pollinator initiative,SN2 1UH,,exempt,00000000,Expense,
DEFRA,DEFRA,29/01/2014,Capital LA Grant E,Policy Delivery DG,Bristol City Council,8000778069,"29,000.00 ",2013-14 Air quality grant for research into electric bicycles,BS1 5TR,,20260,00000000,Expense,
DEFRA,DEFRA,02/01/2014,Current Grants E,Policy Delivery DG,Broads Authority,191213,"886,862.00 ",2013-14 Grant - Quarter 4,NR1 1RY,SME,18568,00000000,Expense,
DEFRA,DEFRA,21/01/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Brook Lyndhurst Ltd,00000813,"26,038.00 ",2013-14 Community Supported Fisheries project costs,W6 0LE,SME,EV0532,00000000,Expense,
DEFRA,DEFRA,15/01/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,BTO Services Limited,14ACCS0101,"60,000.00 ",2013-14 Effects of woodland structure on woodland bird abundance,IP24 2PU,SME,WC0793/CR0485 exempt,00000000,Expense,
