Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
DEFRA,DEFRA,24/07/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP078005,"25,482.00","Sustainable Intensification Platform for researchers, policy, industry and other stakeholders to coordinate research on aspects of agricultural land management -2014-15",WV9 5AP,,LM0303,0,Expense
DEFRA,DEFRA,24/07/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",A H D B,180018950,"55,000.00",Provision of an Electronic Movement service for pigs by the British Pig Executive (BPEX) - 2014-15,CV8 2TL,,Funding,AHDB0002,Expense
DEFRA,DEFRA,04/07/2014,Other Current Payments E,Policy Delivery DG,Acre.,6084,"578,000.00",Rural Community Action Network funding - 2014-15 Quarter 2,GL7 2QY,,Funding,0,Expense
DEFRA,DEFRA,28/07/2014,Current Grants E,Policy Delivery DG,Allerdale Borough Council,300514,"61,335.01",Grant for Solway Coast Area of Outstanding Natural Beauty - January-March 2014,CA14 2RS,,GIA,SOLWAY01,Expense
DEFRA,DEFRA,25/07/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-542770-49360,"61,168.66","Antigen mining, Differentiation of Infected and Vaccinated Animals assays and other diagnostic approaches - July 2014",KT15 3NB,SME,Exempt,0,Expense
DEFRA,DEFRA,22/07/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000044681,"2,275,184.00",IT hardware and software depreciation and depreciation of all other classes of asset on the Animal Health fixed asset register - 2013-14 Final Payment,KT15 3NB,SME,DFP,0,Expense
DEFRA,DEFRA,25/07/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-542769-49359,"104,703.00",Continued vaccine development: Improving Bacillus Calmette–Guérin (BCG) and developing non-sensitising vaccines for cattle - July 2014 ,KT15 3NB,SME,SE3266,0,Expense
DEFRA,DEFRA,25/07/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-542767-49374,"98,370.00",Development of an oral Bacillus Calmette-Guerin (BCG) vaccine for badgers - regulatory component - 2013-14,KT15 3NB,SME,IGS,0,Expense
DEFRA,DEFRA,08/07/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000041356,"60,818.34",Wildlife licensing and registration services - January-February 2014,KT15 3NB,SME,DFP/FUNDING,0,Expense
DEFRA,DEFRA,25/07/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-542768-49375,"75,180.00",Development of an oral Bacillus Calmette–Guérin (BCG) vaccine for badgers - research component - 2014-15,KT15 3NB,SME,,0,Expense
DEFRA,DEFRA,25/07/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-542796-49369,"56,575.00",Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - 2014-15,KT15 3NB,SME,DFP,0,Expense
DEFRA,DEFRA,22/07/2014,Current Grants E,"Strategy, International and Biosecurity DG",Ascension Island Government,40714,"38,666.25",Ascension Island Marine Sustainability (AIMS) - a fisheries and marine biodiversity project - July-September 2014,ASCN 1ZZ,,Grant,DARWPLUS,Expense
DEFRA,DEFRA,18/07/2014,Prog - Admin Costs - FLS Office Services Consultancy,Policy Delivery DG,Ashurst LLP,371007,"194,366.52",Provision of commercial legal advice in respect of the Thames Tideway Tunnel project - 26 April-30 May 2014,EC2A 2HA,,20238,0,Expense
DEFRA,DEFRA,30/07/2014,IT Software,Chief Operating Officer DG,Atos IT Services UK Ltd,5584162877,"90,167.76",Cloud ASC (Accredited Secure Cloud) IT services - May 2014,WV10 6UH,,cap124,CAPDFA08,Expense
DEFRA,DEFRA,30/07/2014,IT Software,Chief Operating Officer DG,Atos IT Services UK Ltd,5584162879,"38,984.13",Enhanced on boarding to cloud platform - May 2014,WV10 6UH,,cap124,CAPDFA08,Expense
DEFRA,DEFRA,08/07/2014,IT Software,Chief Operating Officer DG,Atos IT Services UK Ltd,5584160341,"158,317.46",Provision of IT infrastructure services - January-March 2014,WV10 6UH,,cap124,CAPDFA08,Expense
DEFRA,DEFRA,08/07/2014,IT Software,Chief Operating Officer DG,Atos IT Services UK Ltd,5584160344,"59,602.37",Provision of IT infrastructure services - February-March 2014,WV10 6UH,,CAP214,CAPDFA08,Expense
DEFRA,DEFRA,08/07/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,B B S R C,BBSR11915,"33,985.85",Insect Pollinator Initiative - 2014-15 Quarter 1,SN2 1UH,,exempt,0,Expense
DEFRA,DEFRA,08/07/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",B B S R C,BBSR11924,"57,918.10",Tree Health and Plant Biosecurity Initiative - 2014-15 Quarter 1,SN2 1UH,,TH0114,0,Expense
DEFRA,DEFRA,08/07/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,B B S R C,BBSR11921,"42,638.48",Agronomic Processes to Optimise Galanthamine Content of Daffodil Biomass - 2014-15 Quarter 1,SN2 1UH,,exempt,SFFS0006,Expense
DEFRA,DEFRA,14/07/2014,Current Grants E,"Strategy, International and Biosecurity DG",Bangor University,260614,"32,724.41",Darwin Initiative Grant Award - Assuring engagement in Caymans enhanced marine protected area system - April 2013-March 2014,LL57 2DG,,18564/GIA,DARWINXX,Expense
DEFRA,DEFRA,14/07/2014,GPC Card,Central Finance Group,Barclaycard Business Issuing,4715320649042970000000,"36,389.33",Purchases made through Barclaycard - July 2014,TS17 6YG,SME,,0,Asset
DEFRA,DEFRA,14/07/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",BioD Services Ltd,405,"50,658.50",Developing the National Biodiversity Network - 2013-14,NG1 1LL,SME,15480,0,Expense
DEFRA,DEFRA,30/07/2014,Current Grants - Local Authorities,Policy Delivery DG,Bolton Metropolitan District Council,100257405000054000,"37,150.00",Sustainable Drainage Systems Capability and Capacity Building - 2014-15,BL1 1RX,,Funding,0,Expense
DEFRA,DEFRA,28/07/2014,Capital LA Grant E,Policy Delivery DG,Boston Borough Council,A0000837,"84,952.90",Repair and Renew Grant for flood-affected properties - April-June 2014,PE21 8QR,,GRANT,0,Expense
DEFRA,DEFRA,04/07/2014,Current Grants E,Policy Delivery DG,Broads Authority,130614,"811,348.00",Grant - 2014-15 Quarter 2,NR1 1RY,SME,GIA,BROADS01,Expense
DEFRA,DEFRA,14/07/2014,Estates - Site Preparation and Demolition,Chief Operating Officer DG,Buckingham Group Contracting Ltd,CLCERTC140010005,"250,602.54","Animal Health and Veterinary Laboratory Agency, Weybridge - Fees for demolitions contract to demolish identified buildings at Weybridge Site - 29 May 2014",MK18 5LJ,,17581,B087P088,Expense
DEFRA,DEFRA,30/07/2014,Estates - Site Preparation and Demolition,Chief Operating Officer DG,Buckingham Group Contracting Ltd,CLCERTC140010006,"95,447.32","Animal Health and Veterinary Laboratory Agency, Weybridge - Fees for demolitions contract to demolish identified buildings at Weybridge Site - 27 June 2014",MK18 5LJ,,17581,B087P088,Expense
DEFRA,DEFRA,28/07/2014,Evidence Non R&D,Policy Delivery DG,Bureau Veritas UK Ltd,14011984,"156,365.00",Central Management and Control Unit (CMCU) of the Automatic Urban and Rural Network - 2014-15,SE1 2TX,,AQ0631,AQNONRDX,Expense
DEFRA,DEFRA,28/07/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",C E F A S,8003987,"61,644.66",Aquatics Evidence - July 2014,NR33 0HT,SME,DFP,0,Expense
DEFRA,DEFRA,22/07/2014,Evidence Non R&D,Policy Delivery DG,C E F A S,8003986,"1,750,139.24",Response of ecosystems and fisheries to management in a changing environment - Non-Research and Development - July 2014,NR33 0HT,SME,DFP,0,Expense
DEFRA,DEFRA,22/07/2014,Current Grants E,"Strategy, International and Biosecurity DG",C E F A S,40714,"45,410.25",Darwin Initiative Payment - 2014-15 Quarter 2,NR33 0HT,SME,20598/DFP/GRANT,DARWPLUS,Expense
DEFRA,DEFRA,22/07/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",C E F A S,8003988,"989,724.00",Aquatic Health - July 2014,NR33 0HT,SME,DFP FUNDING,0,Expense
DEFRA,DEFRA,22/07/2014,Recruitment Charges,Chief Operating Officer DG,Cabinet Office,250010278,"336,553.91",Civil Service Human Resource Expert Services - 2014-15,CF14 3UW,,,0,Expense
DEFRA,DEFRA,02/07/2014,Current Subsidies To Public Corporations,Policy Delivery DG,Canal & River Trust,90769187,"9,000,000.00",Grant - 2014-15 Quarter 2,MK9 1BB,,GIA,0,Expense
DEFRA,DEFRA,16/07/2014,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10004314,"35,437.18",Various interim staff engaged across Defra - week ending 25 June 2014,SL6 1DP,,,0,Expense
DEFRA,DEFRA,08/07/2014,Contractor - Management Cover,Policy Delivery DG,Capita Business Services Ltd,LO10002753,"53,899.45",Various interim staff engaged across Defra - week ending 29 May 2014,DL1 9HB,,,0,Expense
DEFRA,DEFRA,10/07/2014,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10003000,"93,179.53",Various interim staff engaged across Defra - week ending 4 June 2014,SL6 1DP,,,0,Expense
DEFRA,DEFRA,10/07/2014,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10004824,"57,990.42",Various interim staff engaged across Defra - week ending 2 July 2014,SL6 1DP,,,0,Expense
DEFRA,DEFRA,10/07/2014,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10003845,"116,611.52",Various interim staff engaged across Defra - week ending 18 June 2014,SL6 1DP,,,0,Expense
DEFRA,DEFRA,10/07/2014,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR020,"109,936.88","Payment of rent, rates and service charges for various properties within the Defra Network - January 2013-31 March 2015",EC2V 7NQ,,,0,Expense
DEFRA,DEFRA,10/07/2014,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR021,"89,504.43","Payment of rent, rates and service charges for various properties within the Defra Network - April 2010-July 2014",EC2V 7NQ,,,0,Expense
DEFRA,DEFRA,17/07/2014,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR022,"210,700.09","Payment of rent, rates and service charges for various properties within the Defra Network - April 2010-March 2015",EC2V 7NQ,,,0,Expense
DEFRA,DEFRA,24/07/2014,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,180714,"1,336,384.61","Payment of rent, rates and service charges for various properties within the Defra Network - 25 December 2013-15 October 2014",EC2V 7NQ,,,0,Expense
DEFRA,DEFRA,25/07/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Centre For Ecology & Hydrology,ERS-542280-49252,"37,381.00",Assessment of the Current Exposure of the British Natural Environment to Silver,SN2 1EU,SME,exempt,0,Expense
DEFRA,DEFRA,22/07/2014,Grant-in Aid Payments,Policy Delivery DG,Consumer Council for Water (CCW),170614,"1,282,500.00",Grant in aid - July-September 2014,B2 4AJ,,GIA,0,Expense
DEFRA,DEFRA,22/07/2014,Gas,Chief Operating Officer DG,Corona Energy,9403635,"63,818.47","Gas bill - Animal Health and Veterinary Laboratory Agency, Weybridge - 1 June-1 July 2014",WD17 1JW,,,B0870000,Expense
DEFRA,DEFRA,22/07/2014,Gas,Chief Operating Officer DG,Corona Energy,9371202,"41,818.66","Gas bill - Animal Health and Veterinary Laboratory Agency, Weybridge - 1 June-1 July 2014",WD17 1JW,,,B0870000,Expense
DEFRA,DEFRA,04/07/2014,Gas,Chief Operating Officer DG,Corona Energy,250614,"470,858.69",Repayment to Corona Energy of Credit payment made by Corona Energy to Defra in error - Gas bill credit covered several periods and locations,WD17 1JW,,,B1960000,Expense
DEFRA,DEFRA,02/07/2014,Current Grants E,Policy Delivery DG,Council Of The Isles Of Scilly,60614,"97,537.00",Area of Outstanding Natural Beauty Grant - 2013-14,TR21 0LW,SME,GIA,SCILLY01,Expense
DEFRA,DEFRA,04/07/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Creative Choice CIC,1638,"48,000.00","Content designers to make Defra and its agencies’ guidance simple, quick and clear as part of Defra’s Smarter Guidance project - June 2014",KT1 2SZ,SME,17825,0,Expense
DEFRA,DEFRA,04/07/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Creative Choice CIC,1503,"157,568.40","Content designers to make Defra and its agencies’ guidance simple, quick and clear as part of Defra’s Smarter Guidance project - May 2014",KT1 2SZ,SME,17825,0,Expense
DEFRA,DEFRA,16/07/2014,Current Grants - Local Authorities,Policy Delivery DG,Cumbria County Council,247221,"134,700.00",Sustainable Drainage Systems Capability and Capacity Building Grant Award - 2014-15,CA3 8NA,,20556,0,Expense
DEFRA,DEFRA,28/07/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",D L O Holding/Prionics AG,160714,"187,988.18","A shipment of Tuberculin used in Tuberculosis testing delivered to Animal Health and Veterinary Laboratories Agency, Weybridge - July 2014",8952,,,TUBP0468,Expense
DEFRA,DEFRA,02/07/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Defence Science and Technology Laboratory ( D S T L),MST007425,"70,000.00","Support to Defra Science on the Animal and Plant Health project to include workshop design, Facilitation analysis and reporting and Strategic support and analysis to Defra Senior staff",PO6 3SX,,SE3134,0,Expense
DEFRA,DEFRA,04/07/2014,Current Grants E,Policy Delivery DG,Dartmoor National Park Authority,120614,"1,023,858.00",Grant - 2014-15 Quarter2,TQ13 9JQ,SME,GIA,DARTMOOR,Expense
DEFRA,DEFRA,16/07/2014,Contractor - Management Cover,Chief Operating Officer DG,Deloitte & Touche,2410078954,"159,312.00",Deloitte secondment for specialist support with business analysis and implementation planning to the Common Agricultural Policy Delivery - Charges for three members of staff - April-May 2014,MK9 1FD,,CAP219,CAPDTA00,Expense
DEFRA,DEFRA,16/07/2014,Contractor - Management Cover,Chief Operating Officer DG,Deloitte & Touche,2410079726,"106,335.60",Deloitte secondment for specialist support with business analysis and implementation planning to the Common Agricultural Policy Delivery - Charges for three members of staff - June 2014.,MK9 1FD,,CAP219,CAPDTA00,Expense
DEFRA,DEFRA,02/07/2014,IT Consultancy Non-Scheme,Chief Operating Officer DG,Deloitte LLP,1111044504,"80,774.00",Common Agricultural Policy finance support services - March 2014,MK9 1FD,SME,CAP164,0,Expense
DEFRA,DEFRA,08/07/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Department Of Energy and Climate Change,1100016741,"1,025,000.00",Met Office Hadley Centre Climate Programme - January-March 2014,SW1A 2HD,SME,DFP,RESCOORD,Expense
DEFRA,DEFRA,08/07/2014,Other Current Payments (GB),Policy Delivery DG,Dept For Communities & Local Gov,10714,"250,000.00",London Support Grant Services - July 2014,HP2 4XN,,Funding,0,Expense
DEFRA,DEFRA,08/07/2014,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,804131250000,"1,250,000.00",Local Services Support Grant - June 2014,HP2 4XN,,Grant,0,Expense
DEFRA,DEFRA,14/07/2014,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,90714,"1,250,000.00",Local Services Support Grant - July 2014,HP2 4XN,,,0,Expense
DEFRA,DEFRA,16/07/2014,Current Grants E,Policy Delivery DG,Devon County Council,90514,"54,153.79",Area of Outstanding Natural Beauty Grant - 2013-14,EX2 4QD,,GIA,NORDEVON,Expense
