Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,
DEFRA,DEFRA,20/03/2014,Business Rates,Chief Operating Officer DG,Capita Property and Infrastructure Ltd,CAPFR002,"1,263,495.51","Rent, rates and service charges for various properties within the Defra Network - October 2013-June 2014.",WC2H 8AD,,,00000000,Expense,,,
DEFRA,DEFRA,14/03/2014,Electricity,Chief Operating Officer DG,E D F Energy,148,"138,520.68","Electricity Bill - Food and Environment Research Agency, Sand Hutton, York - January 2014.",PL3 5XQ,,,B2810000,Expense,,,
DEFRA,DEFRA,04/03/2014,Gas,Chief Operating Officer DG,Corona Energy,8931928,"36,245.11","Gas Bill - Animal Health and Veterinary Laboratory Agency, Weybridge - December 2013.",WD17 1JW,,,B0870000,Expense,,,
DEFRA,DEFRA,04/03/2014,Gas,Chief Operating Officer DG,Corona Energy,9010970,"90,797.58","Gas Bill - Food and Environment Research Agency, Sand Hutton, York - January 2014.",WD17 1JW,,,B2810000,Expense,,,
DEFRA,DEFRA,27/03/2014,Business Rates,Chief Operating Officer DG,Capita Property and Infrastructure Ltd,180314,"1,272,423.97","Rent, rates and service charges for various properties within the Defra Network - March-June 2014",WC2H 8AD,,,00000000,Expense,,,
DEFRA,DEFRA,25/03/2014,Estates Professional Fees & Services,Chief Operating Officer DG,Amsterdam Capital Trading,1400407,"70,062.12",European Union Allowance credits bought as part of the European Union Emissions Trading Scheme (EU ETS) for carbon emissions from the Weybridge site during 2013,1017BS0031,,,00000000,Expense,,,
DEFRA,DEFRA,20/03/2014,Estates - Site Preparation and Demolition,Chief Operating Officer DG,Buckingham Group Contracting Ltd,CLCERTC140010002,"129,783.43",Demolition of selected buildings at Animal Health and Veterinary Laboratories Agency Weybridge Site - February 2014.,MK18 5LJ,,17581,B087P088,Expense,,,
DEFRA,DEFRA,12/03/2014,Dilapidation,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00031143,"34,243.66","Additional Dilapidation Works - Nobel House, London - December 2013.",BS32 4NH,,10195L,B197P003,Expense,,,
DEFRA,DEFRA,28/03/2014,Electricity,Chief Operating Officer DG,E D F Energy,151,"120,072.70","Electricity Bill - Animal Health and Veterinary Laboratory Agency, Weybridge - February 2014.",PL3 5XQ,,,B0870000,Expense,,,
DEFRA,DEFRA,12/03/2014,Water,Chief Operating Officer DG,Anglian Water,100013690265,"26,547.59","Water Bill - Animal Health and Veterinary Laboratory Agency, Weybridge - 27 July 2013-24 January 2014",PE29 3NZ,,,B0940000,Expense,,,
DEFRA,DEFRA,24/03/2014,Electricity,Chief Operating Officer DG,E D F Energy,149010314,"130,980.10","Electricity Bill - Food and Environment Research Agency, Sand Hutton, York, North Yorkshire - February 2014.",PL3 5XQ,,,B2810000,Expense,,,
DEFRA,DEFRA,13/03/2014,Business Rates,Chief Operating Officer DG,Capita Property and Infrastructure Ltd,CAPFR001,"3,358,243.30","Rent, rates and service charges for various properties within the Defra Network - March-June 2014",WC2H 8AD,,,00000000,Expense,,,
DEFRA,DEFRA,28/03/2014,Electricity,Chief Operating Officer DG,E D F Energy,170010314,"28,840.75","Electricity Bill - Animal Health and Veterinary Laboratory Agency, Weybridge - February 2014.",PL3 5XQ,,,B0870000,Expense,,,
DEFRA,DEFRA,13/03/2014,Rents to Landlords,Chief Operating Officer DG,Regus UK Limited,130017635,"34,838.71","Deposit and fee to landlord for a new lease of Davidson House, Reading to accommodate the Common Agricultural Policy Delivery programme - partial month charge 17-31 March 2014.",RG1 3EU,,,00000000,Expense,,,
DEFRA,DEFRA,28/03/2014,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,IBM United Kingdom Ltd,5803140452,"55,428.38",Office Move - Closure of Rural Payments Agency and Natural England Northallerton Office - time and materials - 03-24 January 2014.,GU1 2LD,SME,10040,B516P005,Asset,,,
