Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,DEFRA,26/11/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",A H D B,180023322,55000, PO 377610 EAML2 BPEX PROJECT MANAGEMENT AND SERVER HOSTING AND SOFTWARE LICENSES 2015 QTR 2 ,CV8 2TL,,17019,AHDB0002,Expense,
DEFRA,DEFRA,10/11/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000072766,38201.28," PO 377904,  SUNDRIES FALLEN STOCK AUG 15 ",YO1 7PX,SME,FDP,0,Expense,
DEFRA,DEFRA,10/11/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000072767,44366.65," PO 377904,  SUNDRIES FALLEN STOCK JUL 15 ",YO1 7PX,SME,FDP,0,Expense,
DEFRA,DEFRA,10/11/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000072768,50028.55," PO 377904,  SUNDRIES FALLEN STOCK JUN 15 ",YO1 7PX,SME,FDP,0,Expense,
DEFRA,DEFRA,10/11/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000072769,47193.88," PO 377904,  SUNDRIES FALLEN STOCK SEP 15 ",YO1 7PX,SME,FDP,0,Expense,
DEFRA,DEFRA,24/11/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000073959,43939.19, PO 377904  PASSTHROUGH FALLEN STOCK ,YO1 7PX,SME,FDP,0,Expense,
DEFRA,DEFRA,25/11/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-565014-53526,52350.08, SE1960 - TSE Strategic Competencies - APHA  FY15/16 ,KT15 3NB,SME,DFP,0,Expense,
DEFRA,DEFRA,25/11/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-565045-53534,33636.33, SE2207 - Improving CSFV control through enhanced diagnostic and intervention tools - APHA - FY2015/16  ,KT15 3NB,SME,DFP,0,Expense,
DEFRA,DEFRA,25/11/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-565064-53539,26915.25, OZ0347 - Development of enhanced methods for outbreak investigation and source attribution of Salmonella - APHA - FY15/16 ,KT15 3NB,SME,,0,Expense,
DEFRA,DEFRA,16/11/2015,Payover,Central Finance Group,Animal Health and Veterinary Laboratories Agency,111115,1022178.24, VAT Repayment due Quarter 2 2015/16 ,YO1 7PX,SME,,0,Liability,
DEFRA,DEFRA,25/11/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-565050-53511,94546.42," SE3268 - Antigen mining, DIVA assays and other diagnostic approaches - AHVLA  FY2015/16 ",KT15 3NB,SME,SE3268,0,Expense,
DEFRA,DEFRA,25/11/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-565063-53513,38108, OZ0344 - Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - AHVLA - FY2015/16 ,KT15 3NB,SME,DFP,0,Expense,
DEFRA,DEFRA,30/11/2015,Contractor - Management Cover,Chief Operating Officer DG,APHA,5000071988,41682.63," PO 379610,  SUNDRIES M148506 SERVICE OF G7 MEMBER ",YO41 1LZ,,,0,Expense,
DEFRA,DEFRA,04/11/2015,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Atos IT Services UK Ltd,5584195825,52886.96, PO 378627 CAP419 FR INTEGRATION WORK AUG 15 ,WV10 6UH,,CAP419,CAPDFA10,Asset,
DEFRA,DEFRA,02/11/2015,IT Software,Chief Operating Officer DG,Atos IT Services UK Ltd,5584198423,33185.47," PO 378238,  DEFRA CAPD PAAS ONBOARDING MS ",WV10 6UH,,CAP214,CAPDFA08,Expense,
DEFRA,DEFRA,16/11/2015,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Atos IT Services UK Ltd,5584199109,33685.81," PO 378627,  DEFRA CAPD GENESIS ",WV10 6UH,,CAP419,CAPDFA10,Asset,
DEFRA,DEFRA,04/11/2015,Current Grants E,"Strategy, International and Biosecurity DG",Birdlife International,210915,28949.5," PO 362275, DARWIN REF - 20-024,  Q3 FROM OCT 2015 TO DEC 2015, DARWIN GRANT CLAIM ",CB3 ONA,SME,20056,DARWDFID,Expense,
DEFRA,DEFRA,02/11/2015,Electricity,Chief Operating Officer DG,British Gas Trading Ltd,954027018,42300.18, SITE 087 ELECT 02/09/2015 TO 01/10/2015 A/C 601378213 ,OX4 2JY,,,B0800000,Expense,
DEFRA,DEFRA,02/11/2015,Evidence Non R&D,Policy Delivery DG,Bureau Veritas UK Ltd,15016275,35455.17, PO 343680 LAQM SERVICES ,SE1 2TX,,13573,AQNONRDX,Expense,
DEFRA,DEFRA,30/11/2015,Evidence Non R&D,Policy Delivery DG,Bureau Veritas UK Ltd,15018502,177054, PO 378237 PROJECT MANAGEMENT COSTS ,SE1 2TX,,21314,AQNONRDX,Expense,
DEFRA,DEFRA,16/11/2015,Evidence Non R&D,Policy Delivery DG,C E F A S,8005320,1558420.73, PO 377543 NON EVIDENCE LINE 6 HLA NOVEMBER 2015 ,NR33 0HT,SME,IGS,0,Expense,
