Department,Entity,Date,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
Defra,AHDB,28/10/2013,Mylnefield Research Service,SLINV/00001267,"£25,746.25",Scottish raspberry breeding programme - July-September 2013,,,,,,108249520
Defra,AHDB,11/10/2013,University of Warwick,90690901,"£27,556.57",Research - Intramammary Infections (mastitis) in Meat Ewes.  April-June 2013,,,,,,545270058
Defra,AHDB,28/10/2013,University of Warwick,90709836,"£27,556.57",Research - Intramammary Infections (mastitis) in Meat Ewes.  July-September 2013,,,,,,545270058
Defra,AHDB,28/10/2013,The Food and Environment Research Agency (Fera),F0031971,"£27,931.13",Aphid Monitoring 2013,,,,,,888800181
Defra,AHDB,28/10/2013,Mylnefield Research Service,IMY0124,"£39,754.00","Use of Plant Defence Elicitors to Provide Induced Resistance Protection in Brassica, Allium and Radish Crops.  July-September 2013",,,,,,108249520
Defra,AHDB,25/10/2013,Vivactis Public Relations,13FV0209,"£41,600.00",English Beef and Lamb Executive (EBLEX) export France: Fees for La Plancha event,,,,,,-
Defra,AHDB,11/10/2013,Arlington BPP No1 Rent Account,10000/124,"£43,580.00",Nash Court rent - 29 September-24 December 2013,,,,,,-
Defra,AHDB,28/10/2013,NIAB,NI5895,"£45,812.50",Home Grown Cereals Authority (HGCA) research - Cereal Pathogen Virulence Survey (UKCPVS),,,,,,100132207
Defra,AHDB,28/10/2013,University of Nottingham,6981376,"£46,123.00",DairyCo - research partnership on dairy cattle health,,,,,,690391225
Defra,AHDB,11/10/2013,Assured Food Standards,8427,"£61,250.00",Strategic support and management quarterly service charge,,,,,,830781627
Defra,AHDB,17/10/2013,OMD UK Ltd,310270,"£68,068.00",British Pig Executive (BPEX) - Advertising on More4,,,,,,918213526
DEFRA,AHVLA,21/10/2013,Food & Environment Research Agency,F0032252,"£500,250.00",Contribution to Food and Environmental Research Agency Wildlife Unit,YO41 1LZ,,,0,Expense,
DEFRA,AHVLA,16/10/2013,D T Z,45539,"£377,444.02",Office Services - Weybridge - September 2013,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,24/10/2013,D T Z,44441,"£377,444.02",Office Services - Weybridge - July 2013,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,04/10/2013,IBM United Kingdom Ltd,5809131183,"£196,336.00",100 Commercial products for assessment and deployment of a new type of laptop build,GU1 2LD,SME,,TAC00251,Expense,
DEFRA,AHVLA,23/10/2013,Thermo Fisher Scientific,INF57215,"£166,764.24",Oracle Sample Manager User License - December 2013-November 2014,WA14 5TP,SME,,0,Expense,
DEFRA,AHVLA,14/10/2013,Hitachi Capital Vehicle Solutions,73246246,"£143,643.36",Monthly Vehicle Rental Charges - October,RG14 2NU,,,CARLEASE,Expense,
DEFRA,AHVLA,28/10/2013,DEFRA,1000026565,"£118,796.47","Estates charges for Carmarthen, Longbenton, Penrith, Luddington, Carlisle, Langford, Weybridge, Shrewsbury, Preston, Sutton Bonington and Bury St Edmunds - January-March 2013",YO1 7PX,,,HARDESTA,Expense,
DEFRA,AHVLA,10/10/2013,Redfern Travel Ltd,66501,"£117,214.97",Travel Charges - September 2013,BD1 3AZ,SME,,0,Asset,
DEFRA,AHVLA,16/10/2013,D T Z,44263,"£100,604.14",Nobel House office services - April-June 2013,B4 6HT,,,HARDESTA,Expense,
DEFRA,AHVLA,28/10/2013,XL FARMCARE WEST MIDLANDS LTD~114213469,LVI157998,"£91,602.41",Veterinary practice services,ST14 8EB,SME,,0,Expense,
DEFRA,AHVLA,02/10/2013,L G C Limited,50256950,"£78,601.20",Transmissible Spongiform Encephalopathy samples - August 2013,TW11 0LY,SME,,TSTS5902,Expense,
DEFRA,AHVLA,16/10/2013,IBM United Kingdom Ltd,5809131402,"£75,607.77",Pega IT System Upgrade ,GU1 2LD,SME,,TAC00254,Expense,
DEFRA,AHVLA,02/10/2013,Redfern Travel Ltd,65142,"£68,299.61",Travel charges - August 2013,BD1 3AZ,SME,,0,Asset,
DEFRA,AHVLA,08/10/2013,Barclaycard Business Issuing,4.72E+21,"£63,397.95",Barclaycard Government Procurement Card payment - September 2013,TS17 6YG,SME,,0,Asset,
DEFRA,AHVLA,02/10/2013,IBM United Kingdom Ltd,5808131897,"£57,571.14",Enhance existing customer registration capability,GU1 2LD,SME,,BRP00247,Expense,
DEFRA,AHVLA,28/10/2013,SYNERGY FARM HEALTH LTD~979392255,LVI158428,"£51,688.36",Veterinary practice services,DT2 0LD,SME,,0,Expense,
