Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
Defra,AHDB,26/09/2013,Invoice,,Media Planning Ltd,1009096,"252,299.98",Press campaign: targeted TV advertising spots on Channel 4 - beef,WC2N 4JS,,,,,238455042
Defra,AHDB,26/09/2013,Invoice,,Media Planning Ltd,1009096,"182,699.98",Press campaign: targeted TV advertising spots on Channel 4 - lamb,WC2N 4JS,,,,,238455042
Defra,AHDB,24/09/2013,Invoice,,Mediaprism,F/2013/07/M001,"71,583.49","French trade market development – a multi-member state-funded work programme with the supply chain and retailers under the Agneau Presto (quick lamb) theme, concentrating on delivering new cuts and improved presentation at point of sale to combat the decline in the demand for lamb in the French market",75015 Paris,,,,,
Defra,AHDB,26/09/2013,Invoice,,Media Planning Ltd,1009105,"70,759.68",Video On Demand and online elements on Channel 4 website - beef,WC2N 4JS,,,,,238455042
Defra,AHDB,26/09/2013,Invoice,,Media Planning Ltd,1009105,"51,239.77",Video On Demand and online elements on Channel 4 website - lamb,WC2N 4JS,,,,,238455042
Defra,AHDB,20/09/2013,Invoice,,Eversheds Llp,91205423,"31,640.20",Professional Legal Fees Advising - 13 March-3 July 2013,EC2V 7WS,,,,,820704559
Defra,AHDB,20/09/2013,Invoice,,SAC Commercial Ltd,20735401,"25,481.00",Project to evaluate the Lifetime Growth Pattern and Beef Eating Quality of meat,EH9 3JG,,,,,435867517
Defra,AHDB,20/09/2013,Invoice,,Cranfield University,1378920,"25,046.00",Gap analysis of Soil management research and knowledge transfer in horticulture and to inform future research programmes.,MK43 0AL,,,,,0
Defra,AHVLA,30/09/2013,Hard charges,,D T Z,44217,"1,956,313.37",Office services in Weybridge office - April-June 2013,B4 6HT,,,HARDESTA,Expense,
Defra,AHVLA,30/09/2013,Hard charges,Chief Operating Officer DG,DEFRA,1000026635,"680,612.00",Quarter 2 charge for Shared Services Deprtartment transactional delivery - July - September 2013.,YO1 7PX,,,HARDSSDC,Expense,
Defra,AHVLA,18/09/2013,Hard charges,,D T Z,45307,"377,444.02",Office services in Weybridge office - August 2013,B4 6HT,,,HARDESTA,Expense,
Defra,AHVLA,30/09/2013,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5808131728,"202,021.16",AHVLA Business Reform Programme Release 7 Management Team for August 2013,GU1 2LD,SME,,BRP00247,Expense,
Defra,AHVLA,04/09/2013,Carriage of goods,,DX Network Services Ltd,80290213,"153,429.03",Movement of AHVLA network samples and mail.  Document Exchange Subscription - July-December 2013,NN3 6YG,,,0,Expense,
Defra,AHVLA,30/09/2013,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5808131731,"151,215.54",AHVLA IT System Upgrade - August 2013,GU1 2LD,SME,,TAC00254,Expense,
Defra,AHVLA,30/09/2013,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5808131730,"119,622.90",AHVLA Business Reform Programme Release 7 & 8 Detailed Technical Design for August 2013,GU1 2LD,SME,,BRP00247,Expense,
Defra,AHVLA,30/09/2013,Hard charges,,D T Z,44327,"101,319.19","Office services in Penicuik, Scotland office - April-June 2013",B4 6HT,,,HARDESTA,Expense,
Defra,AHVLA,30/09/2013,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5808131729,"101,010.58",AHVLA Business Reform Programme Release 7 Management Team for August 2013,GU1 2LD,SME,,BRP00247,Expense,
Defra,AHVLA,30/09/2013,LVI Claims,Chief Operating Officer DG,XL FARMCARE WEST MIDLANDS LTD~114213469,LVI157564,"91,854.64",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,ST14 8EB,SME,,0,Expense,
Defra,AHVLA,02/09/2013,Hard charges,Chief Operating Officer DG,D T Z,44334,"77,679.15",Office Services in Gloucester office - April-June 2013,B4 6HT,,,HARDESTA,Expense,
Defra,AHVLA,02/09/2013,Hard charges,Chief Operating Officer DG,D T Z,44308,"77,516.25",Office Services in Reigate office - April-June 2013,B4 6HT,,,HARDESTA,Expense,
Defra,AHVLA,04/09/2013,Hard charges,Chief Operating Officer DG,D T Z,44346,"67,785.16",Office Services in Carmarthen office - April-June 2013,B4 6HT,,,HARDESTA,Expense,
Defra,AHVLA,06/09/2013,Business & Technical/Consultancy Assignments,,Capita IB Solutions (UK),93079166,"60,000.00",Provision of an IT Managed Service 1 August 2013-31 July 2014,DL1 9HN,,,0,Expense,
Defra,AHVLA,24/09/2013,Hard charges,Chief Operating Officer DG,D T Z,44338,"59,410.46",Office Services in Bristol office - April-June 2013,B4 6HT,,,HARDESTA,Expense,
Defra,AHVLA,24/09/2013,Hard charges,Chief Operating Officer DG,D T Z,44314,"55,592.98",Office Services in Exeter office - April-June 2013,B4 6HT,,,HARDESTA,Expense,
Defra,AHVLA,10/09/2013,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.71532E+21,"45,103.31",Payment of the August 2013 invoice for purchases made through Barclaycard,TS17 6YG,SME,,0,Asset,
Defra,AHVLA,02/09/2013,Hard charges,Chief Operating Officer DG,D T Z,44305,"41,943.90",Office Services in Carlisle office - April-June 2013,B4 6HT,,,HARDESTA,Expense,
Defra,AHVLA,18/09/2013,Hard charges,Chief Operating Officer DG,D T Z,44232,"41,627.11",Office Services in Worcester office - April-June 2013,B4 6HT,,,HARDESTA,Expense,
Defra,AHVLA,02/09/2013,Salary - Permanent Staff,,Cabinet Office,270813,"41,545.00",Charge for Voluntary Early Retirement exits payments made during 2012/13 and 2013/14 - July 2013,RG22 4EF,,,0,Expense,
Defra,AHVLA,10/09/2013,Hard charges,,D T Z,44829,"40,665.97",Establishment Charges for Weybridge office - September 2013,B4 6HT,,,HARDESTA,Expense,
Defra,AHVLA,30/09/2013,LVI Claims,Chief Operating Officer DG,Penbode Veterinary Group~143290584,LVI157631,"40,090.25",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX22 6HB,SME,,0,Expense,
