Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
Defra,Core Defra,14/05/2013,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.72E+21,"34,199.18",Barclaycard Monthly Bill April 2013,TS17 6YG,SME,,0,Asset,
Defra,Core Defra,29/05/2013,Payover,Central Finance Group,Rural Payments Agency,70513,"1,627,748.63",VAT repayment - Quarter 4,RG1 1AF,SME,,0,Liability,
Defra,Core Defra,29/05/2013,Payover,Central Finance Group,Veterinary Medicines Directorate,70513,"47,775.73",VAT repayment - Quarter 4,KT15 3LS,SME,,0,Liability,
Defra,Core Defra,14/05/2013,Redfern Suspense,Central Finance Group,Redfern Travel Ltd,56432,"232,662.66",Travel costs - April 2013,BD1 3AZ,SME,,0,Asset,
Defra,Core Defra,02/05/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00024814,"199,704.96","CCTV Fibre Optics and Perimeter Fencing at Animal Health and Veterinary Laboratories Agency, Weybridge - March 2013",BS32 4NH,,18456,CCTVWEYB,Asset,
Defra,Core Defra,07/05/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022642,"46,058.29",Works regarding the Biocontainment report to address items on the risk register at Weybridge - December 2012,BS32 4NH,,17153,WEYBR160,Asset,
Defra,Core Defra,10/05/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025709,"38,795.72",Long Benton Laboratory Refurbishment - April 2013,BS32 4NH,,18483,LONGFUME,Asset,
Defra,Core Defra,14/05/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025693,"49,118.94",Refurbishment of Starcross office accommodation - April 2013,BS32 4NH,,,EXITCLYS,Asset,
Defra,Core Defra,14/05/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025689,"26,572.90",Relocation design and tender for Rural Payments Agency - Clyst House to Isca House - April 2013,BS32 4NH,,18075,EXITCLYS,Asset,
Defra,Core Defra,14/05/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025695,"83,901.56",Refurbishment of Isca House office accommodation - April 2013,BS32 4NH,,,EXITCLYS,Asset,
Defra,Core Defra,14/05/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025690,"26,019.71",Relocation design and tender for Rural Payments Agency - Clyst House to Starcross - April 2013,BS32 4NH,,18074,EXITCLYS,Asset,
Defra,Core Defra,02/05/2013,Agency temps - clerical,Chief Operating Officer DG,Royal Botanic Gardens Kew,S9191MT,"100,927.92",Kew onboarding (transfer of functions) project - specialist contract fees,TW9 3AB,,,0,Expense,
Defra,Core Defra,07/05/2013,Application Services/Minor Enhancements,Chief Operating Officer DG,IBM United Kingdom Ltd,5804130369,"49,175.78",eDomero (internet-based facility enabling plant health services applications) - April 2013,GU1 2LD,SME,FRW10040-00,0,Expense,
Defra,Core Defra,02/05/2013,Business Rates,Chief Operating Officer DG,D T Z,DEFRA186,"525,747.28","Payment of rent, rates and service charges for various properties within the Defra Network for the month of May/June 2013",B3 2ED,,,0,Expense,
Defra,Core Defra,09/05/2013,Business Rates,Chief Operating Officer DG,D T Z,DEFRA187,"805,154.45","Payment of rent, rates and service charges for various properties within the Defra Network for the month of May/June 2013",B3 2ED,,,0,Expense,
Defra,Core Defra,16/05/2013,Business Rates,Chief Operating Officer DG,D T Z,DEFRA188,"456,005.56","Payment of rent, rates and service charges for various properties within the Defra Network for the month of May/June 2013",B3 2ED,,,0,Expense,
Defra,Core Defra,24/05/2013,Business Rates,Chief Operating Officer DG,D T Z,DEFRA189,"1,617,897.55","Payment of rent, rates and service charges for various properties within the Defra Network for the month of May/June 2013",B3 2ED,,,0,Expense,
Defra,Core Defra,10/05/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025684,"36,245.16","Supply and fit monitor arms at Nobel House, London - April 2013",BS32 4NH,,17640,B196P010,Asset,
Defra,Core Defra,10/05/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025710,"77,106.43","London Rationalisation Programme, Nobel House - Additional Data and Power Works - April 2013",BS32 4NH,,10226,B196P010,Asset,
Defra,Core Defra,10/05/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025680,"50,531.93","Lighting replacement in Nobel House, London - April 2013",BS32 4NH,,17567,B196P010,Asset,
Defra,Core Defra,10/05/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025703,"61,843.43","London Rationalisation Programme, Nobel House  - April 2013",BS32 4NH,,,EXITLOND,Asset,
Defra,Core Defra,10/05/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025701,"30,897.71","London Rationalisation Programme, Nobel House - April 2013",BS32 4NH,,18252,EXITLOND,Asset,
Defra,Core Defra,10/05/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025694,"198,083.34",Strip out and refurbishment of Stirling House office accommodation - April 2013,BS32 4NH,,,EXITCLYS,Asset,
Defra,Core Defra,10/05/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025702,"66,317.30","London Rationalisation Programme, Nobel House - April 2013",BS32 4NH,,18297,EXITLOND,Asset,
Defra,Core Defra,10/05/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025687,"95,038.19","Refurbishment works to ground and first floor Ergon House, London - April 2013",BS32 4NH,,17759,B196P010,Asset,
Defra,Core Defra,10/05/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025686,"30,262.36","Refurbishment works in Nobel House, London - April 2013",BS32 4NH,,17799,B196P010,Asset,
Defra,Core Defra,14/05/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,IBM United Kingdom Ltd,5804130466,"199,372.36",Closure of Ergon House - relocation work,GU1 2LD,SME,FRW10040-00,B196P010,Asset,
Defra,Core Defra,14/05/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00025706,"119,819.83",Relocation Design and Tender for Rural Payments Agency from Clyst House to Sterling House - April 2013,BS32 4NH,,,EXITCLYS,Asset,
Defra,Core Defra,22/05/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,IBM United Kingdom Ltd,5804131409,"35,634.87","Closure of Ergon House – Information Communications Technology Services migration, reconfiguration, decommissioning, survey design and preparation for completed relocation - April 2013",GU1 2LD,SME,FRW10040-00,B196P010,Asset,
Defra,Core Defra,14/05/2013,Consultancy Non-Scheme,Chief Operating Officer DG,Food & Environment Research Agency,F0029210,"50,000.00",Contribution to consultancy work on Food and Environment Research Agency projects,YO41 1LZ,,IDS,0,Expense,
Defra,Core Defra,16/05/2013,Consultancy Non-Scheme,Chief Operating Officer DG,R S M Tenon,JTU1132,"25,758.00",Specialist advisory work for Defra within Finance and Performance,TF3 3DE,SME,12764,0,Expense,
