Entity,Date,Supplier ,Amount,Description
DEFRA,20/02/2014,E D F Energy,"62,568.68","Electricity bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - January 2014 "
DEFRA,13/02/2014,D T Z,"220,697.20","Payment of rent, rates and service charges for various properties within the Defra Network - January 2014"
DEFRA,12/02/2014,Buckingham Group Contracting Ltd,"143,436.92","Fees for demolitions contract to demolish identified buildings at Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge Site - January 2014."
DEFRA,20/02/2014,E D F Energy,"26,261.60","Electricity bill - Fisheries Laboratory, Pakefield Road, Lowestoft - January 2014 "
DEFRA,12/02/2014,Corona Energy,"25,205.45","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - 17 October 2011"
DEFRA,12/02/2014,Corona Energy,"318,078.92","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - 16 March 2010-17 October 2011"
DEFRA,06/02/2014,D T Z,"540,967.52","Payment of rent, rates and service charges for various properties within the Defra Network - April 2013-December 2015"
DEFRA,12/02/2014,Corona Energy,"113,300.36","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - November 2013"
DEFRA,27/02/2014,D T Z,"94,576.99","Payment of rent, rates and service charges for various properties within the Defra Network - April 2013-July 2014"
DEFRA,20/02/2014,D T Z,"695,055.74","Payment of rent, rates and service charges for various properties within the Defra Network - March 2013-May 2014"
DEFRA,04/02/2014,C E F A S,"75,150.00","Reimbursement of rent costs for Fish Laboratory Stores Unit, Lowestoft - January 2014"
DEFRA,20/02/2014,E D F Energy,"31,041.60","Electricity bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - 1 December 2013-28 January 2014 "
DEFRA,13/02/2014,D T Z,"782,448.45","Payment of rent, rates and service charges for various properties within the Defra Network - April 2013-March 2014"
DEFRA,12/02/2014,Corona Energy,"92,971.02","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - June 2013"
DEFRA,12/02/2014,Corona Energy,"104,172.00","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - August 2013"
DEFRA,12/02/2014,Corona Energy,"103,745.38","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - July 2013"
DEFRA,12/02/2014,Corona Energy,"286,904.02","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - February 2013"
DEFRA,12/02/2014,Corona Energy,"116,841.98","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - October 2013"
DEFRA,10/02/2014,E D F Energy,"62,531.74","Electricity bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - December 2013 "
DEFRA,04/02/2014,D T Z,"36,897.60",Estates Management Core Services 2013-14 - January 2014
DEFRA,20/02/2014,E D F Energy,"31,175.90","Electricity bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - December 2013 "
DEFRA,20/02/2014,E D F Energy,"136,723.38","Electricity bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - December 2013 "
DEFRA,12/02/2014,Corona Energy,"59,856.31","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - December 2013"
DEFRA,12/02/2014,Corona Energy,"117,519.17","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - 22 January-30 September 2013"
DEFRA,12/02/2014,Corona Energy,"102,236.69","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - September 2013"
DEFRA,20/02/2014,E D F Energy,"135,729.67","Electricity bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - January 2014 "
DEFRA,06/02/2014,Corona Energy,"29,593.09","Gas bill - Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - 1 October-1 November 2013"
DEFRA,28/02/2014,Interserve (Facilities Mngmnt) Ltd,"60,464.57",Nobel House - London Rationalisation Programme - Main Works - January 2014
DEFRA,26/02/2014,Interserve (Facilities Mngmnt) Ltd,"41,790.66",Northgate House - Roof Repairs - January 2014
DEFRA,24/02/2014,IBM United Kingdom Ltd,"34,266.18","Closure of Ergon House, London - Information and Communications Technology services migration, reconfiguration and decommissioning - December 2013"
DEFRA,24/02/2014,Interserve (Facilities Mngmnt) Ltd,"28,612.09",Newcastle - Sustainability Project - Installation of cavity wall and/or roof insulation to all areas of building detailed in specification/drawings - December 2013
DEFRA,24/02/2014,Interserve (Facilities Mngmnt) Ltd,"138,267.60","Nobel House, London - the creation of new meeting room suites - January 2014"
DEFRA,04/02/2014,Jacobs Engineering UK Ltd,"28,823.38",Project management and design services - Stage 1 - December 2013
DEFRA,24/02/2014,Interserve (Facilities Mngmnt) Ltd,"162,233.44","Nobel House, London - the creation of new meeting room suites - December 2013"
DEFRA,24/02/2014,Interserve (Facilities Mngmnt) Ltd,"31,062.98",Shrewsbury - replacement of existing boilers with new high efficiency condensing units
DEFRA,24/02/2014,Interserve (Facilities Mngmnt) Ltd,"95,073.43","Nobel House, London - meeting room mechanical works - December 2013."
DEFRA,24/02/2014,Interserve (Facilities Mngmnt) Ltd,"122,702.16","Nobel House, London - meeting room mechanical works - January 2013."
DEFRA,28/02/2014,Interserve (Facilities Mngmnt) Ltd,"33,507.18","Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - Design and Tender Business Case Proforma for CCTV Site upgrade and security works in feasibility for farm areas - December 2013"
DEFRA,24/02/2014,Interserve (Facilities Mngmnt) Ltd,"100,840.01",Nobel House - Roof Terrace Install Works - December 2013
DEFRA,04/02/2014,Cabi Bioscience (Egham),"63,500.00","Bio control of floating pennywort, crassula and Himalayan balsam - January 2014"
