Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description
DEFRA,DEFRA ORGANISATION,24/01/2012,Mobile Phones,Central Finance Group,Vodafone Ltd,61271337,"£58,030.90",Defra Vodafone bill for November 2011
DEFRA,DEFRA ORGANISATION,12/01/2012,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.72E+21,"£167,130.83",Government Procurement Card payments across Defra for period January 2012
DEFRA,DEFRA ORGANISATION,20/01/2012,Other Current Payments E,Environment and Rural Group,JSS Pensions Administration,3441,"£109,822.48",Nature Conservation Council Pensions GROSS MONTHLY AP COSTS DEC 2011
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,Frontier Economics Ltd,5222,"£166,688.00",Economics of Climate Resilience 
DEFRA,DEFRA ORGANISATION,10/01/2012,Other Current Payments (GB),Environment and Rural Group,Dept For Communities & Local Gov,10112,"£250,000.00",LONDON SUPPORT GRANT SERVICES
DEFRA,DEFRA ORGANISATION,10/01/2012,Inwards Secondments,Environment and Rural Group,H M Treasury,27146,"£30,000.00",SECONDMENT  OCT-NOV 2011
DEFRA,DEFRA ORGANISATION,10/01/2012,Other Current Payments E,Environment and Rural Group,Dept For Communities & Local Gov,40112,"£1,752,777.78",LONDON SUPPORT GRANT SERVICES
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments E,Environment and Rural Group,North Pennines AONB Partnership,81211,"£278,268.75",North Pennines AREA OF OUTSTANDING NATURAL BEAUTY
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Environment and Rural Group,Northumberland Nat Park Authority,81211,"£504,337.00",Grant-In Aid Payment - Northumberland National Parks Authority
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Environment and Rural Group,Peak District National Park Auth,81211,"£771,720.00",Grant-In Aid Payment  Peak District National Park
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Environment and Rural Group,Exmoor National Park Authority,81211,"£866,300.00",Grant-In Aid Payment  - Exmoor National Park 
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Environment and Rural Group,New Forest National Park Auth,81211,"£905,393.00",Grant-In Aid Payment - New Forest National Park
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Environment and Rural Group,Dartmoor National Park Authority,81211,"£983,008.00",Grant-In Aid Payment - Dartmoor National Park Authority
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Environment and Rural Group,Broads Authority,81211,"£1,000,538.00",Grant-In Aid Payment - Boards Authority
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Environment and Rural Group,North York Moors National Park,81211,"£1,084,119.00",Grant-In Aid Payment  - North York Moors National Park
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Environment and Rural Group,Yorkshire Dales National Authority,81211,"£1,191,418.00",Grant-In Aid Payment - Yorkshire  Dales National Park Authority
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Environment and Rural Group,Lake District National Park Auth,81211,"£1,587,300.00",Grant-In Aid Payment - Lake District National Park
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Environment and Rural Group,South Downs National Park Authority,81211,"£4,162,791.00",Grant-In Aid Payment - South Downs National Park 
DEFRA,DEFRA ORGANISATION,20/01/2012,Grant-in Aid Payments,Environment and Rural Group,Joint Nature Conservation Committee,90112,"£754,000.00",Grant-In Aid Payment  for Joint Nature Conservation Committee
DEFRA,DEFRA ORGANISATION,16/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,Meteorological Office,100112,"£32,587.90",SCIENTIFIC SUPPORT FOR National Infrastructure Plan
DEFRA,DEFRA ORGANISATION,16/01/2012,Capital LA Grant E,Environment and Rural Group,Oxford City Council,100112,"£35,000.00",AIR QUALITY GRANT SCHEME- Oxford City Council
DEFRA,DEFRA ORGANISATION,16/01/2012,Capital LA Grant E,Environment and Rural Group,Sheffield City Council,100112,"£40,000.00",AIR QUALITY GRANT SCHEME - Sheffield City Council
DEFRA,DEFRA ORGANISATION,16/01/2012,Capital LA Grant E,Environment and Rural Group,Southampton City Council,100112,"£40,000.00",AIR QUALITY GRANT SCHEME Southampton City Council
DEFRA,DEFRA ORGANISATION,16/01/2012,Capital LA Grant E,Environment and Rural Group,Wigan Council,100112,"£50,950.00",AIR QUALITY GRANT SCHEME Wigan Council
DEFRA,DEFRA ORGANISATION,16/01/2012,Capital LA Grant E,Environment and Rural Group,Bradford Metropolitan District Council,100112,"£102,000.00",AIR QUALITY GRANT SCHEME Bradford Council
DEFRA,DEFRA ORGANISATION,16/01/2012,Capital LA Grant E,Environment and Rural Group,Birmingham City Council,100112,"£120,000.00",AIR QUALITY GRANT SCHEME Birmingham City Council
DEFRA,DEFRA ORGANISATION,20/01/2012,Other Current Payments E,Environment and Rural Group,Malvern Hills AONB,110112,"£93,975.00",MALVERN HILLS AREA OF NATURAL BEAUTY GRANT
DEFRA,DEFRA ORGANISATION,10/01/2012,Evidence Non R&D,Environment and Rural Group,National Physical Laboratory,110653,"£27,062.40",HEAVY METAL MONITORING DEC 11
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,National Physical Laboratory,110654,"£36,457.00",DEFRACTILE NUMBER AND COMPOSITION MONITORING CONTRACT
DEFRA,DEFRA ORGANISATION,13/01/2012,Grant-in Aid Payments,Environment and Rural Group,Natural England,120112,"£15,000,000.00",SUPPLEMENTARY GRANT IN AID PAYMENT FOR NATURAL ENGLAND 
