Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,,,,,,,,,,,,
DEFRA,DEFRA,04/02/2016,IT Software,Chief Operating Officer DG,M D S Technologies Ltd,4833,262682.50 ,PO 377778 ECM_8887 FA8 - IAAS HOSTING CHARGES FOR DEC 2015 PHYSICAL SERVES & STORAGE,SN14 0GX,SME,CAP204,CAPDFA08,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR116,103663.48 ,CHAPS PAYMENT DEFRA CAPITA FUNDING REQUEST INVOICE NO CAPFR116,EC2V 7NQ,,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,10/02/2016,IT Maintenance,Chief Operating Officer DG,Specialist Computer Centres,OPM104519,28760.90 ,PO 380630 PTBCON01 CONSULTANCY,B11 2LE,SME,CAP471,CAPDFA07,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,18/02/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPM115905,85908.40 ,PO 380726 PTBCON01 CONSULTANCY INV007038 SPRINT 57,B11 2LE,SME,CAP514,CAPDFACP,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,22/02/2016,FM Projects Non Capital Works,Chief Operating Officer DG,Merrick UK Ltd,000115,43778.40 ,PO 379841 MERRICK JOB 8401864307,80111,,21603,B0870000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/02/2016,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,590116015554,-68618.64 ,CREDIT NOTE CATCH UP CREDIT CCN6176 & CCN6170,GU1 2LD,SME,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/02/2016,Grant-in Aid Payments,Environment and Rural DG Group,Royal Botanic Gardens Kew,KEWGIA121516,2150000.00 ,PO 376825 THE GRANT IN AID REQUEST,TW9 3AB,,GIA,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/02/2016,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR115,660854.52 ,CHAPS PAYMENT  OF DEFRA'S BUILDING UTILITY BILLS CAPITA INVOICE NO CAPFR115,EC2V 7NQ,,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,02/02/2016,Other Current Payments E,Environment and Rural DG Group,Cabi Bioscience (Egham),SI6522,47500.00 ,"PO 350904,  WFD CRASSULA PHASE 2",TW20 9TY,SME,WC1028,INNWFDXX,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,02/02/2016,Other Current Payments (Evidence R&D),Environment and Rural DG Group,Centre For Ecology & Hydrology,7060008906,47997.00 ,PO 376718 NEC05447 - BE0113 - ENVIRONMENTAL CHANGE NETWORK 2014/15 MILESTONES 10 11 12 13 & 14,SN2 1EU,SME,BE0113,BIODECOS,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,02/02/2016,Other Current Payments E,Environment and Rural DG Group,The Coal Authority,SI002431,452153.45 ,PO 377301 QUARTER 4 JANUARY 16,NG18 4RG,SME,17479,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,02/02/2016,Grant-in Aid Payments,Environment and Rural DG Group,Environmental Agency,EAGIAJAN16,60000000.00 ,PO 376669 & 376604 EA FLOOD DEFENCE GIA,BS1 5AH,,G.I.A,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,02/02/2016,Other Current Payments (Evidence R&D),Environment and Rural DG Group,Centre For Ecology & Hydrology,7060009138,36955.00 ,PO 376718 NEC05447 BE0113 ENVIRONMENTAL CHANGE NETWORK,SN2 1EU,SME,BE0113,BIODECOS,Expense,,,,,,,,,,,,,,,
