Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,DEFRA ,01/03/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",Innovate UK,1328,1300000,"PO 367155 CO-FUNDING Q3 15/16 CRD-11 SUPPORT ACTIVITY 1232, 14027, 14122",SN2 1JF,,IGS,0,Expense,
DEFRA,DEFRA ,01/03/2016,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00050092,51174.8,PO 376064 & MULTI PO SBEWS/SWM CONTRACT BCP WORKS,BS32 4NH,,10195L,B0800000,Expense,
DEFRA,DEFRA ,01/03/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPM119296,113366.62,PO 380726 CONSULTANCY,B11 2LE,SME,CAP514,CAPDFACP,Asset,
DEFRA,DEFRA ,01/03/2016,Current Grants E,"Strategy, International, Food and Farming DG Group",National Farmers Union,OP0030706,147126.1,"PO 375654,  CFE RCT CONTRACT",CV8 2TZ,SME,21635,0,Expense,
DEFRA,DEFRA ,01/03/2016,IT Software,Chief Operating Officer DG,Specialist Computer Centres,OPM119930,67759.03,PO 380724 CONSULTANCY,B11 2LE,SME,CAP497,CAPDFA08,Expense,
DEFRA,DEFRA ,01/03/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPM115902,93715.19,PO 380726 CONSULTANCY,B11 2LE,SME,CAP475,CAPDFACP,Asset,
DEFRA,DEFRA ,01/03/2016,IT Maintenance,Chief Operating Officer DG,Specialist Computer Centres,OPM124044,33311.16,"PO 380630,  CONSULTANCY",B11 2LE,SME,CAP471,CAPDFA07,Expense,
DEFRA,DEFRA ,01/03/2016,Other Current Payments E,"Strategy, International, Food and Farming DG Group",Rural Payments Agency,SCM615622XZ79P01,51340.69,"PO 380449,  SCHOOL MILK",RG1 3YD,SME,FDP,LIV00022,Expense,
DEFRA,DEFRA ,01/03/2016,Civil service Pension Administration,Chief Operating Officer DG,Cabinet Office,250013671,255135.6,PO 382442 PENSION ADMINISTRATION,FY5 3TA,,IGS,0,Expense,
DEFRA,DEFRA ,01/03/2016,Excess Fares,Chief Operating Officer DG,Rural Payments Agency,ARI000486,26393.39,PO 377020 NORTHALLERTON RELOCATION COSTS MAY 2015,RG1 3BU,SME,FR0618,B1850000,Expense,
DEFRA,DEFRA ,01/03/2016,Excess Fares,Chief Operating Officer DG,Rural Payments Agency,ARI000734,27144.81,PO 377020 NOTHALLERTON,RG1 3BU,SME,FR0618,B1850000,Expense,
DEFRA,DEFRA ,01/03/2016,Excess Fares,Chief Operating Officer DG,Rural Payments Agency,ARI000593,27045.57,PO 377020 NORTHALLERTON RELOCATION COSTS AUGUST 2015,RG1 3BU,SME,FR0618,B1850000,Expense,
DEFRA,DEFRA ,01/03/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",Fera Science Limited,6138006593,53237.64,"PO 379130,  CHARGES IN RESPECT OF PROFESSIONAL SERVICE",YO41 1LZ,,VM0514,0,Expense,
DEFRA,DEFRA ,01/03/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Sopra Steria Ltd,100086635,279193.31,PO 378216 T AND M DEC 2015,HP2 7AH,,CAP453,CAPDFA02,Asset,
DEFRA,DEFRA ,01/03/2016,IT Software,Chief Operating Officer DG,Specialist Computer Centres,OPM115908,45957.29,PO 380613 PTBCON01 CONSULTANCY INV007061 SPRINT 53,B11 2LE,SME,CAP475,CAPDFA08,Expense,
DEFRA,DEFRA ,01/03/2016,Excess Fares,Chief Operating Officer DG,Rural Payments Agency,ARI000567,28422.57,"PO 377020, NORTHALLERTON RELOCATION COSTS",RG1 3BU,SME,FR0618,B1850000,Expense,
DEFRA,DEFRA ,01/03/2016,Inwards Secondments,Chief Operating Officer DG,H M R C,1.8E+13,821317.89,"PO 380885,  FINAL GFS TALENT TEAM COSTS",BN12 4XH,,IGS,0,Expense,
