Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2011,CURRENT GRANTS,School Resources Group,BARNSLEY MBC,4000043548,5178240
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2011,CURRENT GRANTS,School Resources Group,BATH & NORTH EAST SOMERSET COUNCIL,4000043549,3835520
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2011,CURRENT GRANTS,School Resources Group,BEDFORD BOROUGH COUNCIL,4000043550,3848080
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2011,CURRENT GRANTS,School Resources Group,BIRMINGHAM CITY COUNCIL,4000043551,31591680
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2011,CURRENT GRANTS,School Resources Group,BLACKBURN WITH DARWEN BOROUGH COUNCIL,4000043552,4369520
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2011,CURRENT GRANTS,School Resources Group,BLACKPOOL BOROUGH COUNCIL,4000043553,3469320
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,BOLTON MBC,4000043554,7019480
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,BOURNEMOUTH BOROUGH COUNCIL,4000043555,3171600
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,BRACKNELL FOREST BOROUGH COUNCIL,4000043556,2618280
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,BRIGHTON & HOVE CITY COUNCIL,4000043557,5263760
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,BRISTOL CITY COUNCIL,4000043558,8043440
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,BUCKINGHAMSHIRE COUNTY COUNCIL,4000043559,11854480
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,BURY MBC,4000043560,4663120
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,CALDERDALE MBC,4000043561,5414840
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,CAMBRIDGESHIRE COUNTY COUNCIL,4000043562,12743120
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,CENTRAL BEDFORDSHIRE COUNCIL,4000043563,5857640
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,CHESHIRE EAST COUNCIL,4000043564,7775640
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,CHESHIRE WEST & CHESTER COUNCIL,4000043565,7499000
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,4000043566,14011320
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,CITY OF LONDON,4000043567,80840
Department for Education,TEACHERS PENSION SCHEME,04/01/2011,CURRENT GRANTS,School Resources Group,CITY OF WESTMINSTER,4000043568,3881800
