Departmental Family,Entity,Date,Expense Type Lookup,Expense Area Lookup,Supplier ,Transaction Number,Amount
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,BARNSLEY MBC,4000018729,5220600
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,BATH & NORTH EAST SOMERSET COUNCIL,4000018730,3954720
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,BEDFORD BOROUGH COUNCIL,4000018731,3935280
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,BIRMINGHAM CITY COUNCIL,4000018732,31863680
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,BLACKBURN WITH DARWEN BOROUGH COUNCIL,4000018733,4407200
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,BLACKPOOL BOROUGH COUNCIL,4000018734,3495600
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,BOLTON MBC,4000018735,7114480
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,BOURNEMOUTH BOROUGH COUNCIL,4000018736,3297640
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,BRACKNELL FOREST BOROUGH COUNCIL,4000018737,2602560
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,BRIGHTON & HOVE CITY COUNCIL,4000018738,5387280
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,BRISTOL CITY COUNCIL,4000018739,8053880
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,BUCKINGHAMSHIRE COUNTY COUNCIL,4000018740,11800600
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,BURY MBC,4000018741,4701440
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,CALDERDALE MBC,4000018742,5471680
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,CAMBRIDGESHIRE COUNTY COUNCIL,4000018743,12834560
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,CENTRAL BEDFORDSHIRE COUNCIL,4000018744,5869000
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,CHESHIRE EAST COUNCIL,4000018745,8014040
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,CHESHIRE WEST & CHESTER COUNCIL,4000018746,7608480
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,4000018747,14112240
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,CITY OF LONDON,4000018748,81560
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,CITY OF WESTMINSTER,4000018749,3846200
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,CORNWALL COUNCIL,4000018750,11137840
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,COUNCIL OF THE ISLES OF SCILLY,4000018751,116653
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,COVENTRY CITY COUNCIL,4000018752,8090440
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,CUMBRIA COUNTY COUNCIL,4000018753,10528120
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,DARLINGTON BOROUGH COUNCIL,4000018754,2452520
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,DERBY CITY COUNCIL,4000018755,6221800
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,DERBYSHIRE COUNTY COUNCIL,4000018756,17154280
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,DEVON COUNTY COUNCIL,4000018757,14969440
