Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,12/05/2010,CAPITAL GRANTS,School Formation and Investment Group,DARWEN ACADEMY,1000150,1673130.74
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,12/05/2010,CURRENT GRANTS,Children and Families Early Years Extended Schools and Special Needs,DITTAS SPLD TRAINING,1000151,67700
DEPARTMENT FOR EDUCATION,TEACHERS PENSION SCHEME,12/05/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group Young - TPS,CAPITA TP NATWEST,1000156,15383486.05
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,12/05/2010,GRANT IN AID,School Resources Group,PARTNERSHIPS FOR SCHOOLS,2000145,91155083
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,12/05/2010,CONTRACT PROGRAMME EXPENDITURE,School Formation and Investment Group,APPLEYARDS LTD,4000023677,85700.67
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,12/05/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,4000023683,-356.3
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,12/05/2010,STAFF EXPENSES / COSTS,Young People Talent Task Force Division,CARLSON WAGONLIT TRAVEL,4000023683,-269.82
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,12/05/2010,STAFF EXPENSES / COSTS,Commercial Group Shared Services and Children and Young People,CARLSON WAGONLIT TRAVEL,4000023683,-260.73
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,12/05/2010,STAFF EXPENSES / COSTS,Children and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000023683,-229.32
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,12/05/2010,STAFF EXPENSES / COSTS,Commercial Group EFM,CARLSON WAGONLIT TRAVEL,4000023683,-206.74
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,12/05/2010,STAFF EXPENSES / COSTS,Commercial Group Schools and Category Management,CARLSON WAGONLIT TRAVEL,4000023683,-162.39
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,12/05/2010,STAFF EXPENSES / COSTS,School Standards Group,CARLSON WAGONLIT TRAVEL,4000023683,-148.68
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,12/05/2010,STAFF EXPENSES / COSTS,Children and Families Child Well Being Group,CARLSON WAGONLIT TRAVEL,4000023683,-142.44
