Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,04/03/2011,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000048272,4821.42
Department for Education,DEPARTMENT FOR EDUCATION,07/03/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,CARLSON WAGONLIT TRAVEL,4000048349,-22.98
Department for Education,DEPARTMENT FOR EDUCATION,07/03/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,CARLSON WAGONLIT TRAVEL,4000048349,103.56
Department for Education,DEPARTMENT FOR EDUCATION,07/03/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,CARLSON WAGONLIT TRAVEL,4000048349,1359.2
Department for Education,DEPARTMENT FOR EDUCATION,07/03/2011,STAFF EXPENSES / COSTS,Customer Contact and Business Development Group,CARLSON WAGONLIT TRAVEL,4000048349,796.95
Department for Education,DEPARTMENT FOR EDUCATION,07/03/2011,STAFF EXPENSES / COSTS,Customer Contact and Business Development Group,CARLSON WAGONLIT TRAVEL,4000048349,169.29
Department for Education,DEPARTMENT FOR EDUCATION,07/03/2011,STAFF EXPENSES / COSTS,Customer Contact and Business Development Group,CARLSON WAGONLIT TRAVEL,4000048349,1420.07
Department for Education,DEPARTMENT FOR EDUCATION,07/03/2011,STAFF EXPENSES / COSTS,Marketing Group,CARLSON WAGONLIT TRAVEL,4000048349,177.11
Department for Education,DEPARTMENT FOR EDUCATION,07/03/2011,STAFF EXPENSES / COSTS,Press Office Group,CARLSON WAGONLIT TRAVEL,4000048349,451.57
Department for Education,DEPARTMENT FOR EDUCATION,07/03/2011,STAFF EXPENSES / COSTS,Press Office Group,CARLSON WAGONLIT TRAVEL,4000048349,15.99
Department for Education,DEPARTMENT FOR EDUCATION,07/03/2011,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,TEACHERS TV C/O EDUCATION DIGITAL 2 LTD,4000048374,211771.2
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2011,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,TEACHERS TV C/O EDUCATION DIGITAL 2 LTD,4000048599,112416
Department for Education,DEPARTMENT FOR EDUCATION,10/03/2011,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,EDUSERV,4000048754,7820.4
Department for Education,DEPARTMENT FOR EDUCATION,14/03/2011,PROFESSIONAL FEES,Customer Contact and Business Development Group,JP MORGAN COMMERCIAL CARDS,4000048915,22.99
Department for Education,DEPARTMENT FOR EDUCATION,14/03/2011,OFFICE MACHINERY HIRE & MAINTENANCE,Customer Contact and Business Development Group,JP MORGAN COMMERCIAL CARDS,4000048915,25.2
Department for Education,DEPARTMENT FOR EDUCATION,14/03/2011,STAFF EXPENSES / COSTS,Marketing Group,JP MORGAN COMMERCIAL CARDS,4000048915,50.9
Department for Education,DEPARTMENT FOR EDUCATION,14/03/2011,PRINTING STATIONERY IT & CONSUMABLES,Marketing Group,JP MORGAN COMMERCIAL CARDS,4000048915,44.58
Department for Education,DEPARTMENT FOR EDUCATION,14/03/2011,GENERAL OFFICE EXPENSES,Press Office Group,JP MORGAN COMMERCIAL CARDS,4000048915,10.65
Department for Education,DEPARTMENT FOR EDUCATION,14/03/2011,IS/IT,Corporate and Internal Communications Group,JP MORGAN COMMERCIAL CARDS,4000048915,25.04
Department for Education,DEPARTMENT FOR EDUCATION,17/03/2011,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000049214,28289.57
Department for Education,DEPARTMENT FOR EDUCATION,17/03/2011,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000049214,4626.12
Department for Education,DEPARTMENT FOR EDUCATION,17/03/2011,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,TEACHERS TV C/O EDUCATION DIGITAL 2 LTD,4000049266,369836.4
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2011,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000049325,20050.92
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2011,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000049325,4860.48
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2011,STAFF EXPENSES / COSTS,Communications Strategy and Insight Group,CARLSON WAGONLIT TRAVEL,4000049326,94.25
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2011,STAFF EXPENSES / COSTS,Communications Strategy and Insight Group,CARLSON WAGONLIT TRAVEL,4000049326,26.39
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,CARLSON WAGONLIT TRAVEL,4000049326,-23.93
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,CARLSON WAGONLIT TRAVEL,4000049326,1869.3
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2011,STAFF EXPENSES / COSTS,Customer Contact and Business Development Group,CARLSON WAGONLIT TRAVEL,4000049326,508.7
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2011,STAFF EXPENSES / COSTS,Customer Contact and Business Development Group,CARLSON WAGONLIT TRAVEL,4000049326,18.56
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2011,STAFF EXPENSES / COSTS,Customer Contact and Business Development Group,CARLSON WAGONLIT TRAVEL,4000049326,1205.96
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2011,STAFF EXPENSES / COSTS,Press Office Group,CARLSON WAGONLIT TRAVEL,4000049326,188.21
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2011,PROFESSIONAL FEES,Press Office Group,CARLSON WAGONLIT TRAVEL,4000049326,210.12
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2011,COMMUNICATIONS & PUBLICITY,Communications Strategy and Insight Group,PROLOG,4000049610,189.05
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2011,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,PROLOG,4000049610,118.8
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2011,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,PROLOG,4000049610,59832.82
Department for Education,DEPARTMENT FOR EDUCATION,25/03/2011,IS/IT,Corporate and Internal Communications Group,CAPGEMINI UK PLC,4000050018,203414.7
Department for Education,DEPARTMENT FOR EDUCATION,25/03/2011,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000050019,7890.17
Department for Education,DEPARTMENT FOR EDUCATION,25/03/2011,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000050019,4821.42
Department for Education,DEPARTMENT FOR EDUCATION,25/03/2011,COMMUNICATIONS & PUBLICITY,Corporate and Internal Communications Group,TEACHERS TV C/O EDUCATION DIGITAL 2 LTD,4000050063,303733.2
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,EXPOTEL HOTEL RESERVATIONS LTD,4000050145,108.43
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2011,STAFF EXPENSES / COSTS,Corporate and Internal Communications Group,EXPOTEL HOTEL RESERVATIONS LTD,4000050145,627.24
