Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Category,Sub-Category,Micro-Category
Department for Work and Pensions,Jobcentre Plus,03-Apr-12,EMPLOYMENT ZONES,COO,LONDON BOROUGH OF BARNET,1005204,"Ł100,000",Welfare to Work,Client Facing,EMPLOYMENT ZONES
Department for Work and Pensions,Jobcentre Plus,03-Apr-12,EMPLOYMENT ZONES,COO,LONDON BOROUGH OF ISLINGTON,1005205,"Ł97,980",Welfare to Work,Client Facing,EMPLOYMENT ZONES
Department for Work and Pensions,Jobcentre Plus,03-Apr-12,EMPLOYMENT ZONES,COO,WESTMINSTER CITY COUNCIL,1005206,"Ł98,464",Welfare to Work,Client Facing,EMPLOYMENT ZONES
Department for Work and Pensions,Jobcentre Plus,13-Apr-12,EMPLOYMENT ZONES,COO,LONDON BOROUGH OF CROYDON,1005207,"Ł50,000",Welfare to Work,Client Facing,EMPLOYMENT ZONES
Department for Work and Pensions,Corporate,16-Apr-12,UNALLOCATED BUDGET GROUP,STR,MOTABILITY,1005208,"Ł83,370",Non Commercial Costs,Grants,Other Grants
Department for Work and Pensions,Corporate,16-Apr-12,GRANTS IN AID,COO,THE PENSIONS REGULATOR,1005209,"Ł8,593,000",Non Commercial Costs,Grants,Grants in Aid
Department for Work and Pensions,Corporate,16-Apr-12,GRANTS IN AID,COO,THE PENSIONS REGULATOR,1005209,"Ł207,000",Non Commercial Costs,Grants,Other Grants
Department for Work and Pensions,Corporate,17-Apr-12,BANKING AND ENCASHMENT COSTS,COO,SANTANDER,1005210,Ł100,Encashment & Banking,Bank Charges,Other Banking Costs
Department for Work and Pensions,Corporate,17-Apr-12,OTHER MAJOR CONTRACTS,COO,SANTANDER,1005210,"Ł687,704",Encashment & Banking,Bank Charges,Encashment of Cheques
Department for Work and Pensions,Corporate,18-Apr-12,Consultancy Fee,COO,I MITCHELL,1005212,"Ł30,000",Professional Services,Legal,Legal
Department for Work and Pensions,Corporate,19-Apr-12,Other ,COO,PENSION PROTECTION FUND,1005213,"Ł27,575,000",Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,Corporate,19-Apr-12,AOS CONTRACTED OUT SERVICES,COO,ST IVES DIRECT LEEDS LTD,1005214,"Ł23,384",Print & Associated Services,Marketing & Publicity,Non-Core Print
Department for Work and Pensions,Corporate,20-Apr-12,Consultancy Fee,COO,IRWIN MITCHELL SOLICITORS,1005216,"Ł30,000",Professional Services,Legal,Legal
