Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Category,Sub-Category,Micro-Category
Department for Work and Pensions,European Social Fund,14-Jun-12,INTRA DWP PAYABLES,STR,DEPARTMENT FOR WORK & PENSIONS,5000001052,"Ł50,000,000",Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,Corporate,29-Jun-12,ACCOMMODATION,COO,TELEREAL TRILLIUM,2025857000,"Ł31,767,208",Estates,PRIME,PRIME Facility Price
Department for Work and Pensions,Corporate,15-Jun-12,HOSTING,COO,HP ENTERPRISE SERVICES UK LTD,2025694207,"Ł14,310,429",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,Employment Programmes,06-Jun-12,GRANTS IN AID,STR,REMPLOY LTD,1005267,"Ł8,000,000",Non Commercial Costs,Grants,Grants in Aid
Department for Work and Pensions,Corporate,26-Jun-12,MEDICAL SERVICES,COO,ATOS HEALTHCARE,2025782458,"Ł7,558,613",Medical Services,PDCS Medical Services,PDCS Medical Services
Department for Work and Pensions,Corporate,15-Jun-12,NETWORK,COO,BT GLOBAL SERVICES,2025692685,"Ł7,124,254",Information & Communications Technology,Networks,Running Costs
Department for Work and Pensions,European Social Fund,07-Jun-12,ESF Expenditure,STR,NATIONAL OFFENDER MANAGEMENT SERVICES,5000001045,"Ł6,595,893",European Social Fund,European Social Fund,European Social Fund
Department for Work and Pensions,Corporate,29-Jun-12,BANKING AND ENCASHMENT COSTS,COO,POST OFFICE LTD,1005303,"Ł5,374,244",Encashment & Banking,Bank Charges,Card Account Fees
Department for Work and Pensions,Corporate,26-Jun-12,IS/IT,COO,SPECIALIST COMPUTER CENTRES PLC,2025790523,"Ł5,221,878",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,Corporate,29-Jun-12,ACCOMMODATION,COO,TELEREAL TRILLIUM,2025857001,"Ł5,105,734",Estates,PRIME,PRIME Business Rates
Department for Work and Pensions,Corporate,15-Jun-12,COMPUTER SERVICES,CIT,ACCENTURE UK LTD,2025692593,"Ł4,864,614",Information & Communications Technology,Systems Delivery,Maintenance & Support
Department for Work and Pensions,Corporate,26-Jun-12,COMPUTER SERVICES,COO,HP ENTERPRISE SERVICES UK LTD,2025787493,"Ł4,724,101",Information & Communications Technology,Systems Delivery,Maintenance & Support
Department for Work and Pensions,Corporate,06-Jun-12,GRANTS IN AID,COO,THE PENSIONS REGULATOR,1005269,"Ł4,551,248",Non Commercial Costs,Grants,Grants in Aid
Department for Work and Pensions,Corporate,12-Jun-12,COMPUTER SERVICES,COO,HP ENTERPRISE SERVICES UK LTD,2025624506,"Ł4,509,054",Information & Communications Technology,Systems Delivery,Desktop / Local Area Network
Department for Work and Pensions,Corporate,12-Jun-12,COMPUTER SERVICES,COO,ACCENTURE UK LTD,2025623383,"Ł4,440,479",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Corporate,29-Jun-12,TRADE DEBTORS,Excluded,TELEREAL TRILLIUM,2025857000,"Ł4,349,428",Estates,PRIME,PRIME Accounts Payable / Receivable Recovery
Department for Work and Pensions,Corporate,22-Jun-12,MEDICAL SERVICES,COO,ATOS HEALTHCARE,2025772995,"Ł4,231,303",Medical Services,PDCS Medical Services,PDCS Medical Services
Department for Work and Pensions,Corporate,12-Jun-12,COMPUTER SERVICES,CIT,IBM UNITED KINGDOM LTD,2025624548,"Ł3,891,835",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Corporate,12-Jun-12,COMPUTER SERVICES,COO,HP ENTERPRISE SERVICES UK LTD,2025624506,"Ł3,782,910",Information & Communications Technology,Systems Delivery,Maintenance & Support
Department for Work and Pensions,Corporate,15-Jun-12,COMPUTER SERVICES,COO,ACCENTURE UK LTD,2025692593,"Ł3,513,900",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Corporate,11-Jun-12,AOS CONTRACTED OUT SERVICES,COO,BALFOUR BEATTY WORKPLACE LTD,2025618546,"Ł3,468,849",Office Services,Office Services,Office Services
Department for Work and Pensions,Employment Programmes,21-Jun-12,INTRA DWP PAYABLES,Excluded,DWP PROGRAMME NIF MANUAL PAYMENTS,2003281,"Ł3,226,094",Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,Corporate,15-Jun-12,COMPUTER SERVICES,COO,BT GLOBAL SERVICES,2025692685,"Ł3,221,164",Information & Communications Technology,Networks,Running Costs
Department for Work and Pensions,Corporate,15-Jun-12,COMPUTER SERVICES,COO,HP ENTERPRISE SERVICES UK LTD,2025694207,"Ł2,678,120",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,Corporate,19-Jun-12,MEDICAL SERVICES,COO,ATOS HEALTHCARE,2025702528,"Ł2,471,177",Medical Services,PDCS Medical Services,PDCS Medical Services
Department for Work and Pensions,Corporate,22-Jun-12,Accommodation Costs,COO,HMRC,2025775718,"Ł2,364,064",Estates,Non-PRIME,Non PRIME Property Costs
Department for Work and Pensions,Employment Programmes,28-Jun-12,GRANTS IN AID,STR,REMPLOY LTD,2025852497,"Ł2,350,000",Non Commercial Costs,Grants,Grants in Aid
Department for Work and Pensions,Corporate,20-Jun-12,POSTAGE,COO,TNT UK LTD,2025764425,"Ł2,254,413",Document Management,Post & Courier,Courier Services
Department for Work and Pensions,Corporate,15-Jun-12,IS/IT,COO,HP ENTERPRISE SERVICES UK LTD,2025694207,"Ł2,088,644",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,Corporate,26-Jun-12,EMPLOYMENT PROGRAMMES,Excluded,NEST CORPORATION,2003296,"Ł2,000,000",Non Commercial Costs,Grants,Other Grants
Department for Work and Pensions,Corporate,28-Jun-12,MEDICAL SERVICES,COO,ATOS HEALTHCARE,2025850737,"Ł1,929,425",Medical Services,PDCS Medical Services,PDCS Medical Services
Department for Work and Pensions,Corporate,07-Jun-12,SIAM,COO,HP ENTERPRISE SERVICES UK LTD,2025610730,"Ł1,897,027",Information & Communications Technology,Systems Delivery,Maintenance & Support
Department for Work and Pensions,Corporate,18-Jun-12,TELEPHONE AND POSTAGE,COO,UK MAIL,2025701035,"Ł1,830,809",Document Management,Post & Courier,Domestic Mail Services
Department for Work and Pensions,Corporate,29-Jun-12,ACCOMMODATION,COO,TELEREAL TRILLIUM,2025857000,"Ł1,669,260",Estates,PRIME,PRIME Facility Price
Department for Work and Pensions,Jobcentre Plus,29-Jun-12,MEDICAL SERVICES,COO,ATOS HEALTHCARE,2025854477,"Ł1,601,457",Medical Services,PDCS Medical Services,PDCS Medical Services
Department for Work and Pensions,Corporate,28-Jun-12,Accommodation Costs,COO,EDF ENERGY 1 LTD SCC UTILITIES ONLY,1005297,"Ł1,600,738",Estates,PRIME,PRIME Utilities
Department for Work and Pensions,Corporate,11-Jun-12,Accommodation Costs,COO,EDF ENERGY 1 LTD SCC UTILITIES ONLY,2025619954,"Ł1,572,871",Estates,PRIME,PRIME Utilities
Department for Work and Pensions,Corporate,29-Jun-12,PAYMENTS TO CSAS,COO,DEPARTMENT FOR SOCIAL DEVELOPMENT,1005301,"Ł1,553,993",Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,Corporate,12-Jun-12,COMPUTER SERVICES,COO,HP ENTERPRISE SERVICES UK LTD,2025624506,"Ł1,430,929",Information & Communications Technology,Systems Delivery,Maintenance & Support
Department for Work and Pensions,Corporate,26-Jun-12,IS/IT,COO,ORACLE CORPORATION UK LTD,2025789338,"Ł1,426,252",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,Corporate,29-Jun-12,Accommodation Costs,COO,NORTH TYNESIDE COUNCIL,2025856617,"Ł1,264,080",Estates,Non-PRIME,Non PRIME Rates
Department for Work and Pensions,Corporate,29-Jun-12,ACCOMMODATION,COO,TELEREAL TRILLIUM,2025857000,"Ł1,228,693",Estates,PRIME,PRIME Facility Price
