Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Corporate,04/05/2010,BANK COMMISSIONS,GROUP FINANCE,HSBC BANK PLC,2015130571,"207,991.30"
Department for Work and Pensions,Corporate,04/05/2010,CAPITAL GRANTS,GROUP FINANCE,HARTLEPOOL CREDIT UNION LTD,2015130558,"56,129.00"
Department for Work and Pensions,Corporate,04/05/2010,COMPUTER SERVICES,CORPORATE IT,XEROX UK LIMITED 3W,2015131991,"1,169.26"
Department for Work and Pensions,Corporate,04/05/2010,INTERNATIONAL PROGRAMMES,WWG ,THE FULBRIGHT COMMISSION,2015131830,"50,000.00"
Department for Work and Pensions,Corporate,04/05/2010,MANAGEMENT CONSULTANCY,GROUP FINANCE,KPMG LLP,2015130862,"346,187.00"
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,21.16
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,12.05
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,79.10
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CORPORATE IT,EDEN SPRINGS UK LTD,2015130370,87.66
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CORPORATE IT,EDEN SPRINGS UK LTD,2015130370,12.05
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,Corporate and Support Services,EDEN SPRINGS UK LTD,2015130370,1.18
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CORPORATE IT,EDEN SPRINGS UK LTD,2015130370,1.18
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,71.80
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CHANGE MANAGEMENT DIRECTORATE,EDEN SPRINGS UK LTD,2015130370,12.05
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CHANGE MANAGEMENT DIRECTORATE,EDEN SPRINGS UK LTD,2015130370,24.10
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CHANGE MANAGEMENT DIRECTORATE,EDEN SPRINGS UK LTD,2015130370,1.18
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CHANGE MANAGEMENT DIRECTORATE,EDEN SPRINGS UK LTD,2015130370,15.81
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CHANGE MANAGEMENT DIRECTORATE,EDEN SPRINGS UK LTD,2015130370,43.31
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CHANGE MANAGEMENT DIRECTORATE,EDEN SPRINGS UK LTD,2015130370,12.46
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CHANGE MANAGEMENT DIRECTORATE,EDEN SPRINGS UK LTD,2015130370,20.75
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CORPORATE IT,EDEN SPRINGS UK LTD,2015130370,32.44
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CORPORATE IT,EDEN SPRINGS UK LTD,2015130370,15.81
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CORPORATE IT,EDEN SPRINGS UK LTD,2015130370,6.12
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CORPORATE IT,EDEN SPRINGS UK LTD,2015130370,19.98
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CORPORATE IT,EDEN SPRINGS UK LTD,2015130370,1.18
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CORPORATE IT,EDEN SPRINGS UK LTD,2015130370,46.07
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,CORPORATE IT,EDEN SPRINGS UK LTD,2015130370,12.05
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,Corporate and Support Services,EDEN SPRINGS UK LTD,2015130370,1.18
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,Corporate and Support Services,EDEN SPRINGS UK LTD,2015130370,36.15
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,LSPG,EDEN SPRINGS UK LTD,2015130370,25.28
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,LSPG,EDEN SPRINGS UK LTD,2015130370,1.18
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,LSPG,EDEN SPRINGS UK LTD,2015130370,34.61
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,LSPG,EDEN SPRINGS UK LTD,2015130370,62.52
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,LSPG,EDEN SPRINGS UK LTD,2015130370,57.53
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,LSPG,EDEN SPRINGS UK LTD,2015130370,1.18
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,Corporate and Support Services,EDEN SPRINGS UK LTD,2015130370,122.56
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,Corporate and Support Services,EDEN SPRINGS UK LTD,2015130370,19.57
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,Corporate and Support Services,EDEN SPRINGS UK LTD,2015130370,83.82
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,Corporate and Support Services,EDEN SPRINGS UK LTD,2015130370,27.09
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,Corporate and Support Services,EDEN SPRINGS UK LTD,2015130370,237.95
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,Corporate and Support Services,EDEN SPRINGS UK LTD,2015130370,12.05
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,4.94
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,1.18
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,12.05
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,12.05
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,12.46
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,12.05
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,1.88
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,58.35
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,45.89
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,17.40
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,30.15
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,75.72
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,SHARED SERVICES ,EDEN SPRINGS UK LTD,2015130370,822.46
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,SHARED SERVICES ,EDEN SPRINGS UK LTD,2015130370,162.45
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,397.56
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,GROUP FINANCE,EDEN SPRINGS UK LTD,2015130370,12.46
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,WWG,EDEN SPRINGS UK LTD,2015130370,1.18
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,WWG,EDEN SPRINGS UK LTD,2015130370,1.18
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,EG,EDEN SPRINGS UK LTD,2015130370,1.18
Department for Work and Pensions,Corporate,04/05/2010,MISCELLANEOUS EXPENDITURE,EG,INSTITUTE FOR EMPLOYMENT STUDIES,2015130604,"111,430.00"
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,GROUP FINANCE,RICOH UK LTD,2015131504,338.33
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,CORPORATE IT,RICOH UK LTD,2015131504,138.28
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,GROUP FINANCE,RICOH UK LTD,2015131504,263.64
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,GROUP FINANCE,RICOH UK LTD,2015131504,355.21
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,CORPORATE IT,RICOH UK LTD,2015131504,182.62
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Corporate and Support Services,RICOH UK LTD,2015131504,207.34
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Corporate and Support Services,RICOH UK LTD,2015131504,207.34
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,LSPG,RICOH UK LTD,2015131504,"1,024.24"
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,LSPG,RICOH UK LTD,2015131504,18.34
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Corporate and Support Services,RICOH UK LTD,2015131504,377.86
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Corporate and Support Services,RICOH UK LTD,2015131504,715.86
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Corporate and Support Services,RICOH UK LTD,2015131504,"1,722.62"
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Corporate and Support Services,RICOH UK LTD,2015131504,166.69
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,GROUP FINANCE,RICOH UK LTD,2015131504,223.82
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,GROUP FINANCE,RICOH UK LTD,2015131504,138.28
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,GROUP FINANCE,RICOH UK LTD,2015131504,130.21
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,GROUP FINANCE,RICOH UK LTD,2015131504,226.38
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,GROUP FINANCE,RICOH UK LTD,2015131504,151.86
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,GROUP FINANCE,RICOH UK LTD,2015131504,228.66
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,GROUP FINANCE,RICOH UK LTD,2015131504,190.04
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,GROUP FINANCE,RICOH UK LTD,2015131504,"10,487.61"
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,GROUP FINANCE,RICOH UK LTD,2015131504,"1,061.48"
Department for Work and Pensions,Corporate,04/05/2010,OFFICE MACHINERY HIRE & MAINTENANCE,GROUP FINANCE,RICOH UK LTD,2015131504,308.60
