Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,"Pension, Disability Carers Services",01/11/2010,MANAGEMENT CONSULTANCY,Pensions & Disability Carers Service ,PRICEWATERHOUSE COOPERS LLP,593772,"48,230.00"
Department for Work and Pensions,Corporate,05/11/2010,Audit Consultancy Fees,PENSIONS CLIENT DIRECTORATE,FRONTIER ECONOMICS,594360,"35,250.00"
Department for Work and Pensions,Corporate,12/11/2010,ACCOMMODATION,CORPORATE IT,CHORLEY BUSINESS & TECHNOLOGY CENTRE,594959,"39,570.00"
Department for Work and Pensions,Corporate,02/11/2010,TEMPORARY (TEMP) STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CITIZENS ADVICE,1004498,"64,437.00"
Department for Work and Pensions,Employment Programmes,02/11/2010,Grant in aid,EG EMPLOYMENT PROGRAMMES,REMPLOY LTD,1004501,"6,704,400.00"
Department for Work and Pensions,Jobcentre Plus,10/11/2010,ACCOMMODATION,Jobcentre Plus,HM LAND REGISTRY,1004507,"58,871.11"
Department for Work and Pensions,Employment Programmes,15/11/2010,Grant in aid,EG EMPLOYMENT PROGRAMMES,REMPLOY LTD,1004513,"2,000,000.00"
Department for Work and Pensions,Employment Programmes,15/11/2010,Flexible New Deal,EG EMPLOYMENT PROGRAMMES,WELSH ASSEMBLY GOVERNMENT,1004514,"157,820.34"
Department for Work and Pensions,Corporate,17/11/2010,OTHER MAJOR CONTRACTS,GROUP FINANCE,ALLIANCE & LEICESTER COMMERCIAL BANKPLC,1004532,"1,619,139.00"
Department for Work and Pensions,Corporate,17/11/2010,BANKING AND ENCASHMENT COSTS,SHARED SERVICES ,ALLIANCE & LEICESTER COMMERCIAL BANKPLC,1004532,225.00
Department for Work and Pensions,Corporate,17/11/2010,APPS DEV,EG,HP ENTERPRISE SERVICES UK LTD,1004534,"22,959.44"
Department for Work and Pensions,Corporate,19/11/2010,UNALLOCATED BUDGET GROUP,WWG ,MOTABILITY SPECIALIST VEHICLE FUNDS,1004537,"60,000.00"
Department for Work and Pensions,Jobcentre Plus,19/11/2010,ACCOMMODATION,Jobcentre Plus,COPELAND BOROUGH COUNCIL,1004538,"35,949.13"
Department for Work and Pensions,Corporate,26/11/2010,BANKING AND ENCASHMENT COSTS,GROUP FINANCE,POST OFFICE LTD,1004541,"5,700,561.11"
Department for Work and Pensions,Employment Programmes,29/11/2010,RESIDENTIAL TRAINING,EG EMPLOYMENT PROGRAMMES,ENHAM,1004542,"34,877.08"
Department for Work and Pensions,Employment Programmes,29/11/2010,RESIDENTIAL TRAINING,EG EMPLOYMENT PROGRAMMES,QUEEN ALEXANDRA COLLEGE,1004543,"140,426.66"
Department for Work and Pensions,Corporate,01/11/2010,OTHER GOODS AND SERVICES,WWG ,HM REVENUE & CUSTOMS,2002260,"708,000.87"
Department for Work and Pensions,Employment Programmes,04/11/2010,PRINCES YOUTH TRUST,EG EMPLOYMENT PROGRAMMES,DCLG,2002262,"561,675.86"
Department for Work and Pensions,Corporate,04/11/2010,PRINCES YOUTH TRUST,WWG ,OFFICE FOR NATIONAL STATISTIC,2002266,"756,666.00"
Department for Work and Pensions,Employment Programmes,09/11/2010,WORKING NEIGHBOURHOOD PILOTS,EG EMPLOYMENT PROGRAMMES,DCLG,2002271,"3,697,500.00"
Department for Work and Pensions,"Pension, Disability Carers Services",09/11/2010,ACCOMMODATION,Pensions & Disability Carers Service ,HM REVENUE & CUSTOMS,2002272,"43,053.67"
Department for Work and Pensions,"Pension, Disability Carers Services",09/11/2010,ACCOMMODATION,Pensions & Disability Carers Service ,HM REVENUE & CUSTOMS,2002272,"7,767.48"
Department for Work and Pensions,"Pension, Disability Carers Services",09/11/2010,ACCOMMODATION,Pensions & Disability Carers Service ,HM REVENUE & CUSTOMS,2002272,"4,051.73"
Department for Work and Pensions,Corporate,09/11/2010,OTHER GOODS AND SERVICES,PENSIONS CLIENT DIRECTORATE,HM Revenue & Customs,2002273,"206,761.75"
Department for Work and Pensions,Corporate,09/11/2010,OTHER GOODS AND SERVICES,WWG ,VALUATION OFFICE AGENCY,2002274,"1,420,000.00"
Department for Work and Pensions,Jobcentre Plus,10/11/2010,ACCOMMODATION,Jobcentre Plus,CROWN OFFICE,2002275,"108,096.49"
Department for Work and Pensions,Jobcentre Plus,10/11/2010,ACCOMMODATION,Jobcentre Plus,HM REVENUE & CUSTOMS,2002279,"42,268.66"
Department for Work and Pensions,"Pension, Disability Carers Services",10/11/2010,OTHER GOODS AND SERVICES,Pensions & Disability Carers Service ,HM REVENUE & CUSTOMS,2002280,"561,595.00"
Department for Work and Pensions,Jobcentre Plus,10/11/2010,ACCOMMODATION,Jobcentre Plus,HM REVENUE & CUSTOMS,2002280,"578,434.47"
Department for Work and Pensions,Jobcentre Plus,10/11/2010,ACCOMMODATION,Jobcentre Plus,HM REVENUE & CUSTOMS,2002280,"14,604.62"
Department for Work and Pensions,Corporate,11/11/2010,TOTAL SUPPLIES & SERVICES,GROUP FINANCE,HM REVENUE & CUSTOMS,2002281,"101,783.35"
Department for Work and Pensions,Jobcentre Plus,11/11/2010,ACCOMMODATION,Jobcentre Plus,HM REVENUE & CUSTOMS,2002281,"271,807.67"
Department for Work and Pensions,Corporate,19/11/2010,STAFF COSTS,Corporate and Support Services,CABINET OFFICE RM SHARED SERVICES,2002288,"61,405.38"
Department for Work and Pensions,Corporate,22/11/2010,TOTAL SUPPLIES & SERVICES,GROUP FINANCE,HM REVENUE & CUSTOMS,2002298,"99,109.18"
Department for Work and Pensions,"Pension, Disability Carers Services",30/11/2010,OTHER GOODS AND SERVICES,Pensions & Disability Carers Service ,HM REVENUE & CUSTOMS,2002308,"766,550.00"
Department for Work and Pensions,Corporate,30/11/2010,TOTAL IT & EQUIPMENT COSTS,CORPORATE IT,IMPROVEMENT & DEVELOPMENT AGENCY,2002309,"37,500.00"
Department for Work and Pensions,Corporate,04/11/2010,MISCELLANEOUS EXPENDITURE,EG,MDRC,3004110,"64,677.32"
Department for Work and Pensions,Corporate,30/11/2010,MISCELLANEOUS EXPENDITURE,EG,MDRC,3004128,"58,800.80"
Department for Work and Pensions,Employment Programmes,01/11/2010,Flexible New Deal,EG EMPLOYMENT PROGRAMMES,A4E LTD,2017835637,"23,816.00"
Department for Work and Pensions,Employment Programmes,01/11/2010,Flexible New Deal,EG EMPLOYMENT PROGRAMMES,A4E LTD,2017835637,"14,419.00"
Department for Work and Pensions,Employment Programmes,01/11/2010,Flexible New Deal,EG EMPLOYMENT PROGRAMMES,A4E LTD,2017835637,"46,644.00"
Department for Work and Pensions,Employment Programmes,01/11/2010,Flexible New Deal,EG EMPLOYMENT PROGRAMMES,A4E LTD,2017835637,"26,828.00"
Department for Work and Pensions,Employment Programmes,01/11/2010,Flexible New Deal,EG EMPLOYMENT PROGRAMMES,A4E LTD,2017835637,"8,310.00"
Department for Work and Pensions,Employment Programmes,01/11/2010,Flexible New Deal,EG EMPLOYMENT PROGRAMMES,A4E LTD,2017835637,"5,206.00"
Department for Work and Pensions,Employment Programmes,01/11/2010,Flexible New Deal,EG EMPLOYMENT PROGRAMMES,A4E LTD,2017835637,"9,688.00"
Department for Work and Pensions,Employment Programmes,01/11/2010,Flexible New Deal,EG EMPLOYMENT PROGRAMMES,A4E LTD,2017835637,"4,068.00"
Department for Work and Pensions,Corporate,01/11/2010,CAPITAL GRANTS,GROUP FINANCE,BIRMINGHAM CREDIT UNION DEVELOPMENT AGENCY LTD,2017835785,"17,871.00"
Department for Work and Pensions,Corporate,01/11/2010,EMPLOYMENT ZONES,GROUP FINANCE,BIRMINGHAM CREDIT UNION DEVELOPMENT AGENCY LTD,2017835785,"21,350.00"
Department for Work and Pensions,Employment Programmes,01/11/2010,Flexible New Deal,EG EMPLOYMENT PROGRAMMES,CALDER UK LTD,2017836031,"44,753.00"
