Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Category,Sub-Category,Micro-Category
Department for Work and Pensions,Employment Programmes,03-Oct-11,YOUNG PERSON'S GUARANTEE,COO,BIRMINGHAM CITY COUNCIL,2022697912,"Ł348,300.00",Welfare to Work,Client Facing,YOUNG PERSON'S GUARANTEE
Department for Work and Pensions,Employment Programmes,03-Oct-11,YOUNG PERSON'S GUARANTEE,COO,DUDLEY MBC,2022698243,"Ł30,300.00",Welfare to Work,Client Facing,YOUNG PERSON'S GUARANTEE
Department for Work and Pensions,Employment Programmes,03-Oct-11,YOUNG PERSON'S GUARANTEE,COO,SOLIHULL METROPOLITAN BOROUGH COUNCIL,2022698489,"Ł37,200.00",Welfare to Work,Client Facing,YOUNG PERSON'S GUARANTEE
Department for Work and Pensions,Employment Programmes,03-Oct-11,YOUNG PERSON'S GUARANTEE,COO,SURREY COUNTY COUNCIL,2022698490,"Ł40,800.00",Welfare to Work,Client Facing,YOUNG PERSON'S GUARANTEE
Department for Work and Pensions,Corporate,04-Oct-11,PRINCES YOUTH TRUST,Change PMU,BARNSLEY METROPOLITAN BOROUGH COUNCIL,1004965,"Ł62,113.00",Welfare to Work,Client Facing,PRINCES YOUTH TRUST
Department for Work and Pensions,Corporate,04-Oct-11,PRINCES YOUTH TRUST,Change PMU,ESSEX COUNTY COUNCIL,1004966,"Ł80,587.00",Welfare to Work,Client Facing,PRINCES YOUTH TRUST
Department for Work and Pensions,Corporate,04-Oct-11,PRINCES YOUTH TRUST,Change PMU,LEICESTER CITY COUNCIL,1004967,"Ł76,781.00",Welfare to Work,Client Facing,PRINCES YOUTH TRUST
Department for Work and Pensions,Corporate,04-Oct-11,PRINCES YOUTH TRUST,Change PMU,LONDON BOROUGH OF BARNET,1004968,"Ł84,437.00",Welfare to Work,Client Facing,PRINCES YOUTH TRUST
Department for Work and Pensions,Corporate,04-Oct-11,PRINCES YOUTH TRUST,Change PMU,LONDON BOROUGH OF NEWHAM,1004969,"Ł60,812.00",Welfare to Work,Client Facing,PROGRAMME RECOVERIES
Department for Work and Pensions,Corporate,04-Oct-11,PRINCES YOUTH TRUST,Change PMU,MANCHESTER CITY COUNCIL,1004970,"Ł70,000.00",MISCELLANEOUS,GENERAL PAYMENTS,PRINCES YOUTH TRUST
Department for Work and Pensions,Corporate,04-Oct-11,TEMPORARY (TEMP) STAFF COSTS,Change PMU,NORTHERN IRELAND SOCIAL SECURITY AGENCY,1004971,"Ł32,714.40",Professional Services,Professional Staff,Interim Personnel
Department for Work and Pensions,Corporate,04-Oct-11,TOTAL SUPPLIES & SERVICES,Change PMU,NORTHERN IRELAND SOCIAL SECURITY AGENCY,1004971,Ł202.08,Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,Corporate,04-Oct-11,PRINCES YOUTH TRUST,Change PMU,SURREY COUNTY COUNCIL,1004972,"Ł50,271.00",Welfare to Work,Client Facing,PRINCES YOUTH TRUST
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł3,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
