Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Corporate,21/09/2010,JCP ESF STAFF COSTS,WWG ,LONDON DEVELOPMENT AGENCY,1004425,"100,000.00"
Department for Work and Pensions,Corporate,02/09/2010,TEMPORARY (TEMP) STAFF COSTS,GROUP FINANCE,MANCHESTER CITY COUNCIL,2016966105,"36,895.59"
Department for Work and Pensions,Corporate,03/09/2010,TEMPORARY (TEMP) STAFF COSTS,DIRECTGOV ,RETHINK RECRUITMENT SOLUTIONS LTD,2016972853,"13,512.50"
Department for Work and Pensions,Corporate,03/09/2010,TEMPORARY (TEMP) STAFF COSTS,DIRECTGOV ,RETHINK RECRUITMENT SOLUTIONS LTD,2016972853,"29,343.51"
Department for Work and Pensions,Corporate,03/09/2010,TEMPORARY (TEMP) STAFF COSTS,DIRECTGOV ,RETHINK RECRUITMENT SOLUTIONS LTD,2016972853,"76,007.52"
Department for Work and Pensions,Corporate,03/09/2010,TEMPORARY (TEMP) STAFF COSTS,DIRECTGOV ,RETHINK RECRUITMENT SOLUTIONS LTD,2016972853,"66,476.69"
Department for Work and Pensions,Corporate,06/09/2010,TEMPORARY (TEMP) STAFF COSTS,WWG ,CAPITA RESOURCING LIMITED,2016975800,"2,369.56"
Department for Work and Pensions,Corporate,06/09/2010,TEMPORARY (TEMP) STAFF COSTS,WWG ,CAPITA RESOURCING LIMITED,2016975800,"2,892.62"
Department for Work and Pensions,Corporate,06/09/2010,TEMPORARY (TEMP) STAFF COSTS,WWG ,CAPITA RESOURCING LIMITED,2016975800,"1,402.36"
Department for Work and Pensions,Corporate,06/09/2010,TEMPORARY (TEMP) STAFF COSTS,GROUP FINANCE,CAPITA RESOURCING LIMITED,2016975800,"25,323.51"
Department for Work and Pensions,Corporate,06/09/2010,TEMPORARY (TEMP) STAFF COSTS,GROUP FINANCE,CAPITA RESOURCING LIMITED,2016975800,"6,104.95"
Department for Work and Pensions,Corporate,06/09/2010,TEMPORARY (TEMP) STAFF COSTS,GROUP FINANCE,CAPITA RESOURCING LIMITED,2016975800,"4,054.63"
Department for Work and Pensions,Corporate,06/09/2010,TEMPORARY (TEMP) STAFF COSTS,DIRECTGOV ,CAPITA RESOURCING LIMITED,2016975800,"23,585.19"
Department for Work and Pensions,Corporate,06/09/2010,TEMPORARY (TEMP) STAFF COSTS,CORPORATE IT,CAPITA RESOURCING LIMITED,2016975800,"2,549.75"
