Mar 2011 Over œ25k Payments Summary,,,,,,,
,,,,,,,
Department family,Entity, Date,Expense type,Expense Area,Supplier,Transaction no,Amount
DEFRA,The Environment Agency,22-Mar-11,Managed/Outsource Services,Corporate Information Systems   ,Capgemini UK Plc,2253128,"6,656,601.30"
DEFRA,The Environment Agency,29-Mar-11,Fleet Management,Head Office - Fleet Ops,Hitachi Capital Vehicle Solutions Ltd,2254391,"2,469,201.31"
DEFRA,The Environment Agency,22-Mar-11,Environmental Services,"National Monitoring, Flood Warning ",Met Office,2253296,"2,373,000.00"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Wales Water and Environment,Welsh Water,2035603,"1,736,336.78"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,Construction Work in Progress,Halcrow Group Ltd,2254372,"1,590,887.42"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,Anglian Capital,RSPB,2253865,"1,501,462.08"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,Construction Work in Progress,Morrison Construction Ltd,2252881,"1,184,784.25"
DEFRA,The Environment Agency,10-Mar-11,Construction Service Providers,Various - Construction & Flood Risk Management,Halcrow Group Ltd,2251953,"1,136,908.64"
DEFRA,The Environment Agency,22-Mar-11,Main Contractors,Construction Work in Progress,Jackson Civil Engineering Ltd,2253253,"1,131,510.35"
DEFRA,The Environment Agency,22-Mar-11,Main Contractors,Construction Work in Progress,Birse Civils Ltd,2253108,"1,123,818.91"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Construction Work in Progress,Lumsden & Carroll Construction Ltd,2253746,"986,833.59"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,"Various - Contruction, Flood Risk Management, Water Management",Atkins Ltd,2254083,"912,658.63"
DEFRA,The Environment Agency,29-Mar-11,Systems Delivery,Corporate Information Systems   ,Scisys UK Ltd,2254695,"905,569.22"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,Construction Work in Progress,Volkerstevin Ltd,2254839,"875,184.45"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Construction Work in Progress,Birse Civils Ltd,2254113,"872,792.52"
DEFRA,The Environment Agency,29-Mar-11,"Construction Service Providers, Environmental Services","Various - Construction, Flood Risk Management, Water Management",Jacobs Engineering UK Ltd,2254439,"856,202.35"
