Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction,Amount
DEFRA,The Environment Agency,05-May-11,Pathology & Environmental Materials,National Labs Service & Anglian Capital,YSI Hydrodata Ltd,2258041,"29,934.00"
DEFRA,The Environment Agency,26-May-11,Software,Corporate Information Systems,Xanalys Ltd,2259887,"43,920.00"
DEFRA,The Environment Agency,26-May-11,Building Repair & Maintenance,Head Office,Westmark Cabot Ltd,2259881,"33,904.13"
DEFRA,The Environment Agency,24-May-11,Staff Training & Development,Flood and Coastal risk Management - Graduate training scheme,West Oxfordshire District Council,2259512,"37,000.00"
DEFRA,The Environment Agency,26-May-11,Building Management,North West Regional Facilities,Warrington Borough Council,2259872,"39,388.00"
DEFRA,The Environment Agency,03-May-11,Environmental Services,North West Capital WiP,Warrington Borough Council,2257783,"30,000.00"
DEFRA,The Environment Agency,03-May-11,Main Contractors,North West & Thames Constrcution work in progress,Volkerstevin Ltd,2257781,"170,114.68"
DEFRA,The Environment Agency,24-May-11,Main Contractors,Construction work in progress,Volkerstevin Ltd,2259500,"119,811.31"
DEFRA,The Environment Agency,19-May-11,Construction Service Providers & Main Contractors,Construction work in progress,Volkerstevin Ltd,2259155,"38,636.55"
DEFRA,The Environment Agency,17-May-11,Main Contractors,North East & South East Construction work in progress,Volkerstevin Ltd,2258922,"37,450.32"
DEFRA,The Environment Agency,24-May-11,Environmental Services,South West Devon & Cornwall-Area Mgr,Veolia Water,2259498,"268,253.20"
DEFRA,The Environment Agency,03-May-11,Building Repair & Maintenance,South East Kent & South London- Tidal Defence Manager,TRS,2257775,"28,559.12"
DEFRA,The Environment Agency,03-May-11,Environmental Services,South East Capital WiP,Tilhill Forestry Ltd,2257772,"34,126.54"
DEFRA,The Environment Agency,12-May-11,Environmental Services,North East North East Area AEM North,Tees Rivers Charitable Trust,2258545,"59,000.00"
DEFRA,The Environment Agency,05-May-11,Main Contractors,Anglian & South East construction work in progress,Team Van Oord,2258013,"131,232.62"
DEFRA,The Environment Agency,26-May-11,Main Contractors,Anglian construction work in progress,Team Van Oord,2259849,"115,238.58"
DEFRA,The Environment Agency,10-May-11,Cleaning,Facilities Management,Superclean Services Wothorpe Ltd,2258288,"32,077.24"
DEFRA,The Environment Agency,17-May-11,Electricity,Electricity - Various Sites,Southern Electric,2258896,"78,564.25"
DEFRA,The Environment Agency,12-May-11,Main Contractors,North West North-FRM,South Ribble Borough Council,2258534,"26,199.69"
DEFRA,The Environment Agency,24-May-11,Specialist Contractors,Corporate Information Systems,Sopra Group Ltd,2259465,"55,590.08"
DEFRA,The Environment Agency,26-May-11,Building Management,FM Operating Unit - Central and South West,Solihull Metropolitan Borough Council,2259824,"27,285.00"
DEFRA,The Environment Agency,03-May-11,Maintenance & Support,Nat Trading and Reg Services,Siemens IT Solutions & Services Ltd,2257750,"46,486.20"
DEFRA,The Environment Agency,24-May-11,Building Management,South East Capital WiP,Shepway District Council,2259458,"30,026.62"
DEFRA,The Environment Agency,10-May-11,Environmental Services,Midlands East - Flood Risk,Severn Trent Water,2258274,"26,291.95"
DEFRA,The Environment Agency,10-May-11,Systems Delivery,Head Office Business Development & Environmental Protection,Scisys UK Ltd,2258269,"439,436.40"
DEFRA,The Environment Agency,12-May-11,Leasing ,Head Office Geomatics,RVL Survey Ltd,2258521,"37,346.83"
DEFRA,The Environment Agency,19-May-11,Specialist Contractors,Corporate Information Systems,Rullion Computer Personnel Ltd,2259124,"221,548.77"
DEFRA,The Environment Agency,17-May-11,Specialist Contractors,Corporate Information Systems,Rullion Computer Personnel Ltd,2258876,"75,635.53"
DEFRA,The Environment Agency,17-May-11,Print,Finance Service Centre,RR Donnelley Business Communication Service Ltd,2258875,"28,186.15"
DEFRA,The Environment Agency,19-May-11,Environmental Services,North East North East Area AEM North,River Catchment Services Ltd,2259117,"51,000.00"
DEFRA,The Environment Agency,26-May-11,Operational Services,South East - Lock staff recruitment campaign,Reed Specialist Recruitment,2259789,"38,985.86"
DEFRA,The Environment Agency,10-May-11,Rail,Rail Travel,Redfern Travel Ltd,2258250,"196,325.43"
DEFRA,The Environment Agency,12-May-11,Rail,Rail Travel,Redfern Travel Ltd,2258510,"117,575.59"
DEFRA,The Environment Agency,17-May-11,Main Contractors,North West Capital WiP,Qualter Hall & Co Ltd,2258862,"36,436.63"
DEFRA,The Environment Agency,12-May-11,Business Process Outsourcing Services,Head Office Head of Fisheries,Post Office Ltd,2258503,"81,008.37"
DEFRA,The Environment Agency,17-May-11,Business Process Outsourcing Services,National Enforcement Service,Post Office Ltd,2258855,"25,182.07"
DEFRA,The Environment Agency,12-May-11,Post & Courier,National Labs Services,Post Office Ltd,965240,"26,485.50"
DEFRA,The Environment Agency,26-May-11,"Marine, Coastal & Inland Waterways Services",South East Kent & South London- Tidal Defence Manager,Port Of London Authority,2259782,"84,756.66"
DEFRA,The Environment Agency,24-May-11,Main Contractors,South East Construction Work in progress,Pevensey Coastal Defence Ltd,2259418,"224,072.44"
DEFRA,The Environment Agency,26-May-11,Building Management,Facilities Management & Head Office,Peterborough City Council,2259777,"28,505.00"
DEFRA,The Environment Agency,17-May-11,"Main Contractors & Marine, Coastal & Inland Waterways",Anglian - Various,P & R Plant Lincolnshire Ltd,2258839,"71,169.00"
