Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Contract Number,Project Code,Expenditure Type
Defra,Environment Agency,14/07/2011,Systems Delivery | Managed/Outsource Services | Telecoms | Hardware | IT/IS Consultancy | Software,"CIS Capital WiP | Research, Monitoring and Innovation | Head Office Capital WiP | Head Office 1B1S Service Centre Team | CIS SD Management MRA | CIS ITXpress Business | Head Office Met Office Joint Venture Manager | CIS Solutions Delivery Management",Capgemini UK Plc,979576,"6,322,889.46",Cap Gemini Service Charge and Work Order Payments for June 11,GU21 6DB,30259319 | 30304723 | 30259316 | 30282611,CIS330352 | SC00TECH | IMNE430009 |  | CIS111923 |  |  |  | HOOP000105 |  |  | CIS330893 | CIS330772 |  |  | CIS330867 | ,Project/Administration
Defra,Environment Agency,19/07/2011,Main Contractors,Anglian Capital WiP,Birse Civils Ltd,980291,"3,402,707.04",933871 C2552 - Lincshore Beach Refurbishment P/E 30th June 2011,DN18 5BW,30142670,IMAN001844,Project 
Defra,Environment Agency,26/07/2011,Main Contractors,North East Capital WiP,Birse Civils Ltd,982051,"1,025,660.03",935621 REDCAR FLOOD SCHEME APP 6,DN18 5BW,30142670,IMNE000524,Project 
Defra,Environment Agency,26/07/2011,Main Contractors,Thames Capital WiP,Galliford Try Infrastructure Ltd,982296,"974,380.44",935866 Banbury Flood Alleviation Scheme  IMTH 000615.,LE10 3JF,30142734,IMTH000615,Project 
Defra,Environment Agency,19/07/2011,Leasing,Fleet Ops,Hitachi Capital Vehicle Solutions Ltd,979596,"954,517.97",Supply of lease cars June 11,RG14 2NU,30000281,,Administration
Defra,Environment Agency,07/07/2011,Main Contractors,Midlands Capital WiP,Jackson Civil Engineering Ltd,971933,"647,563.11",Nottingham Leftbank FAS ,IP1 5LT,30142731,IMMI000642,Project 
Defra,Environment Agency,05/07/2011,Environmental Services,Midlands West-AEM - 1,Severn Trent Water,975109,"596,437.20",Clywedog service charge and maintenance costs | Clywedog / Vyrnwy service level and maintenace charge,B3 1SE,,,Administration
Defra,Environment Agency,26/07/2011,Main Contractors,North East Capital WiP,Interserve Project Services Ltd,981828,"564,130.34",935398 - Ripon FAS (Construction) IMNE000541,TQ14 0HP,30142730,IMNE000541,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,Bristol City Council,980928,"558,570.00",934057 Rates for Horizon House 2011-12,BS1 5TR,,,Administration
Defra,Environment Agency,19/07/2011,Main Contractors,EA Wales Capital WiP,Birse Civils Ltd,981226,"473,188.10",934805 - Newport FAS - Payment for work carried out for period ending 30.06.11,LS24 9BX,40015267,IMWA000754,Project 
Defra,Environment Agency,26/07/2011,Main Contractors,Thames Capital WiP,Galliford Try Infrastructure Ltd,981910,"383,579.66",935480. GLR Tidal Walls,LE10 3JF,30142734,IM3728,Project 
Defra,Environment Agency,26/07/2011,Main Contractors,North West Capital WiP,Volkerstevin Ltd,982624,"369,087.28",936191 high impact programme,EN11 9BX,30142737,IMNW000840,Project 
Defra,Environment Agency,21/07/2011,Main Contractors,Midlands Capital WiP,Birse Civils Ltd,981425,"314,732.30",935004 APPLICATION 8 BURRINGHAM,DN18 5BW,30142670,IMMI001190,Project 
