EA >£25k Sept 11 Payments report FINAL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Department ,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type,,,,,
Defra,EA,20-Sep-11,Systems Delivery | Managed/Outsource Services | Software | Telecoms | Hardware,CIS Capital WiP | CI SD Management MRA | HO 1B1S Service Centre Team | HO Capital WiP | Incident Management Manager | NE Regional Monitoring Manager | CI Solutions Delivery Management | National Accomodation Change Fund,Capgemini UK Plc,998519,"7,069,620.98",Cap Gemini Service Charge and Work Order Payments for Aug 11,GU21 6DB,,30259319 | 30259316 | 30295016 | 30304723 | 30282611,CIS330352 | CIS330598 |  | FCPAM00005L01 | CIS111923 | FCPIM00020B02 |  |  |  | EBCRI11502L01 |  | HORES00053 |  |  | FCPMM00050L03 |  |  |  |  |  |  |  |  |  |  | BBPDM20000L08 |  |  |  | ,Administration/Project,,,,,
Defra,EA,20-Sep-11,Leasing,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,996621,"1,931,934.52",Lease cars Aug 11,RG14 2NU,,30000281,,Administration,,10,11,,9
Defra,EA,27-Sep-11,Main Contractors,TH Capital WiP,Galliford Try Infrastructure Ltd,999712,"1,260,541.62",953202 Banbury flood alleviation Scheme,LE10 3JF,,30142734,IMTH000615,Project,,,,,
Defra,EA,27-Sep-11,Main Contractors,NE Capital WiP,Birse Civils Ltd,999640,"964,164.98",953130 C2622-ECC Construction Services  Redcar flood alleviation scheme,DN18 5BW,,30142670,IMNE000524,Project,,,,,
Defra,EA,27-Sep-11,Business Process Outsourcing Services,National Enforcement Service,Post Office Ltd,999745,"717,746.47",953235. Rod licences sales Apr 11,PE4 5PG,,,,Administration,,,,,
Defra,EA,01-Sep-11,Main Contractors,SE Capital WiP,Birse Civils Ltd,992686,"600,000.00",946208 - High Knocke to Dymchurch Sea Defences,DN18 5BW,,30142670,IMSO000825,Project,,,,,
Defra,EA,13-Sep-11,Main Contractors,NE Capital WiP,Interserve Construction Ltd,996312,"583,025.86",949822 - Ripon FAS ,TQ14 0HP,,30142730,IMNE000541,Project,,,,,
Defra,EA,27-Sep-11,Environmental Services,NE North East Area Manager,Northumbrian Water,999395,"574,536.00",952887. Cow Green Quarters 1 and 2,DH1 9WF,,,,Administration,,,,,
Defra,EA,13-Sep-11,Main Contractors,NE Capital WiP,Interserve Construction Ltd,996316,"561,587.16",949826 - Ripon FAS ,TQ14 0HP,,30142730,IMNE000541,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,Bristol City Council,980928,"558,570.00",934057 Rates for Horizon House 2011-12,BS1 5TR,,,,Administration,,,,,
Defra,EA,27-Sep-11,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,999687,"501,031.22",953177. Nottingham Leftbank FAS - Rylands,IP1 5LT,,30142731,IMMI000642,Project,,,,,
Defra,EA,01-Sep-11,Main Contractors,WA Capital WiP,Birse Civils Ltd,992444,"460,225.09",945966: Newport FAS - work carried out for period ending 31st July 2011.,DN18 5BW,,40015267,IMWA000754,Project,,,,,
Defra,EA,13-Sep-11,Main Contractors,SW Capital WiP,Interserve Construction Ltd,995429,"414,943.04",948939. River Jordan FAS,TQ14 0HP,,30142730,IMSW001684,Project,,,,,
Defra,EA,08-Sep-11,Engineering Services,HO Fleet Operations,Fraikin Ltd,994378,"413,524.79",947895 SIMAR Plant Maints costs for English areas in Jul'11,CV4 8HX,,30207502,,Administration,,,,,
Defra,EA,20-Sep-11,Leasing,HO Fleet Operations,Hewden Stuart Plc,997285,"403,894.25",950779. Consolidated charges forplant hire 08/2011,M32 0HW,,30184689,,Administration,,,,,
Defra,EA,20-Sep-11,Main Contractors,WA Capital WiP,Birse Civils Ltd,998266,"400,875.48",951759 : Newport FAS - work carried out for period ending 31st August 2011.,DN18 5BW,,40015267,IMWA000754,Project,,,,,
Defra,EA,27-Sep-11,Main Contractors,NE Capital WiP,Birse Civils Ltd,999435,"393,416.22",952927 C2574-Brough Flood Defence Scheme,DN18 5BW,,30142670,IMNE000735,Project,,,,,
Defra,EA,01-Sep-11,Main Contractors,SE Capital WiP | TH Capital WiP,Interserve Project Services Ltd,989731,"362,624.26",943268. Barking and Dagenham MEICA 1,TQ14 0HP,,30142730,IMTH000632,Project,,,,,
Defra,EA,13-Sep-11,Environmental Services,Strategic Environmental Planning,Sniffer,995480,"360,000.00",948990 Annual transfer of funds to Scotland & Northern Ireland Forum for Environmental Research (SNIFFER),EH1 3AA,,,HOEV101114,Administration,,,,,
Defra,EA,27-Sep-11,Main Contractors,NW Capital WiP,Volkerstevin Ltd,999708,"348,710.33",953198 Keswick flood alleviation scheme cert No 7,EN11 9BX,,30142737,IMNW000686,Project,,,,,
Defra,EA,20-Sep-11,Main Contractors,SE Capital WiP,Jackson Civil Engineering Ltd,998042,"329,933.20",951535 Romney WeirWindsor,IP1 5LT,,30142731,IMSE500007,Project,,,,,
Defra,EA,08-Sep-11,Fuels,HO Fleet Operations,Arval Phh,993713,"327,737.04",947230 - various charges commercial fleet fuel,SN5 6PQ,,30015330,,Project,,,,,
Defra,EA,01-Sep-11,Main Contractors,MI Capital WiP,Birse Civils Ltd,992427,"309,932.90",945949. Prestbury Flood Aleviation Scheme,DN18 5BW,,30142670,IMMI000973,Project,,,,,
Defra,EA,15-Sep-11,Main Contractors,NE Capital WiP,Galliford Try Infrastructure Ltd,996729,"295,267.18",950226 Ings Beck FAS-reach AB and NO  Fenton and Wrenthorpe Dams,LE10 3JF,,30142734,IMNE000646,Project,,,,,
Defra,EA,27-Sep-11,Rail,Head Office,Redfern Travel Ltd,999366,"275,140.46",Rail tickets,BD1 1PL,,30127631,,Administration,,,,,
Defra,EA,08-Sep-11,Waste Management Services,NW Nuclear Regulation Mgr,AMEC Nuclear UK Ltd,993899,"263,996.09",947416. Waste quality checking services FY 10/11,WA16 8QZ,,30001263,HOOP000055,Project,,,,,
Defra,EA,27-Sep-11,Main Contractors,NE Capital WiP,Interserve Construction Ltd,999137,"257,569.79",952629 Ripon FAS (Construction) ,TQ14 0HP,,30142730,IMNE000541,Project,,,,,
Defra,EA,27-Sep-11,Main Contractors,SE Capital WiP,Team Van Oord,999608,"256,031.96",953098  SE Thames Waterways Package for Staines & Shepperton,RG14 5QS,,30142735,IMTH001556,Project,,,,,
Defra,EA,27-Sep-11,Main Contractors,NW Capital WiP,Galliford Try Infrastructure Ltd,999273,"252,539.08",952765 Wigan flood alleviation scheme ,LE10 3JF,,30142734,IMNW000674,Project,,,,,
Defra,EA,13-Sep-11,Main Contractors,SE Capital WiP,Jackson Civil Engineering Ltd,993677,"239,120.39",947194 Paddle & Rymer Weirs Health and safety package,IP1 5LT,,30142731,IMTH001503,Project,,,,,
Defra,EA,27-Sep-11,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,999683,"228,799.99",953173. Nottingham Leftbank FAS - Attenborough Upstream and Downstream,IP1 5LT,,30142731,IMMI000642,Project,,,,,
Defra,EA,22-Sep-11,Main Contractors,NW Capital WiP,Volkerstevin Ltd,990789,"225,813.56",Cleator Moor culvert refurb,EN11 9BX,,30142737,IMNW000840,Project,,,,,
Defra,EA,27-Sep-11,Environmental Services,HO Flood Warning Systems,Met Office,999841,"211,326.00",953331 Nation weather radar 01/07 - 30/09/11,EX1 3PB,,,,Administration,,,,,
Defra,EA,13-Sep-11,Maintenance & Support,CI SD Management MRA,CDC Climat,995344,"207,514.94",948854 ETSWAP Support costs,,,,,Administration,,,,,
Defra,EA,13-Sep-11,Main Contractors | Environmental Services,AN Capital WiP,Broadland Environmental Services Ltd,995697,"200,983.98",To cover Broadland Flood Alleviation Project PFI costs,GU15 3XW,,30014973,IMAN000753,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Peterborough City Council,949596,"200,262.50",903305 Rates - King Fisher House,PE1 1AY,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,NW Regional Facilities,Warrington Borough Council,949513,"199,724.32",903222 REQ 10358579 Rates - Richard Fairclough House,WA1 1BN,,,,Administration,,,,,
Defra,EA,08-Sep-11,Main Contractors,MI Capital WiP,Birch Brothers Kidderminster Ltd,993827,"198,219.41",947344. Broom Flood Aleviation Scheme,DY13 9QB,,30224314,IMMI000954,Project,,,,,
Defra,EA,13-Sep-11,Staff Childcare,HR Strategy,Edenred Childcare Vouchers Ltd,996067,"194,989.12",Recharges to Staff,SW1V 2RS,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,NW Regional Facilities,Warrington Borough Council,949521,"194,164.62",903230 Rates - Appleton Hse.,WA1 1BN,,,,Administration,,,,,
Defra,EA,22-Sep-11,Vehicle Maintenance,HO Fleet Operations,Briggs Marine Contractors Ltd,998372,"194,008.84",SIMAR Boat Maintenance,KY3 9AX,,30277423,HORES00015,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,Exeter City Council,949485,"191,602.50",903194 Rates - Manley Hse,EX1 1JW,,,,Administration,,,,,
Defra,EA,22-Sep-11,Main Contractors,SE Capital WiP,Volkerstevin Ltd,998402,"187,853.42",951894 Thames barrier TBAG Gate Arm Synchronisation Trial.,EN11 9BX,,30142737,IMTH001493,Project,,,,,
Defra,EA,08-Sep-11,Rail,Head Office,Redfern Travel Ltd,994170,"187,521.91",Rail tickets,BD1 1PL,,30127631,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,National Estates Manager,Leeds City Council,945474,"186,190.00",899204 Rates - Phoenix Hse,LS2 8JR,,,,Administration,,,,,
Defra,EA,15-Sep-11,Building Management,FM Operating Unit - Central and South East,Jones Lang LaSalle,996253,"185,850.00",949763 rent from 29/09 - 24/12/11 for Swift House,ST5 1EH,,,,Administration,,,,,
Defra,EA,15-Sep-11,Leasing,EA Wales,Hitachi Capital Vehicle Solutions Ltd,997181,"184,931.30",950675  Period Rentals Lease Cars,RG14 2NU,,40000314,,Administration,,,,,
Defra,EA,08-Sep-11,Environmental Services,"Research, Monitoring and Innovation",Met Office,993614,"182,400.00",947131 work undertaken on rainfall from 01/04 - 30/09,EX1 3PB,,30284704,,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Welwyn Hatfield Council,946213,"181,835.28",899940 Rates - Hatfield,AL8 6AE,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,National Estates Manager,City Of Newcastle,949607,"180,777.50",903316 Rates - Tyneside hse,NE99 2PT,,,,Administration,,,,,
Defra,EA,01-Sep-11,Building Management,FM Operating Unit - Northern,DTZ Debenham Tie Leung,992833,"178,500.00",946355 Pheonix House Rent Quarterly 29/09/11 - 24/12/2011,B3 2ED,,,,Project,,,,,
Defra,EA,08-Sep-11,Building Management,FM Operating Unit - Central and South East,Arlington Business Parks Partnerships,993883,"175,200.00",947400.  Rent - Apollo Court -  29.09.11 to 24.11.12,RG7 4SA,,,,Project,,,,,
Defra,EA,27-Sep-11,Business Process Outsourcing Services,National Enforcement Service,Post Office Ltd,999747,"172,690.58",953237. Rod licences sales Jun 11,PE4 5PG,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,National Estates Manager,Sheffield City Council,949612,"168,870.00",903321 Rates - Quadrant,S1 1UY,,,,Administration,,,,,
Defra,EA,13-Sep-11,Building Management,FM Operating Unit - Central and South West,Jones Lang LaSalle,995395,"167,247.00",948905 commercial rent & service charges in advance for Sapphire court.,E14 5WQ,,,,Administration,,,,,
Defra,EA,01-Sep-11,Main Contractors,NW Capital WiP,Galliford Try Infrastructure Ltd,991145,"166,786.85",944672 Wigan flood alleviation scheme,LE10 3JF,,30142734,IMNW000674,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,South Oxford District Council,956723,"162,631.30",910380 Rayes Red Kite House,OX10 8NE,,,,Administration,,,,,
Defra,EA,27-Sep-11,Business Process Outsourcing Services,National Enforcement Service,Post Office Ltd,999748,"161,255.98",953238. Rod licences sales Jul 11,PE4 5PG,,,,Administration,,,,,
Defra,EA,27-Sep-11,Business Process Outsourcing Services,National Enforcement Service,Post Office Ltd,999746,"161,243.74",953236. Rod licences sales May 11,PE4 5PG,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Rushmoor Borough Council,945510,"159,386.48",899240 Rates - Frimley,GU14 7JU,,,,Administration,,,,,
Defra,EA,01-Sep-11,Main Contractors,MI Capital WiP,Birse Civils Ltd,992446,"158,025.77",Prestbury Flood Aleviation Scheme,DN18 5BW,,30142670,IMMI000973,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,Solihull Metropolitan Borough Council,945496,"153,774.28",899226 Rates - Sapphire East,B91 3RR,,,,Administration,,,,,
Defra,EA,27-Sep-11,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,999235,"150,614.00",952727 Powick Flood Aleviation Scheme contract No 3169,IP1 5LT,,30142731,IMMI000948,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Worthing Borough Council,945538,"149,162.02",899268 Rates - Worthing,BN11 1HB,,,,Administration,,,,,
Defra,EA,22-Sep-11,Vehicle Maintenance,HO Fleet Operations,Hitachi Capital Commercial Vehicle Services,998296,"146,835.30",951789. Monthly recharge for lease cars,BA14 8QU,,30182247,,Administration,,,,,
