EA >£25k Nov 11 Payments report FINAL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Department ,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type
Defra,EA,22-Nov-11,Systems Delivery | Managed/Outsource Services | Software | Telecoms | Hardware,CIS Capital WiP | CI SD Management MRA | CI Infrastructure Change Programme MRA | HO Capital WiP | CI Solutions Delivery Management | National Accomodation Change Fund | CI ITXpress Business,Capgemini UK Plc,1015425,"£5,351,824.43",IT Service Procurement outsource contract and work order costs for Oct 11,GU21 6DB,,30259319 | 30259316 | 30295016 | 30304723 | 30282611,CIS330352 | CIS111923 | CIS3306199 |  |  | FCPIM00033L01 | BBPDM20000L26 |  | CIS330899 | HORES00091 | FCPMM00050L03 | BBPDM20000L08 |  | EBCRI11502L01 | FCPAM00005L01 |  |  | HORES00104 |  |  |  |  | ,Administration/Project
Defra,EA,17-Nov-11,Environmental Services | Main Contractors,AN Capital WiP,Broadland Environmental Services Ltd,1014037,"£4,748,268.77",Broadland Flood Alleviation Project - Maintenance of inherited and improved service,GU15 3XW,,30014973,IMAN000753,Projects
Defra,EA,22-Nov-11,Main Contractors,NE Capital WiP,Birse Civils Ltd,1015288,"£1,229,825.64",Redcar Flood Alleviation Scheme,DN18 5BW,,30142670,IMNE000524,Projects
Defra,EA,24-Nov-11,Main Contractors,SE Capital WiP | TH Capital WiP,Galliford Try Infrastructure Ltd,1016062,"£1,174,111.72",Banbury Flood Alleviation Scheme,LE10 3JF,,30142734,IMTH000615,Projects
Defra,EA,01-Nov-11,Main Contractors,NE Capital WiP,Birse Civils Ltd,1008429,"£1,074,581.56",Redcar Flood Alleviation Scheme,DN18 5BW,,30142670,IMNE000524,Projects
Defra,EA,24-Nov-11,Building Management,FM Operating Unit - Central and South West,Bristol City Council,980928,"£558,570.00",Rates for Horizon House ,BS1 5TR,,,,Administration
Defra,EA,22-Nov-11,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,1013934,"£556,618.34",Req: 10379511 Nottingham Leftbank Flood Alleviation Scheme - Rylands ,IP1 5LT,,30142731,IMMI000642,Projects
Defra,EA,10-Nov-11,Construction Supplies,MI Capital WiP,ArcelorMittal Commercial RPS UK Ltd,1012026,"£517,527.76",Nottingham Left bank - Sheet piles for Attenborough ,B91 3AL,,30072323,IMMI000642,Projects
Defra,EA,17-Nov-11,Main Contractors,SE Capital WiP,Team Van Oord,1014902,"£468,282.38",Pevensey coastal outfalls assessment 2,RG14 5QS,,30142735,IMSO000737,Projects
Defra,EA,22-Nov-11,Leasing,HO Fleet Operations,Hewden Stuart Plc,1014753,"£450,767.33",Consolidated charges for Plant Hire,M32 0HW,,30184689,,Administration
Defra,EA,15-Nov-11,Main Contractors,SE West Thames - AEM East,Land & Water Services Ltd,1012645,"£443,807.44",Fobney island Habitat,GU5 9AF,,30203257,RESE000111,Projects
Defra,EA,17-Nov-11,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,1013931,"£438,295.09",Nottingham Leftbank Flood Alleviation Scheme Attenborough Works,IP1 5LT,,30142731,IMMI000642,Projects
Defra,EA,15-Nov-11,Main Contractors,NW Capital WiP,Volkerstevin Ltd,1013159,"£432,104.20",Keswick flood Alleviation Scheme,EN11 9BX,,30142737,IMNW000686,Projects
Defra,EA,24-Nov-11,Main Contractors,WA Capital WiP,Birse Civils Ltd,1017650,"£424,921.84",Newport Flood Alleviation Scheme,LS24 9BX,,40015267,IMWA000754,Projects
Defra,EA,10-Nov-11,Engineering Services,HO Fleet Operations,Fraikin Ltd,1012447,"£424,302.65",Plant Maintenance costs for September 2011,CV4 8HX,,30207502,,Administration
Defra,EA,08-Nov-11,Main Contractors,WA Capital WiP,Dyer & Butler Ltd,1012473,"£402,160.69",Minor works Brofinscin remedial works ,SA1 2NX,,40018495,IMWA001145,Projects
Defra,EA,03-Nov-11,Main Contractors,NE Capital WiP,Interserve Construction Ltd,1009799,"£368,333.59",Neasham Reservoir decommission.,TQ14 0HP,,30142730,IMNE000893,Projects
Defra,EA,10-Nov-11,Fuels,HO Fleet Operations,Arval Phh,1011569,"£355,755.22",Fuel Invoice,SN5 6PQ,,30015330,,Administration
Defra,EA,08-Nov-11,Construction Supplies,SE Capital WiP,Westminster Dredging Co Ltd,1010120,"£347,724.00",Bulverhythe Beach replenishment,PO15 5SS,,30170435,IMSO000698,Projects
Defra,EA,24-Nov-11,Main Contractors,MI Capital WiP,Galliford Try Infrastructure Ltd,1016061,"£319,639.02",Upton Upon Severn Flood Alleviation Scheme,LE10 3JF,,30142734,IMMI000870,Projects
Defra,EA,24-Nov-11,Construction Service Providers | Main Contractors,NE Capital WiP,Volkerstevin Ltd,1016660,"£318,393.98",Todmorden Flood Alleviation Scheme,EN11 9BX,,30142737,IMNE000616,Projects
Defra,EA,24-Nov-11,Main Contractors,NE Capital WiP,Interserve Construction Ltd,1009932,"£290,257.48",Ripon Flood Alleviation Schemen,TQ14 0HP,,30142730,IMNE000541,Projects
Defra,EA,15-Nov-11,Main Contractors,SE Capital WiP,Team Van Oord,1008946,"£285,047.27",Pevensey Coastal Outfalls,RG14 5QS,,30142735,IMSO000737,Projects
Defra,EA,22-Nov-11,Main Contractors,MI Capital WiP,Galliford Try Infrastructure Ltd,1015680,"£273,900.01",Kempsey Flood Alleviation Scheme,LE10 3JF,,30142734,IMMI001039,Projects
Defra,EA,22-Nov-11,Main Contractors,TH Capital WiP,Volkerstevin Ltd,1006683,"£258,203.47",Thames Barrier Perimeter Security,EN11 9BX,,30142737,IMTH001544,Projects
Defra,EA,10-Nov-11,Main Contractors,AN Capital WiP,Jackson Civil Engineering Ltd,1011269,"£250,613.16",Wherstead Road Ipswich Flood Alleviation Scheme,IP1 5LT,,30142731,IMAN001216,Projects
Defra,EA,10-Nov-11,Main Contractors,AN Capital WiP,Birse Civils Ltd,1012509,"£231,835.13",Reconditioning Local Levy Water Resources and Other Works Programme,DN18 5BW,,30142670,IMAN002370,Projects
Defra,EA,22-Nov-11,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,1015442,"£220,106.15",Attenborough Reed Beds ,IP1 5LT,,30142731,IMMI000642,Projects
Defra,EA,03-Nov-11,Vehicle Maintenance,HO Fleet Operations,Hitachi Capital Commercial Vehicle Services,1009829,"£218,279.88",Commercial Vehicle Maintenance ,BA14 8QU,,30182247,,Administration
Defra,EA,01-Nov-11,Main Contractors,NW Capital WiP,Bedford Pumps Ltd,1008776,"£211,672.32",Replacement of Storm pumps - Altmouth,MK42 7UH,,30256932,IMNW000671,Projects
Defra,EA,01-Nov-11,Main Contractors,SW Capital WiP,Interserve Construction Ltd,1008426,"£210,428.93",River Jordan Flood Alleviation Scheme,TQ14 0HP,,30142730,IMSW001684,Projects
Defra,EA,10-Nov-11,Staff Childcare,HR Strategy,Edenred Childcare Vouchers Ltd,1013693,"£202,916.86",Childcare Voucher Scheme - recharged to staff through payroll,SW1V 2RS,,,,Administration
Defra,EA,24-Nov-11,Building Management,NW Regional Facilities,Warrington Borough Council,949513,"£199,724.32",Rates - Richard Fairclough House,WA1 1BN,,,,Administration
Defra,EA,01-Nov-11,Main Contractors,SE Capital WiP | TH Capital WiP,Galliford Try Infrastructure Ltd,1007353,"£199,289.46",GLR Tidal Walls Package,LE10 3JF,,30142734,IM3728,Projects
Defra,EA,10-Nov-11,Vehicle Maintenance,HO Fleet Operations,Briggs Marine Contractors Ltd,1011017,"£198,202.24",Boat Maintenance,KY3 9AX,,30277423,HORES00015,Administration
Defra,EA,24-Nov-11,Building Management,NW Regional Facilities,Warrington Borough Council,949521,"£194,164.62",Rates - Appleton House,WA1 1BN,,,,Administration
Defra,EA,17-Nov-11,Vehicle Maintenance,HO Fleet Operations,Hitachi Capital Commercial Vehicle Services,1014090,"£192,648.45",Commercial Vehicle Maintenance ,BA14 8QU,,30182247,,Administration
Defra,EA,24-Nov-11,Building Management,FM Operating Unit - Central and South West,Exeter City Council,949485,"£191,602.50",Rates - Manley House,EX1 1JW,,,,Administration
Defra,EA,08-Nov-11,Main Contractors,NW Capital WiP,Galliford Try Infrastructure Ltd,1010862,"£188,103.34",Wigan Flood Alleviation Scheme Phase 2 - Main works.,LE10 3JF,,30142734,IMNW000674,Projects
Defra,EA,01-Nov-11,Main Contractors,AN Capital WiP,Interserve Construction Ltd,1009221,"£187,141.76",Contract UX85468 Minsmere flood risk managment.,TQ14 0HP,,30142730,IMAN001506,Projects
Defra,EA,24-Nov-11,Building Management,National Estates Manager,Leeds City Council,945474,"£186,190.00",Rates - Phoenix Hse,LS2 8JR,,,,Administration
Defra,EA,24-Nov-11,Building Management,FM Operating Unit - Central and South East,Welwyn Hatfield Council,946213,"£181,835.28",Rates - Hatfield,AL8 6AE,,,,Administration
Defra,EA,24-Nov-11,Building Management,National Estates Manager,City Of Newcastle,949607,"£180,777.50",Rates - Tyneside hse,NE99 2PT,,,,Administration
Defra,EA,17-Nov-11,Main Contractors,SE Capital WiP,Westminster Dredging  Dean & Dyball JV,1014008,"£169,974.42",Selsmore Seawall Maintenance,PO15 5SS,,30142738,IMSO001261,Projects
