Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Home Office,SIA - Security Industry Authority,04/02/2011,Syntegra,Licensing,BT Syntegra,CSYN01,"421,674.17"
Home Office,SIA - Security Industry Authority,09/02/2011,Legal Costs,Licensing,Kingsley Napley,CKIN02,"57,091.89"
Home Office,SIA - Security Industry Authority,02/02/2011,CRB Costs,Licensing,CRB,CCRB01,"153,145.00"
Home Office,CRB - Criminal Records Bureau,28/02/2011,Public Private Partnership contract / agreement,CRB - Criminal Records Bureau,Capita Business Services Ltd,15690  43,"15,848,163.01"
Home Office,CRB - Criminal Records Bureau,25/02/2011,Police costs per check,CRB - Criminal Records Bureau,Lincolnshire Police Authority,15651  10,"38,446.51"
Home Office,CRB - Criminal Records Bureau,25/02/2011,Police costs per check,CRB - Criminal Records Bureau,LEICESTERSHIRE POLICE AUTHORITY (G),15651   9,"104,240.85"
Home Office,CRB - Criminal Records Bureau,25/02/2011,Police costs per check,CRB - Criminal Records Bureau,Hampshire Police Authority,15651   7,"68,174.64"
Home Office,CRB - Criminal Records Bureau,25/02/2011,Police costs per check,CRB - Criminal Records Bureau,Greater Manchester Police Authority,15651   5,"93,343.12"
Home Office,CRB - Criminal Records Bureau,25/02/2011,Police costs per check,CRB - Criminal Records Bureau,Derbyshire Police Authority,15651   3,"144,988.48"
Home Office,CRB - Criminal Records Bureau,25/02/2011,Police costs per check,CRB - Criminal Records Bureau,Cleveland Police Authority,15651   2,"50,424.62"
Home Office,CRB - Criminal Records Bureau,25/02/2011,Police costs per check,CRB - Criminal Records Bureau,North Wales Police,15651   11,"37,478.83"
Home Office,CRB - Criminal Records Bureau,18/02/2011,Police costs per check,CRB - Criminal Records Bureau,Cheshire Police Authority,15629   5,"55,637.27"
Home Office,CRB - Criminal Records Bureau,18/02/2011,Police costs per check,CRB - Criminal Records Bureau,Wiltshire Police Authority,15629   35,"70,750.08"
Home Office,CRB - Criminal Records Bureau,18/02/2011,Police costs per check,CRB - Criminal Records Bureau,Thames Valley Police Authority,15629   32,"300,293.01"
Home Office,CRB - Criminal Records Bureau,18/02/2011,Police costs per check,CRB - Criminal Records Bureau,Sussex Police Authority,15629   31,"33,329.76"
Home Office,CRB - Criminal Records Bureau,18/02/2011,Police costs per check,CRB - Criminal Records Bureau,Surrey Police Authority,15629   30,"41,268.51"
Home Office,CRB - Criminal Records Bureau,18/02/2011,Police costs per check,CRB - Criminal Records Bureau,Cambridgeshire Police Auth,15629   3,"117,778.60"
Home Office,CRB - Criminal Records Bureau,18/02/2011,Police costs per check,CRB - Criminal Records Bureau,Suffolk Police Authority,15629   29,"53,080.24"
Home Office,CRB - Criminal Records Bureau,18/02/2011,Police costs per check,CRB - Criminal Records Bureau,Staffordshire Police Authority,15629   28,"34,755.35"
Home Office,CRB - Criminal Records Bureau,18/02/2011,Police costs per check,CRB - Criminal Records Bureau,South Yorkshire Police Authority,15629   27,"37,053.98"
Home Office,CRB - Criminal Records Bureau,18/02/2011,Police costs per check,CRB - Criminal Records Bureau,South Wales Police Authority,15629   26,"59,996.68"
Home Office,CRB - Criminal Records Bureau,18/02/2011,Police costs per check,CRB - Criminal Records Bureau,Avon & Somerset Police,15629   25,"66,098.44"
Home Office,CRB - Criminal Records Bureau,18/02/2011,Police costs per check,CRB - Criminal Records Bureau,Disclosure Scotland,15629   24,"27,248.53"
Home Office,CRB - Criminal Records Bureau,18/02/2011,Police costs per check,CRB - Criminal Records Bureau,North Yorkshire Police Authority,15629   23,"46,347.15"
Home Office,CRB - Criminal Records Bureau,18/02/2011,Police costs per check,CRB - Criminal Records Bureau,Northumbria Police,15629   21,"41,681.40"
