Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office,Home Office,28/02/2012,"Public Order, Security, Safety.Protect Sec Arrangements-PROG",CPG - Crime & Policing Group,ATOMIC WEAPONS ESTABLISHMENT (AWE) PLC,1001221710,"47,660.13"
Home Office,Home Office,24/02/2012,Social Research,CPG - Crime & Policing Group,MARKET RESEARCH OPINION RESEARCH INTERNATIONAL LTD (MORI),1001220575,"52,920.00"
Home Office,CRB - Criminal Records Bureau,20/02/2012,Professional & Admin Services.Facilities Man Serv - ADMN,CRB - Criminal Records Bureau,C B RICHARD ELLIS LTD,1001218169,"57,594.00"
Home Office,CRB - Criminal Records Bureau,29/02/2012,Business Process Outsourcing.Capita Developmnt Spend - PROG,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001222508,"47,889.60"
Home Office,CRB - Criminal Records Bureau,29/02/2012,Business Process Outsourcing.CapitaPostalApplication - PROG,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001222508,"236,053.80"
Home Office,CRB - Criminal Records Bureau,29/02/2012,Business Process Outsourcing.Capita Ticket Price - PROG,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001222508,"74,770.51"
Home Office,CRB - Criminal Records Bureau,29/02/2012,Business Process Outsourcing.CapitaStandDisclose Fee - PROG,CRB - Criminal Records Bureau,CAPITA BUSINESS SERVICES LTD,1001222508,"294,225.94"
Home Office,CRB - Criminal Records Bureau,21/02/2012,Police Authorities,CRB - Criminal Records Bureau,DERBYSHIRE POLICE AUTHORITY,1001218795,"81,680.67"
Home Office,CRB - Criminal Records Bureau,21/02/2012,Police Authorities,CRB - Criminal Records Bureau,DISCLOSURE SCOTLAND,1001218797,"47,114.06"
Home Office,CRB - Criminal Records Bureau,21/02/2012,Police Authorities,CRB - Criminal Records Bureau,DORSET POLICE AUTHORITY,1001218798,"27,071.97"
Home Office,CRB - Criminal Records Bureau,21/02/2012,Police Authorities,CRB - Criminal Records Bureau,ESSEX POLICE AUTHORITY,1001218803,"129,421.06"
Home Office,CRB - Criminal Records Bureau,21/02/2012,Police Authorities,CRB - Criminal Records Bureau,GREATER MANCHESTER POLICE,1001218809,"82,250.45"
Home Office,CRB - Criminal Records Bureau,02/02/2012,"Print, Photo, Audio & Visual.Presentation equipment - PROG",CRB - Criminal Records Bureau,HAMPSHIRE CONSTABULARY,1001210596,"93,381.68"
Home Office,CRB - Criminal Records Bureau,21/02/2012,Police Authorities,CRB - Criminal Records Bureau,HERTFORDSHIRE CONSTABULARY,1001218814,"44,681.20"
Home Office,CRB - Criminal Records Bureau,02/02/2012,Police Authorities,CRB - Criminal Records Bureau,HUMBERSIDE POLICE AUTHORITY,1001210600,"103,736.20"
Home Office,CRB - Criminal Records Bureau,02/02/2012,Police Authorities,CRB - Criminal Records Bureau,KENT POLICE AUTHORITY,1001210605,"117,902.51"
Home Office,CRB - Criminal Records Bureau,13/02/2012,Police Authorities,CRB - Criminal Records Bureau,LANCASHIRE POLICE AUTHORITY,1001215220,"50,073.92"
Home Office,CRB - Criminal Records Bureau,21/02/2012,Police Authorities,CRB - Criminal Records Bureau,LANCASHIRE POLICE AUTHORITY,1001218821,"89,036.13"
Home Office,CRB - Criminal Records Bureau,21/02/2012,Police Authorities,CRB - Criminal Records Bureau,LEICESTERSHIRE CONSTABULARY,1001218823,"33,416.90"
Home Office,CRB - Criminal Records Bureau,13/02/2012,Police Authorities,CRB - Criminal Records Bureau,LINCOLNSHIRE POLICE AUTHORITY,1001215224,"40,786.80"
Home Office,CRB - Criminal Records Bureau,24/02/2012,Police Authorities,CRB - Criminal Records Bureau,MERSEYSIDE POLICE AUTHORITY,1001220578,"54,237.84"
Home Office,CRB - Criminal Records Bureau,21/02/2012,Police Authorities,CRB - Criminal Records Bureau,NORTH WALES POLICE,1001218840,"59,268.83"
Home Office,CRB - Criminal Records Bureau,13/02/2012,Police Authorities,CRB - Criminal Records Bureau,NORTH YORKSHIRE POLICE AUTHOR,1001215293,"51,243.43"
Home Office,CRB - Criminal Records Bureau,21/02/2012,Police Authorities,CRB - Criminal Records Bureau,NORTHAMPTONSHIRE POLICE,1001218841,"25,537.78"
Home Office,CRB - Criminal Records Bureau,13/02/2012,Police Authorities,CRB - Criminal Records Bureau,NORTHUMBRIA POLICE AUTHORITY,1001215296,"62,377.15"
Home Office,CRB - Criminal Records Bureau,22/02/2012,Police Authorities,CRB - Criminal Records Bureau,ROYAL MILITARY POLICE FORCE,1001219498,"29,271.71"
