Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Defra,Fera,40519,Other Direct,Operations Directorate,Waters Ltd,38149,47237.6,
Defra,Fera,40519,Capital: Computers >2000,External Affairs Directorate,Specialist Computer Centres (SCC) Plc,38758,37323.58,
Defra,Fera,40520,Other Direct,Policy & Regulation,European and Mediterranean Plant Protection Organisation,911,91998.35,
Defra,Fera,40525,Direct Subcontractors,Operations Directorate,Rothamsted Research Ltd,37644,54337.5,
Defra,Fera,40526,Prepayment Postal Visa Card,Finance And Corporate Services,National Westminster Bank plc,39122,86405.5,
Defra,Fera,40527,Direct Subcontractors,Operations Directorate,Forestry Commission,38763,659292.5,
Defra,Fera,40528,Direct Subcontractors,Policy & Regulation,NIAB,38565,31665.04,
Defra,Fera,40528,Direct Subcontractors,Policy & Regulation,NIAB,38566,119118.6,
Defra,Fera,40528,Direct Subcontractors,Policy & Regulation,NIAB,38568,39002.08,
Defra,Fera,40528,Direct Subcontractors,Policy & Regulation,NIAB,38569,32402.08,
Defra,Fera,40528,Direct Subcontractors,External Affairs Directorate,IP Pragmatics Limited,38842,32799.95,
Defra,Fera,40528,Capital: Sci Equip >2000,Operations Directorate,Thermo Fisher Scientific,39302,34535.44,
Defra,Fera,40533,Direct Subcontractors,Policy & Regulation,Agri-Food and Bioscience Institute,39402,114244.7,
