Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction no,Amount
Defra,Fera,04/03/2011,Scientific Eq: Capital At Cost,Operations Directorate,'D E F R A,43906,116227.48
Defra,Fera,07/03/2011,Direct Subcontractors,Operations Directorate,University Of Nottingham,44048,25000
Defra,Fera,10/03/2011,Prepayment Postal Visa Card,Finance And Corporate Services,National Westminster Bank plc,44492,127581
Defra,Fera,14/03/2011,It Software Support,External Affairs Directorate,Cetus Solutions,44743,-2520.47
Defra,Fera,23/03/2011,Direct Subcontractors,External Affairs Directorate,IP Pragmatics Limited,44418,30515.1
Defra,Fera,23/03/2011,Computers: Capital At Cost,External Affairs Directorate,Cetus Solutions,44804,53335.66
Defra,Fera,25/03/2011,Direct Subcontractors,Operations Directorate,Forestry Commission,45593,179900
Defra,Fera,30/03/2011,Defra Central Overheads,Finance And Corporate Services,'D E F R A,46126,31669
Defra,Fera,30/03/2011,It Software Support,External Affairs Directorate,Software Box Limited,44506,-19682.31
Defra,Fera,30/03/2011,Direct Subcontractors,Policy & Regulation,Scottish Government,44621,36637
Defra,Fera,30/03/2011,Scientific Eq: Capital At Cost,Operations Directorate,PerkinElmer LAS (UK) Ltd,46112,39840
Defra,Fera,30/03/2011,Scientific Eq: Capital At Cost,Operations Directorate,*Thermo Fisher Scientific,46178,100000
Defra,Fera,30/03/2011,Scientific Eq: Capital At Cost,Finance And Corporate Services,*Scientific Laboratory Supplies Limited,46187,83895
Defra,Fera,31/03/2011,Grant Funded: Capital At Cost,Finance And Corporate Services,'D E F R A,45942,353240.01
Defra,Fera,31/03/2011,Buildings: Capital At Cost,Finance And Corporate Services,'D E F R A,45944,119835.27
