Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount 
Defra,Fera,04/07/2011,Scientific Eq: Capital At Cost,Operations Directorate,Life Technologies Limited,52052,"44,186.40"
Defra,Fera,04/07/2011,I/Gen S/Ware: Capital At Cost,Operations Directorate,'D E F R A,51694,"46,491.00"
Defra,Fera,07/07/2011,Defra Central Overheads,Finance And Corporate Services,'D E F R A,51978,"31,475.00"
Defra,Fera,08/07/2011,Legal Fees,Finance And Corporate Services,'D E F R A,52425,"25,000.00"
Defra,Fera,11/07/2011,Prepayment Postal Visa Card,Finance And Corporate Services,National Westminster Bank plc,52539,"140,004.39"
Defra,Fera,12/07/2011,Direct Subcontractors,Policy & Regulation,NIAB,51990,"65,027.37"
Defra,Fera,12/07/2011,Direct Subcontractors,Policy & Regulation,NIAB,51991,"52,019.91"
Defra,Fera,12/07/2011,Direct Subcontractors,Policy & Regulation,NIAB,51992,"217,992.09"
Defra,Fera,12/07/2011,Direct Subcontractors,Policy & Regulation,NIAB,51996,"45,814.89"
Defra,Fera,13/07/2011,Direct Subcontractors,Operations Directorate,University of Cambridge,50898,"27,906.50"
Defra,Fera,18/07/2011,Direct Subcontractors,Operations Directorate,University Of Hull,47477,"60,170.70"
Defra,Fera,19/07/2011,Direct Subcontractors,Policy & Regulation,Agri-Food and Bioscience Institute,53046,"79,670.16"
Defra,Fera,19/07/2011,Scientific Equipment Hire,Operations Directorate,Waters Ltd,52369,"50,108.35"
Defra,Fera,26/07/2011,Buildings: Capital At Cost,Finance And Corporate Services,'D E F R A,51981,"868,901.04"
Defra,Fera,28/07/2011,Direct Subcontractors,Operations Directorate,University of Cambridge,52778,"29,130.75"
Defra,Fera,29/07/2011,Scientific Eq: Capital At Cost,Operations Directorate,Spectrometry Vision Ltd,53689,"99,056.40"
