Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
DEFRA,Fera,01/03/2012,Purchase Of Publications,External Affairs Directorate,John Wiley & Sons Ltd,67165," £39,170.72 ",Invoice Agreement Letter ,PO22 9SA,,N/A,!,Administration
DEFRA,Fera,02/03/2012,Direct Subcontractors,Policy & Regulation,Health and Safety Laboratory,67199," £120,600.00 ","Purple Helix, Milestone 2",SK17 9JN,,N/A,W8GV1000,Administration
DEFRA,Fera,02/03/2012,Buildings: Capital At Cost,Finance And Corporate Services,'D E F R A,57247," £161,193.55 ",D E F R A,YO1 7PX,,N/A,!,Administration
DEFRA,Fera,02/03/2012,Buildings: Capital At Cost,Finance And Corporate Services,'D E F R A,62888," £41,248.52 ",D E F R A,YO1 7PX,,N/A,!,Administration
DEFRA,Fera,06/03/2012,Direct Subcontractors,Policy & Regulation,Agri-Food and Bioscience Institute,67465," £69,210.56 ",Regular Pbr/Nl Work 3rd Quarter,BT9 5PX,,N/A,W8CA1090,Administration
DEFRA,Fera,07/03/2012,Direct Subcontractors,Operations Directorate,University of Cambridge,67529," £29,130.75 ",Modelling Work Completed Quarter 4 20,CB2 1SB,,N/A,T5JA7000,Administration
DEFRA,Fera,12/03/2012,Direct Subcontractors,Chief Scientist Directorate,Central Office of Information,67849," £40,006.01 ",Bpw/Ccd Digital Campaign ,SE1 7DU,,N/A,N1KN6080,Administration
DEFRA,Fera,12/03/2012,Scientific Eq: Capital At Cost,Operations Directorate,*Agilent Technologies UK Ltd,67853," £75,007.34 ",Agilent 7700x Icp-Ms Mainframe,RG41 5TP,,N/A,!,Administration
DEFRA,Fera,13/03/2012,Prepayment Postal Visa Card,Finance And Corporate Services,National Westminster Bank plc,67891," £148,459.48 ",National Westminster Bank Plc,SS1 9AJ,,N/A,!,Administration
DEFRA,Fera,14/03/2012,Direct Subcontractors,Policy & Regulation,Cardiff University,67795," £86,800.00 ",University Of Cardiff - Seroco,CF10 3XR,,N/A,W8KF1000,Administration
DEFRA,Fera,14/03/2012,B/In Software:Capital At Cost,External Affairs Directorate,Cetus Solutions,67271," £33,668.26 ",Vmware Site Recovery Manager ,M50 3SS,,N/A,BS000158,Administration
DEFRA,Fera,14/03/2012,Computers: Capital At Cost,External Affairs Directorate,Cetus Solutions,67273," £33,321.74 ",Netapp For Vmware,M50 3SS,,N/A,CE000772,Administration
