Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office,DBS - Disclosure & Barring Service,02/04/2013,"Science, Technical & Research",DBS - Disclosure & Barring Serv,HOME OFFICE,9000007,"£52,647.13"
Home Office,DBS - Disclosure & Barring Service,02/04/2013,Professional & Admin Services,DBS - Disclosure & Barring Serv,HOME OFFICE,9000008,"£28,768.98"
Home Office,DBS - Disclosure & Barring Service,04/04/2013,Criminal Record Checks,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001396240,"£57,218.40"
Home Office,DBS - Disclosure & Barring Service,04/04/2013,Criminal Record Checks,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001396240,"£40,960.80"
Home Office,DBS - Disclosure & Barring Service,04/04/2013,Criminal Record Checks,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001396240,"£47,341.20"
Home Office,DBS - Disclosure & Barring Service,04/04/2013,Criminal Record Checks,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001396240,"£8,236.86"
Home Office,DBS - Disclosure & Barring Service,04/04/2013,Criminal Record Checks,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001396240,"£30,916.50"
Home Office,DBS - Disclosure & Barring Service,04/04/2013,Criminal Record Checks,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001396240,"£29,689.20"
Home Office,DBS - Disclosure & Barring Service,04/04/2013,Criminal Record Checks,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001396240,"£76,264.80"
Home Office,DBS - Disclosure & Barring Service,04/04/2013,Business Process Outsourcing,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001396240,"£48,934.28"
Home Office,DBS - Disclosure & Barring Service,05/04/2013,Business Process Outsourcing,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001396867,"£191,088.00"
Home Office,DBS - Disclosure & Barring Service,05/04/2013,"Science, Technical & Research",DBS - Disclosure & Barring Serv,HOME OFFICE,9000010,"£53,314.88"
Home Office,DBS - Disclosure & Barring Service,05/04/2013,"Science, Technical & Research",DBS - Disclosure & Barring Serv,HOME OFFICE,9000011,"£27,777.88"
Home Office,DBS - Disclosure & Barring Service,08/04/2013,Criminal Record Checks,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001398127,"£58,982.40"
Home Office,DBS - Disclosure & Barring Service,10/04/2013,Criminal Record Checks,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001398940,"£235,927.20"
Home Office,DBS - Disclosure & Barring Service,11/04/2013,Professional & Admin Services,DBS - Disclosure & Barring Serv,HOME OFFICE,9000012,"£29,662.30"
Home Office,DBS - Disclosure & Barring Service,17/04/2013,Education & Training Services.Training & Development,DBS - Disclosure & Barring Serv,UNIVERSITY OF TEESSIDE,1001401844,"£30,800.00"
Home Office,DBS - Disclosure & Barring Service,18/04/2013,Financial & Insurance Services.Audit Services.Audit,DBS - Disclosure & Barring Serv,HOME OFFICE,9000013,"£73,500.00"
Home Office,DBS - Disclosure & Barring Service,19/04/2013,Business Process Outsourcing,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001402926,"£1,450,257.61"
Home Office,DBS - Disclosure & Barring Service,19/04/2013,Business Process Outsourcing,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001402926,"£73,733.23"
Home Office,DBS - Disclosure & Barring Service,19/04/2013,Business Process Outsourcing,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001402926,"£343,658.92"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER,1001405235,"£28,569.67"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001405283,"£485,991.62"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER,1001405293,"£43,337.12"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER,1001405294,"£103,371.86"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER,1001405294,"£50,752.99"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER,1001405295,"£81,561.32"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE,1001405297,"£44,101.20"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE,1001405297,"£44,101.23"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE,1001405299,"£26,260.04"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER,1001405302,"£47,476.08"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,PCC FOR THAMES VALLEY,1001405305,"£133,959.50"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,POLICE & CRIME COMMISSIONER FOR CHESHIRE,1001405309,"£39,316.24"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,POLICE & CRIME COMMISSIONER FOR DERBYSHIRE,1001405311,"£45,451.58"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,POLICE & CRIME COMMISSIONER FOR DEVON & CORNWALL,1001405312,"£31,654.21"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,POLICE & CRIME COMMISSIONER FOR HERTFORDSHIRE,1001405316,"£71,341.92"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,POLICE & CRIME COMMISSIONER FOR NORTH WALES,1001405318,"£38,020.03"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,POLICE & CRIME COMMISSIONER FOR SOUTH WALES POLICE,1001405319,"£30,437.33"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,POLICE & CRIME COMMISSIONER FOR SOUTH YORKSHIRE,1001405320,"£26,952.55"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,POLICE & CRIME COMMISSIONER FOR SURREY,1001405321,"£33,784.22"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,POLICE & CRIME COMMISSIONER FOR SUSSEX (THE),1001405322,"£45,343.27"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,THE NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER,1001405351,"£56,011.16"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA,1001405352,"£30,349.14"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,THE POLICE & CRIME COMMISSIONER FOR LANCASHIRE,1001405353,"£44,729.09"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,WEST MERCIA PCC,1001405366,"£31,458.20"
Home Office,DBS - Disclosure & Barring Service,24/04/2013,Police Authorities,DBS - Disclosure & Barring Serv,WEST MIDLANDS OFFICE FOR POLICING & CRIME,1001405367,"£99,149.19"
Home Office,DBS - Disclosure & Barring Service,25/04/2013,"Science, Technical & Research",DBS - Disclosure & Barring Serv,HOME OFFICE,9000014,"£25,565.41"
Home Office,DBS - Disclosure & Barring Service,25/04/2013,"Science, Technical & Research",DBS - Disclosure & Barring Serv,HOME OFFICE,9000014,"£1,127.16"
Home Office,DBS - Disclosure & Barring Service,26/04/2013,Criminal Record Checks,DBS - Disclosure & Barring Serv,CAPITA BUSINESS SERVICES LTD,1001406771,"£305,061.60"
Home Office,Home Office,02/04/2013,Asset Clearing - Vehicles,BF - Border Force,ENDOSCAN MARKETING LTD,1001395045,"£4,740.00"
Home Office,Home Office,02/04/2013,Law Enforcement & safety Equipment,BF - Border Force,ENDOSCAN MARKETING LTD,1001395045,"£7,140.00"
Home Office,Home Office,02/04/2013,Law Enforcement & safety Equipment,BF - Border Force,ENDOSCAN MARKETING LTD,1001395045,£192.00
Home Office,Home Office,02/04/2013,Law Enforcement & safety Equipment,BF - Border Force,ENDOSCAN MARKETING LTD,1001395045,"£69,012.00"
Home Office,Home Office,02/04/2013,HOPG Estates Professional Services,BF - Border Force,HEATHROW AIRPORT LTD,1001395061,"£16,437.77"
Home Office,Home Office,02/04/2013,HOPG Estates Professional Services,BF - Border Force,HEATHROW AIRPORT LTD,1001395061,"£348,386.23"
