Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office ,DBS - Disclosure & Barring Service,01/02/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001366938,"282,402.00"
Home Office ,DBS - Disclosure & Barring Service,01/02/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001366938,"163,659.60"
Home Office ,DBS - Disclosure & Barring Service,01/02/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001366938,"91,446.00"
Home Office ,DBS - Disclosure & Barring Service,01/02/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001366938,"33,168.40"
Home Office ,DBS - Disclosure & Barring Service,01/02/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001366938,"26,109.60"
Home Office ,DBS - Disclosure & Barring Service,05/02/2013,"Science, Technical & Research",DBS - Disclosure & Barring Service,HOME OFFICE,9000002,"53,648.19"
Home Office ,DBS - Disclosure & Barring Service,05/02/2013,"Science, Technical & Research",DBS - Disclosure & Barring Service,HOME OFFICE,9000001,"52,664.42"
Home Office ,DBS - Disclosure & Barring Service,08/02/2013,Banking Services,DBS - Disclosure & Barring Service,TREASURY SOLICITORS OFFICE,3000046074,"34,104.00"
Home Office ,DBS - Disclosure & Barring Service,12/02/2013,Banking Services,DBS - Disclosure & Barring Service,CABINET OFFICE,3000046088,"52,614.54"
Home Office ,DBS - Disclosure & Barring Service,13/02/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001372361,"461,731.20"
Home Office ,DBS - Disclosure & Barring Service,14/02/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR ESSEX,1001373177,"136,386.63"
Home Office ,DBS - Disclosure & Barring Service,14/02/2013,Police Authorities,DBS - Disclosure & Barring Service,PCC FOR THAMES VALLEY,1001373167,"69,779.77"
Home Office ,DBS - Disclosure & Barring Service,14/02/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HERTFORDSHIRE,1001373179,"67,315.04"
Home Office ,DBS - Disclosure & Barring Service,14/02/2013,Police Authorities,DBS - Disclosure & Barring Service,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER,1001373160,"51,279.32"
Home Office ,DBS - Disclosure & Barring Service,14/02/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DERBYSHIRE,1001373174,"45,482.79"
Home Office ,DBS - Disclosure & Barring Service,14/02/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CLEVELAND,1001373173,"37,574.41"
Home Office ,DBS - Disclosure & Barring Service,14/02/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DEVON & CORNWALL,1001373175,"28,927.71"
Home Office ,DBS - Disclosure & Barring Service,14/02/2013,"Science, Technical & Research",DBS - Disclosure & Barring Service,HOME OFFICE,9000003,"28,134.25"
Home Office ,DBS - Disclosure & Barring Service,14/02/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH YORKSHIRE,1001373182,"27,199.85"
Home Office ,DBS - Disclosure & Barring Service,14/02/2013,Police Authorities,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORFOLK,1001373162,"25,413.63"
Home Office ,DBS - Disclosure & Barring Service,20/02/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001375592,"1,402,581.48"
Home Office ,DBS - Disclosure & Barring Service,20/02/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001375592,"318,396.64"
Home Office ,DBS - Disclosure & Barring Service,20/02/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001375592,"68,884.51"
Home Office ,DBS - Disclosure & Barring Service,22/02/2013,Police Authorities,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER,1001376974,"90,656.95"
Home Office ,DBS - Disclosure & Barring Service,22/02/2013,Banking Services,DBS - Disclosure & Barring Service,HOME OFFICE,1001376859,"70,215.80"
Home Office ,DBS - Disclosure & Barring Service,22/02/2013,Police Authorities,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE),1001376975,"50,225.07"
Home Office ,DBS - Disclosure & Barring Service,22/02/2013,Banking Services,DBS - Disclosure & Barring Service,HOME OFFICE,1001376859,"33,536.11"
Home Office ,DBS - Disclosure & Barring Service,22/02/2013,Banking Services,DBS - Disclosure & Barring Service,HOME OFFICE,1001376859,"28,104.10"
Home Office ,DBS - Disclosure & Barring Service,25/02/2013,Police Authorities,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001377469,"459,438.83"
Home Office ,DBS - Disclosure & Barring Service,25/02/2013,Police Authorities,DBS - Disclosure & Barring Service,WEST MIDLANDS OFFICE FOR POLICING & CRIME,1001377533,"99,010.61"
