Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office,DBS - Disclosure & Barring Service,04/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001380069,"£35,270.40"
Home Office,DBS - Disclosure & Barring Service,04/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001380069,"£56,288.40"
Home Office,DBS - Disclosure & Barring Service,04/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001380069,"£92,346.00"
Home Office,DBS - Disclosure & Barring Service,04/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001380069,"£94,134.00"
Home Office,DBS - Disclosure & Barring Service,04/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001380069,"£42,537.60"
Home Office,DBS - Disclosure & Barring Service,04/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001380069,"£40,148.40"
Home Office,DBS - Disclosure & Barring Service,05/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001380811,"£229,740.00"
Home Office,DBS - Disclosure & Barring Service,05/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001380811,"£34,110.00"
Home Office,DBS - Disclosure & Barring Service,05/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001380811,"£59,730.00"
Home Office,DBS - Disclosure & Barring Service,05/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001380811,"£82,308.00"
Home Office,DBS - Disclosure & Barring Service,05/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001380811,"£29,083.50"
Home Office,DBS - Disclosure & Barring Service,05/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001380811,"£191,088.00"
Home Office,DBS - Disclosure & Barring Service,15/03/2013,Police Authorities,DBS - Disclosure & Barring Service,AVON & SOMERSET POLICE & CRIME COMMISSIONER,1001386321,"£42,339.10"
Home Office,DBS - Disclosure & Barring Service,15/03/2013,Police Authorities,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER,1001386439,"£78,789.22"
Home Office,DBS - Disclosure & Barring Service,15/03/2013,Police Authorities,DBS - Disclosure & Barring Service,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER,1001386441,"£46,923.88"
Home Office,DBS - Disclosure & Barring Service,15/03/2013,Police Authorities,DBS - Disclosure & Barring Service,PCC FOR THAMES VALLEY,1001386446,"£68,343.37"
Home Office,DBS - Disclosure & Barring Service,15/03/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CHESHIRE,1001386447,"£38,382.27"
Home Office,DBS - Disclosure & Barring Service,15/03/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DERBYSHIRE,1001386450,"£45,483.41"
Home Office,DBS - Disclosure & Barring Service,15/03/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DEVON & CORNWALL,1001386451,"£29,536.19"
Home Office,DBS - Disclosure & Barring Service,15/03/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HAMPSHIRE,1001386454,"£39,422.97"
Home Office,DBS - Disclosure & Barring Service,15/03/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HERTFORDSHIRE,1001386455,"£37,100.30"
Home Office,DBS - Disclosure & Barring Service,15/03/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH WALES POLICE,1001386457,"£30,437.62"
Home Office,DBS - Disclosure & Barring Service,15/03/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH YORKSHIRE,1001386458,"£28,120.05"
Home Office,DBS - Disclosure & Barring Service,15/03/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SURREY,1001386459,"£31,721.99"
Home Office,DBS - Disclosure & Barring Service,15/03/2013,Police Authorities,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR LANCASHIRE,1001386481,"£44,568.63"
Home Office,DBS - Disclosure & Barring Service,15/03/2013,Police Authorities,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR NORTH YORKSHIRE,1001386482,"£26,039.83"
Home Office,DBS - Disclosure & Barring Service,21/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001389203,"£2,883,180.80"
Home Office,DBS - Disclosure & Barring Service,21/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001389203,"£2,883,180.79"
Home Office,DBS - Disclosure & Barring Service,21/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001389203,"£2,883,180.79"
Home Office,DBS - Disclosure & Barring Service,26/03/2013,Police Authorities,DBS - Disclosure & Barring Service,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER,1001392412,"£30,806.68"
Home Office,DBS - Disclosure & Barring Service,26/03/2013,Police Authorities,DBS - Disclosure & Barring Service,DORSET POLICE & CRIME COMMISSIONERS,1001392433,"£32,833.11"
Home Office,DBS - Disclosure & Barring Service,26/03/2013,Police Authorities,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001392484,"£461,774.08"
Home Office,DBS - Disclosure & Barring Service,26/03/2013,Police Authorities,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORFOLK,1001392500,"£49,614.48"
Home Office,DBS - Disclosure & Barring Service,26/03/2013,Police Authorities,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE,1001392501,"£26,201.98"
Home Office,DBS - Disclosure & Barring Service,26/03/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR ESSEX,1001392512,"£127,787.21"
Home Office,DBS - Disclosure & Barring Service,26/03/2013,Police Authorities,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR NORTH WALES,1001392516,"£71,101.84"
Home Office,DBS - Disclosure & Barring Service,26/03/2013,Police Authorities,DBS - Disclosure & Barring Service,THE NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER,1001392555,"£27,837.79"
Home Office,DBS - Disclosure & Barring Service,26/03/2013,Police Authorities,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR LANCASHIRE,1001392557,"£44,561.15"
Home Office,DBS - Disclosure & Barring Service,26/03/2013,Police Authorities,DBS - Disclosure & Barring Service,WEST MERCIA PCC,1001392570,"£29,122.00"
Home Office,DBS - Disclosure & Barring Service,28/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001394269,"£1,724,741.65"
Home Office,DBS - Disclosure & Barring Service,28/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001394269,"£74,997.17"
Home Office,DBS - Disclosure & Barring Service,28/03/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001394269,"£312,367.97"
Home Office,Home Office,01/03/2013,"IT, TelecommsManaged Service.Support",BF - Border Force,ATOS I T SERVICES UK LTD,1001379115,"£25,856.48"
Home Office,Home Office,04/03/2013,"Generators & Equip (FA).Plant & machinery (FA).Power generation plant, generators, electric motors, industrial batteries, electrical cable, controlling and monitoring equipment.",BF - Border Force,AXIALYS,7000007548,"£30,150.71"
Home Office,Home Office,05/03/2013,Management & Admin Serv.Overseas Posting Costs,BF - Border Force,EXPOTEL HOTEL RESERVATIONS LTD,7000007551,"£52,408.51"
Home Office,Home Office,05/03/2013,IT & Telecoms Components.Computer Equipment,BF - Border Force,FCO - FOREIGN AND COMMONWEALTH OFFICE,3000046185,"£52,896.00"
Home Office,Home Office,05/03/2013,Travel & Food & Lodging.Juxtaposed Overseas Travel,BF - Border Force,THE CHANNEL TUNNEL GROUP LTD,1001380888,"£48,576.00"
Home Office,Home Office,06/03/2013,"IT, Broadcasting & Telecomms.IT Run Costs",BF - Border Force,FUJITSU SERVICES (ALCEDO) LTD,1001381553,"£95,551.89"
Home Office,Home Office,06/03/2013,"IT, TelecommsManaged Service.Support",BF - Border Force,FUJITSU SERVICES (ALCEDO) LTD,1001381553,"£58,307.16"
Home Office,Home Office,07/03/2013,"Messenger, Portering and Reception Services",BF - Border Force,EAMUS CORK SOLUTIONS,7000007562,"£218,863.89"
Home Office,Home Office,07/03/2013,Law Enforcement & safety Equip.Surveillance & Det Equipment,BF - Border Force,HM REVENUE & CUSTOMS,3000046208,"£195,556.00"
Home Office,Home Office,08/03/2013,"Vehicles, Ships, Airplanes.Vessel Maintenance",BF - Border Force,CAMMELL LAIRD SHIPREPAIRERS & SHIPBUILDERS LTD,1001382958,"£67,042.00"
Home Office,Home Office,08/03/2013,Professional & Admin Services.Contractedoutrecruit services,BF - Border Force,CAPITA RESOURCING LTD,1001382962,"£85,543.01"
Home Office,Home Office,08/03/2013,Professional & Admin Services.Contractedoutrecruit services,BF - Border Force,CAPITA RESOURCING LTD,1001382962,"£51,073.73"
Home Office,Home Office,08/03/2013,"Airport parking, Local council parking, Private owned car parks, Other parking",BF - Border Force,HEATHROW AIRPORT LTD,1001382988,"£267,605.71"
Home Office,Home Office,08/03/2013,Professional & Admin Services.Seconded in Staff costs,BF - Border Force,THE POLICE & CRIME COMMISSIONER FOR WILTSHIRE,1001383059,"£16,629.07"
Home Office,Home Office,08/03/2013,Professional & Admin Services.Seconded in Staff costs,BF - Border Force,THE POLICE & CRIME COMMISSIONER FOR WILTSHIRE,1001383059,"£82,000.00"
Home Office,Home Office,11/03/2013,"IT,TelecommsHardwarePeripheral.Support and Maintenance",BF - Border Force,FUJITSU SERVICES (ALCEDO) LTD,1001383626,"£73,782.20"
Home Office,Home Office,12/03/2013,Professional & Admin Services.Contractedoutrecruit services,BF - Border Force,CAPITA RESOURCING LTD,1001384207,"£20,312.54"
Home Office,Home Office,12/03/2013,Professional & Admin Services.Contractedoutrecruit services,BF - Border Force,CAPITA RESOURCING LTD,1001384207,"£5,605.69"
Home Office,Home Office,12/03/2013,Professional & Admin Services.Contractedoutrecruit services,BF - Border Force,CAPITA RESOURCING LTD,1001384207,"£36,159.30"
Home Office,Home Office,13/03/2013,Government Services.Public AdminstrationServices,BF - Border Force,CT CENTRE (MOD) T/A DSTL,1001385027,"£273,573.60"
Home Office,Home Office,13/03/2013,"IT, Broadcasting & Telecomms.IT Run Costs",BF - Border Force,FUJITSU SERVICES (ALCEDO) LTD,6200035573,"£175,127.80"
Home Office,Home Office,13/03/2013,"IT, Broadcasting & Telecomms.IT Run Costs",BF - Border Force,FUJITSU SERVICES (ALCEDO) LTD,6200035573,"-£175,127.80"
Home Office,Home Office,13/03/2013,"Law Enforcement & safety Equip.Haulage, Storage & Disp (HSD)",BF - Border Force,THAMESDOWN RECYCLING,1001385250,"£50,648.41"
Home Office,Home Office,14/03/2013,"IT, Broadcasting & Telecomms.IT Run Costs",BF - Border Force,ARQIVA LTD,1001385739,"£47,964.60"
Home Office,Home Office,14/03/2013,"Law Enforcement & safety Equip.Haulage, Storage & Disp (HSD)",BF - Border Force,TNT UK LTD,1001385875,"£248,549.33"
Home Office,Home Office,15/03/2013,Business Process Outsourcing,BF - Border Force,FUJITSU SERVICES (ALCEDO) LTD,1001386415,"£34,113.85"
Home Office,Home Office,15/03/2013,Laboratory & Scientific Equip.Examination equipment,BF - Border Force,HM REVENUE & CUSTOMS,3000046257,"£200,000.00"
Home Office,Home Office,18/03/2013,Uniforms & PPE.Uniforms & Protective Clothes,BF - Border Force,PRICE WESTERN LEATHER CO LTD,1001387036,"£31,256.40"
Home Office,Home Office,18/03/2013,Uniforms & PPE.Uniforms & Protective Clothes,BF - Border Force,PRICE WESTERN LEATHER CO LTD,1001387036,"£10,248.00"
Home Office,Home Office,20/03/2013,"IT, Broadcasting & Telecomms.IT Run Costs",BF - Border Force,ARQIVA LTD,1001388670,"£47,964.60"
