Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Home Office,NPIA - National Policing Improvement Agency,21/01/2011,IT software,Information & Communications Technology & Science Directorate,Specialist Computer Centres PLC,5100049128,"24,709.35"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100049165,"14,764,483.34"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100049166,"224,932.61"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT software,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"189,099.98"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT software,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"15,214.94"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT software,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"374,173.91"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT software,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"30,105.94"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT software,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"6,685.39"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT software,Operations Directorate,Fujitsu (FTS) Limited,5100049190,537.9
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT software,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"182,194.71"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT software,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"14,659.34"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT software,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"360,363.36"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT software,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"28,994.75"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT Hardware,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"582,386.79"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT Hardware,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"46,858.70"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT Hardware,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"461,574.85"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT Hardware,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"37,138.20"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT Hardware,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"7,473.09"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT Hardware,Operations Directorate,Fujitsu (FTS) Limited,5100049190,601.28
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT Hardware,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"357,378.30"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT Hardware,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"28,754.57"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT Hardware,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"97,797.22"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT Hardware,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"7,868.74"
Home Office,NPIA - National Policing Improvement Agency,05/01/2011,IT software,Operations Directorate,Fujitsu (FTS) Limited,5100049190,"37,639.99"
