Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,22.9,
Defra,JNCC,07-May-10,TELEPHONE MOBILE                                            ,Global Advice,Barclaycard Business,Barclaycard April 2010,6.5,
Defra,JNCC,07-May-10,RAIL TRAVEL - OVERSEAS,European Intelligence & Advice,Barclaycard Business,Barclaycard April 2010,207,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Marine Surveillance,Barclaycard Business,Barclaycard April 2010,165,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,European Intelligence & Advice,Barclaycard Business,Barclaycard April 2010,60.87,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Marine Mapping & Ecosystem Assessment,Barclaycard Business,Barclaycard April 2010,50,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,50,
Defra,JNCC,07-May-10,COMPUTER EQUIPMENT (H&S/WARE)                               ,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,13.03,
Defra,JNCC,07-May-10,COMPUTER EQUIPMENT (H&S/WARE)                               ,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,74.85,
Defra,JNCC,07-May-10,COMPUTER EQUIPMENT (H&S/WARE)                               ,Sustainability Advice,Barclaycard Business,Barclaycard April 2010,6.16,
Defra,JNCC,07-May-10,AIR TRAVEL - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,50.48,
Defra,JNCC,07-May-10,COMPUTER EQUIPMENT (H&S/WARE)                               ,Access to Information,Barclaycard Business,Barclaycard April 2010,670.56,
Defra,JNCC,07-May-10,FOREIGN TRAVEL                                              ,Global Advice,Barclaycard Business,Barclaycard April 2010,"2,314.51",
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,87,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,37,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,37,
Defra,JNCC,07-May-10,TRAINING COURSES                                            ,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,645,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Mapping & Ecosystem Assessment,Barclaycard Business,Barclaycard April 2010,30,
Defra,JNCC,07-May-10,OTHER PUBLICITY PRODUCTS                                    ,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,52.88,
Defra,JNCC,07-May-10,AIR TRAVEL - EUROPE,Marine Mapping & Ecosystem Assessment,Barclaycard Business,Barclaycard April 2010,53.2,
Defra,JNCC,07-May-10,AIR TRAVEL - EUROPE,Marine Mapping & Ecosystem Assessment,Barclaycard Business,Barclaycard April 2010,122.2,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,8.4,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,76.5,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Policy Relevant Info & Reporting,Barclaycard Business,Barclaycard April 2010,87,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,38.2,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,40.3,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,16.2,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,92.2,
Defra,JNCC,07-May-10,AIR TRAVEL - EUROPE,Marine Mapping & Ecosystem Assessment,Barclaycard Business,Barclaycard April 2010,73.35,
